match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,captain,stat_totalContest,stat_wonContest,stat_totalCross,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId
11388471,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196,132,M,945955,EUR,878256000,G,1,1,False,43.0,21.0,38.0,16.0,9.0,11.0,12.0,32.0,1.0,10.0,1.0,2.0,3.0,1.0,77.0,49.0,7.0,22.0,0.00832074,0,0.2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388471,home,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183,24,M,930838,EUR,955324800,D,3,3,False,16.0,6.0,2.0,,4.0,8.0,2.0,8.0,2.0,1.0,,,,,45.0,34.0,6.4,19.0,0.00199735,0,,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11388471,home,Almere City FC,Damian van Bruggen,damian-van-bruggen,D. v. Bruggen,D,14,184,62,M,285991,EUR,827107200,D,4,4,False,25.0,19.0,5.0,3.0,16.0,18.0,3.0,7.0,3.0,5.0,,,,,90.0,37.0,6.8,8.0,0.00385503,0,,4.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11388471,home,Almere City FC,Sherel Floranus,sherel-floranus,S. Floranus,D,2,181,189,M,803021,EUR,903830400,D,2,2,False,37.0,27.0,8.0,6.0,17.0,20.0,10.0,17.0,1.0,6.0,,,,,90.0,53.0,7.2,15.0,0.00726299,0,,1.0,1.0,1.0,5.0,,1.0,1.0,,,,,Sherel,Floranus,True,3.0,3.0,,,,,,,,,,,,,,,,,
11388471,home,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177,175,M,1157777,EUR,1067731200,M,39,39,False,24.0,15.0,8.0,3.0,8.0,9.0,7.0,16.0,3.0,3.0,,,,,90.0,44.0,6.9,11.0,0.0257538,0,,2.0,,6.0,6.0,4.0,1.0,,2.0,1.0,,,Jochem van de Kamp,,,3.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,
11388471,home,Almere City FC,Stije Resink,stije-resink,S. Resink,M,6,186,608,M,1090328,EUR,1053993600,M,28,28,False,35.0,21.0,6.0,2.0,7.0,11.0,14.0,25.0,1.0,5.0,,,,,90.0,47.0,6.8,19.0,0.0160269,1,,2.0,3.0,5.0,3.0,1.0,,,2.0,,,3.0,Stije Resink,,,,,1.0,,,1.0,1.0,1.0,0.0367,0.2562,,,,,,,,,
11388471,home,Almere City FC,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,M,15,15,False,51.0,29.0,8.0,4.0,11.0,15.0,24.0,45.0,4.0,6.0,,,,,90.0,76.0,8.2,28.0,0.119606,2,,2.0,3.0,2.0,6.0,1.0,1.0,,,,,3.0,,,,,,9.0,2.0,4.0,,,,0.0393,,1.0,6.0,2.0,,,,,,
11388471,home,Almere City FC,Yoann Cathline,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,19,19,False,17.0,14.0,,,1.0,3.0,13.0,17.0,1.0,3.0,,,,,90.0,39.0,7.2,12.0,0.0254511,2,,,,4.0,2.0,,1.0,,,,,2.0,,,,4.0,,3.0,1.0,1.0,,1.0,,0.0848,0.0801,,,1.0,1.0,,,,,
11388471,home,Almere City FC,Álvaro Peña,alvaro-pena,Á. Peña,M,23,178,37,M,294351,EUR,688262400,F,6,6,False,17.0,16.0,,,7.0,7.0,9.0,10.0,,4.0,,,,,62.0,21.0,6.5,4.0,0.0183108,0,,5.0,,6.0,1.0,,,,2.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,
11388471,home,Almere City FC,Rajiv Van La Parra,rajiv-van-la-parra,R. V. L. Parra,M,7,181,101,M,38096,EUR,675993600,F,27,27,False,14.0,5.0,,,1.0,2.0,4.0,13.0,1.0,,,,,,45.0,29.0,6.5,15.0,0.00260814,0,,4.0,4.0,7.0,8.0,,,,2.0,,,4.0,,,,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,1.0,,,,
