match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,player_firstName,player_lastName,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_challengeLost,stat_lastManTackle,stat_bigChanceMissed
12513664,home,CD Nacional,Lucas França,lucas-franca,L. França,G,37,194,104,M,832672,EUR,822009600,G,37,37,False,20.0,12.0,13.0,5.0,0.0,9.0,10.0,3.0,10.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,90.0,28.0,6.4,8.0,0.00089237,0,-0.6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513664,home,CD Nacional,João Aurélio,joao-aurelio,J. Aurélio,D,2,185,24,M,44684,EUR,587779200,D,2,2,False,17.0,14.0,2.0,1.0,0.0,7.0,7.0,7.0,14.0,2.0,2.0,,,,,,65.0,38.0,6.6,14.0,0.0102925,2,,True,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1707,,,,,,,,,,,,,,,,,,,,
12513664,home,CD Nacional,Ulisses,ulisses,Ulisses,D,4,183,102,M,926869,EUR,938476800,D,4,4,False,49.0,39.0,7.0,3.0,0.0,26.0,29.0,13.0,20.0,3.0,5.0,1.0,,,,,90.0,59.0,6.6,13.0,0.0341986,1,,,,2.0,5.0,1.0,,,,2.0,3.0,0.0244,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12513664,home,CD Nacional,Matheus Dias,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,D,88,88,False,52.0,47.0,4.0,2.0,0.0,27.0,29.0,20.0,23.0,3.0,5.0,2.0,,,,,90.0,57.0,6.5,6.0,0.0272058,1,,,,2.0,2.0,1.0,,,,1.0,2.0,0.0132,,,,,,1.0,,,,,,,,,,,,,,
12513664,home,CD Nacional,Ze Vitor,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,47.0,34.0,7.0,2.0,0.0,27.0,31.0,7.0,16.0,6.0,1.0,2.0,,,,,90.0,58.0,6.6,15.0,0.0042656,0,,,,2.0,6.0,,,2.0,2.0,2.0,4.0,,2.0,3.0,,,,2.0,,,,,,,,,,,,,,
12513664,home,CD Nacional,José Gomes,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,13.0,9.0,2.0,,0.0,4.0,4.0,5.0,12.0,1.0,3.0,,,,,,75.0,32.0,6.4,10.0,0.0109633,0,,,3.0,,2.0,,,,,,,,,5.0,,,,,3.0,1.0,1.0,,,,,,,,,,,
12513664,home,CD Nacional,Paulinho Bóia,paulinho-boia,Paulinho Bóia,M,11,171,270,M,912781,EUR,898819200,M,98,98,False,21.0,16.0,,,1.0,5.0,6.0,13.0,18.0,3.0,6.0,,,,,,90.0,33.0,7.5,9.0,0.456542,0,,,3.0,,5.0,,,2.0,1.0,1.0,,,3.0,,,,,,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,
12513664,home,CD Nacional,Luís Esteves,luis-esteves,L. Esteves,M,10,171,237,M,1097527,EUR,892080000,M,10,10,False,16.0,14.0,1.0,1.0,0.0,4.0,4.0,10.0,14.0,2.0,2.0,1.0,,,,,65.0,27.0,6.7,6.0,0.131157,2,,,2.0,,3.0,1.0,1.0,,,1.0,1.0,0.1072,1.0,,,Luís,Esteves,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,
12513664,home,CD Nacional,Djibril Soumaré,djibril-soumare,D. Soumaré,M,18,185,289,M,1394929,EUR,1041897600,M,27,27,False,27.0,18.0,3.0,1.0,0.0,6.0,8.0,12.0,19.0,5.0,4.0,2.0,,,,,72.0,37.0,6.4,15.0,0.0134147,1,,,,2.0,6.0,1.0,,1.0,1.0,2.0,2.0,0.0138,,,,El Hadji Djibril,Soumaré,,2.0,,,,2.0,,,,,,,,,
12513664,home,CD Nacional,Rúben Macedo,ruben-macedo,R. Macedo,F,20,171,33,M,318943,EUR,826329600,M,7,7,False,10.0,8.0,,,0.0,1.0,1.0,7.0,13.0,4.0,3.0,1.0,,,,,72.0,28.0,6.5,12.0,0.051379,2,,,4.0,,7.0,1.0,1.0,,,1.0,2.0,0.0343,1.0,,,,,1.0,4.0,3.0,,,4.0,,,,,,,,,
