match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalOffside,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_goalAssist,stat_crossNotClaimed,stat_goodHighClaim
11369976,home,RWDM Brussels,Theo Defourny,,,theo-defourny,T. Defourny,G,33,194.0,37,M,156736,EUR,704160000,G,33,33,False,True,30.0,19.0,24.0,13.0,9.0,10.0,10.0,20.0,3.0,2.0,2.0,90.0,36.0,6.7,13.0,0.0056222,0,-0.4751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369976,home,RWDM Brussels,Junior Marsoni Sambu Mansoni​,,,junior-marsoni-sambu-mansoni,J. M. S. Mansoni,D,70,185.0,79,M,874855,EUR,833760000,D,21,21,False,,38.0,28.0,2.0,,19.0,20.0,9.0,19.0,8.0,,,90.0,65.0,6.7,18.0,0.0091115,0,,1.0,1.0,7.0,2.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11369976,home,RWDM Brussels,Philipe Sampaio,,,philipe-sampaio,P. Sampaio,D,,191.0,350,M,588996,EUR,784512000,D,94,94,False,,41.0,33.0,7.0,1.0,25.0,29.0,8.0,12.0,3.0,,,90.0,52.0,6.7,8.0,0.00696765,0,,,1.0,1.0,2.0,,,,4.0,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,,
11369976,home,RWDM Brussels,David Sousa,,,david-sousa,David Sousa,D,43,190.0,148,M,1015932,EUR,994204800,D,43,43,False,,50.0,37.0,11.0,5.0,26.0,31.0,11.0,19.0,8.0,,,90.0,76.0,7.3,14.0,0.0133638,1,,,,4.0,8.0,,1.0,,10.0,4.0,3.0,2.0,,2.0,3.0,,1.0,,3.0,1.0,0.1134,,,,,,,,,,,
11369976,home,RWDM Brussels,Tayo Adaramola,,,tayo-adaramola,T. Adaramola,M,45,177.0,231,M,1005686,EUR,1068681600,D,11,11,False,,37.0,32.0,,,16.0,19.0,18.0,24.0,7.0,,,90.0,72.0,6.9,14.0,0.0436011,2,,6.0,4.0,6.0,6.0,,1.0,3.0,2.0,1.0,2.0,,3.0,2.0,,1.0,1.0,,,2.0,0.1437,2.0,2.0,,,,,,,,,
11369976,home,RWDM Brussels,Carlos Alberto,,,carlos-alberto,C. Alberto,M,11,179.0,528,M,1008700,EUR,1018742400,M,89,89,False,,13.0,8.0,2.0,,2.0,2.0,6.0,12.0,3.0,,,67.0,25.0,6.6,11.0,0.0883612,2,,1.0,3.0,6.0,2.0,,1.0,,1.0,,1.0,,2.0,1.0,2.0,,,,,1.0,0.1949,,,1.0,0.1642,,,,,,,
11369976,home,RWDM Brussels,Shuto Abe,,,abe-shuto,S. Abe,M,13,171.0,137,M,986780,EUR,881280000,M,8,8,False,,41.0,27.0,9.0,2.0,11.0,15.0,16.0,27.0,8.0,,,90.0,54.0,6.5,17.0,0.0208633,0,,1.0,,3.0,4.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,
11369976,home,RWDM Brussels,Mamadou Sarr,Mamadou Sarr,,sarr-mamadou,M. Sarr,D,19,194.0,23625,M,1154657,EUR,1125273600,M,29,29,False,,55.0,48.0,10.0,7.0,24.0,26.0,24.0,29.0,7.0,,,90.0,73.0,7.4,9.0,0.0236207,1,,,,1.0,6.0,,,,2.0,1.0,5.0,4.0,2.0,,1.0,,,,1.0,1.0,0.0176,,,,,,,,,,,
11369976,home,RWDM Brussels,Xavier Mercier,,,xavier-mercier,X. Mercier,F,,171.0,74,M,102806,EUR,617328000,M,30,30,False,,32.0,28.0,7.0,6.0,10.0,11.0,21.0,30.0,1.0,,,81.0,47.0,7.9,13.0,0.611735,2,,9.0,,,,,,,1.0,,,,2.0,,,5.0,,,,1.0,0.2728,3.0,,,,1.0,,,,,,
11369976,home,RWDM Brussels,Mickaël Biron,,,mickael-biron,M. Biron,F,7,170.0,132,M,986817,EUR,872553600,M,7,7,False,,20.0,14.0,1.0,,5.0,5.0,9.0,17.0,5.0,,,81.0,37.0,7.9,11.0,0.523629,2,,2.0,2.0,7.0,5.0,,2.0,,,2.0,4.0,2.0,1.0,1.0,3.0,2.0,,1.0,,,0.2651,,,1.0,0.3031,1.0,1.0,1.0,,,,
