match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_fouls,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_keyPass,captain,stat_blockedScoringAttempt,stat_outfielderBlock,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAShot,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork
11406791,home,Frosinone,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,80,80,False,30.0,11.0,21.0,2.0,11.0,12.0,18.0,9.0,4.0,5.0,90.0,39.0,7.8,19.0,0.00011545,0,1.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406791,home,Frosinone,Caleb Okoli,caleb-okoli,C. Okoli,D,5,191,938,M,967722,EUR,994982400,D,5,5,False,41.0,28.0,5.0,,18.0,21.0,20.0,5.0,,,90.0,54.0,7.1,15.0,0.00226501,1,,,,10.0,4.0,2.0,5.0,6.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0236,0.0981,,,,,,,,,,,,,,,,,,,
11406791,home,Frosinone,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193,92,M,111487,EUR,634521600,D,6,6,False,34.0,30.0,3.0,,28.0,28.0,6.0,10.0,,,90.0,42.0,7.0,4.0,0.00068171,0,,,,2.0,1.0,4.0,2.0,6.0,,,2.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,
11406791,home,Frosinone,Kevin Bonifazi,kevin-bonifazi,K. Bonifazi,D,33,187,229,M,365992,EUR,832464000,D,33,33,False,33.0,26.0,5.0,1.0,18.0,21.0,12.0,5.0,,,90.0,39.0,6.6,8.0,0.00261754,0,,,,8.0,2.0,1.0,3.0,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
11406791,home,Frosinone,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,928104,EUR,929750400,M,19,19,False,13.0,10.0,,,5.0,6.0,12.0,1.0,,,90.0,44.0,6.6,13.0,0.0716442,1,,,,8.0,3.0,1.0,9.0,5.0,5.0,,,,,2.0,0.0332,,,2.0,,5.0,3.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,
11406791,home,Frosinone,Luca Mazzitelli,luca-mazzitelli,L. Mazzitelli,M,4,180,415,M,369866,EUR,816393600,M,36,36,False,31.0,19.0,10.0,5.0,6.0,8.0,23.0,5.0,,,86.0,45.0,7.3,12.0,0.0363882,3,,,,13.0,,2.0,2.0,7.0,,1.0,2.0,2.0,1.0,,0.0621,0.0325,,2.0,,,,,,1.0,4.0,,True,1.0,1.0,,,,,,
11406791,home,Frosinone,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,1087316,EUR,990489600,M,45,45,False,39.0,26.0,8.0,3.0,15.0,18.0,21.0,4.0,,,90.0,54.0,7.1,16.0,0.00715047,1,,,,11.0,1.0,2.0,2.0,8.0,,1.0,,2.0,,3.0,0.0161,0.0387,,,,,,1.0,,,5.0,,,,1.0,,,,,,
11406791,home,Frosinone,Emanuele Valeri,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,M,32,32,False,15.0,9.0,2.0,,2.0,3.0,15.0,3.0,,,66.0,32.0,6.1,14.0,0.031929,0,,,,8.0,,,9.0,,3.0,,,,,1.0,,,1.0,1.0,,3.0,1.0,5.0,,,,2.0,,,,,,,,,
11406791,home,Frosinone,Matías Soulé,matias-soule,M. Soulé,F,18,182,12526,M,1082406,EUR,1050364800,F,18,18,False,22.0,17.0,2.0,,8.0,8.0,15.0,2.0,,,85.0,49.0,6.6,20.0,0.0479276,1,,,,10.0,1.0,,7.0,3.0,4.0,,,,,9.0,0.0242,,,,4.0,1.0,1.0,,2.0,,1.0,4.0,,1.0,,matiassoule11,,,,,
11406791,home,Frosinone,Reinier,reinier,Reinier,F,19,185,23831,M,978562,EUR,1011398400,F,12,12,False,16.0,11.0,,,3.0,4.0,12.0,2.0,,,65.0,25.0,6.8,5.0,0.00712367,1,,,,8.0,2.0,,4.0,2.0,1.0,,,1.0,1.0,,0.0278,,,2.0,,,,,1.0,,,,,1.0,,reinier.jesus,,,,,
