match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_totalClearance,stat_wasFouled,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_errorLeadToAShot,stat_unsuccessfulTouch,player_firstName,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_expectedGoalsOnTarget,player_lastName,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded,stat_errorLeadToAGoal
14083620,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,17.0,14.0,5.0,2.0,0.0,14.0,15.0,2.0,3.0,1.0,1.0,90.0,21.0,7.0,3.0,0.00019173,0.3668,0,-0.0461,0.01,0.02,-0.09,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083620,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,D,8,8,False,69.0,64.0,4.0,2.0,0.0,24.0,25.0,44.0,6.0,,,90.0,91.0,7.4,8.0,0.330793,,2,,0.42,0.26,-0.09,,True,40.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0518,2.0,-0.09,,,,,,,,,,,,,,,,,,,
14083620,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,68.0,63.0,3.0,1.0,0.0,36.0,39.0,29.0,4.0,,,90.0,78.0,6.8,5.0,0.019899,,0,,0.26,0.03,-0.06,,,27.0,,,2.0,2.0,,,,,,1.0,,1.0,1.0,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,
14083620,home,Real Madrid,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,24,24,False,73.0,69.0,3.0,2.0,0.0,38.0,40.0,33.0,5.0,,,90.0,88.0,7.4,4.0,0.0156822,,2,,0.18,0.14,0.17,,,31.0,,,1.0,8.0,,,,1.0,1.0,,,2.0,,1.0,0.0607,1.0,-0.39,,7.0,1.0,5.0,,,,,,,,,,,,,,,
14083620,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,79899,M,,1085081,EUR,1048377600,D,18,18,False,79.0,73.0,2.0,1.0,0.0,27.0,29.0,50.0,5.0,,,90.0,106.0,7.0,11.0,0.0737421,,0,,0.19,0.15,-0.07,,,46.0,3.0,1.0,4.0,7.0,1.0,,,,,1.0,,4.0,,1.0,,1.0,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
14083620,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,68.0,66.0,2.0,1.0,0.0,21.0,21.0,47.0,6.0,,,90.0,78.0,6.9,2.0,0.0374934,,3,,0.28,0.07,0.18,,,45.0,,,1.0,3.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5142,,-0.56,,2.0,,2.0,,,2.0,,,,,,,,,,,,
14083620,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,False,60.0,56.0,1.0,1.0,0.0,10.0,12.0,48.0,2.0,,,64.0,69.0,7.1,6.0,0.0444571,,0,,0.29,0.09,-0.09,,,46.0,1.0,,4.0,5.0,1.0,,,,,,,3.0,1.0,1.0,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,
14083620,home,Real Madrid,Franco Mastantuono,franco-mastantuono,F. Mastantuono,M,30,177,178430,M,franco.mastantuono,1403559,EUR,1187049600,M,30,30,False,42.0,37.0,1.0,,0.0,11.0,11.0,31.0,3.0,,,75.0,69.0,6.7,13.0,0.417013,,3,,0.45,0.02,-0.24,,,26.0,2.0,2.0,9.0,8.0,6.0,3.0,1.0,2.0,1.0,,,2.0,2.0,1.0,0.4461,1.0,-0.55,,1.0,3.0,,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,
14083620,home,Real Madrid,Arda Güler,arda-guler,A. Güler,M,15,176,399381,M,AGüler,1091116,EUR,1109289600,M,15,15,False,49.0,44.0,4.0,4.0,0.0,7.0,8.0,41.0,5.0,,,64.0,55.0,6.9,6.0,0.0605153,,3,,-0.06,0.27,0.17,,,37.0,,,1.0,2.0,,,,2.0,1.0,,,1.0,,1.0,0.113,1.0,-0.19,,,1.0,,,,,,1.0,Arda Guler,,,,,,,,,
14083620,home,Real Madrid,Vinícius Júnior,vinicius-junior,Vinícius Jr.,F,7,176,1170289,M,ViniJr,868812,EUR,963360000,M,7,7,False,73.0,64.0,3.0,1.0,0.0,10.0,10.0,63.0,6.0,,,90.0,108.0,9.8,22.0,0.46472,,5,,0.28,0.8,-0.07,,,54.0,4.0,3.0,9.0,11.0,12.0,6.0,1.0,,2.0,,,2.0,1.0,,1.3436,6.0,0.7,,,3.0,,1.0,2.0,1.0,,3.0,,3.0,2.0,1.0,1.3731,,,,,
