match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_totalCross,stat_unsuccessfulTouch,stat_penaltyConceded,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_accurateCross,stat_onTargetScoringAttempt,player_sofascoreId,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_penaltyWon,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss
10411632,home,Sampdoria,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,1,1,False,True,35.0,17.0,29.0,12.0,6.0,9.0,11.0,26.0,6.0,4.0,1.0,2.0,6.0,90.0,47.0,7.8,19.0,0.0,0.0,0.00226683,0,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411632,home,Sampdoria,Jeison Murillo,jeison-murillo,J. Murillo,D,24,182,828,M,158599,EUR,706924800,D,21,21,False,,14.0,11.0,2.0,,7.0,8.0,4.0,6.0,,,,,,45.0,22.0,6.4,3.0,0.0,0.0,0.00272358,0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411632,home,Sampdoria,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190,135,M,70930,EUR,641779200,D,17,17,False,,31.0,27.0,5.0,3.0,21.0,22.0,6.0,9.0,5.0,,,,,90.0,51.0,7.3,4.0,0.0774,0.0,0.00463437,1,,,,1.0,3.0,8.0,1.0,6.0,5.0,1.0,2.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,
10411632,home,Sampdoria,Nicola Murru,nicola-murru,N. Murru,D,29,180,66,M,148745,EUR,787536000,D,29,29,False,,32.0,28.0,2.0,1.0,17.0,19.0,11.0,14.0,3.0,,,,,90.0,45.0,6.6,6.0,0.0,0.0,0.00729328,0,,,,1.0,2.0,6.0,1.0,5.0,3.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10411632,home,Sampdoria,Mehdi Léris,mehdi-leris,M. Léris,M,7,186,1543,M,851222,EUR,895881600,M,37,37,False,,32.0,24.0,2.0,,9.0,13.0,15.0,20.0,4.0,,,,,90.0,49.0,6.4,13.0,0.0,0.0,0.0158416,0,,,,5.0,8.0,8.0,,1.0,1.0,2.0,4.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,
10411632,home,Sampdoria,Tomás Rincón,tomas-rincon,T. Rincón,M,8,175,2735,M,46798,EUR,569030400,M,8,8,False,,20.0,16.0,1.0,1.0,9.0,10.0,7.0,10.0,1.0,,,,,38.0,25.0,5.4,4.0,0.0,0.0,0.00370186,0,,,,,3.0,1.0,,,,3.0,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
10411632,home,Sampdoria,Ronaldo Vieira,ronaldo-vieira,R. Vieira,M,37,180,211,M,839818,EUR,900806400,M,14,14,False,,38.0,32.0,2.0,1.0,16.0,20.0,16.0,19.0,10.0,,,,,83.0,52.0,6.3,10.0,0.0444,0.0,0.00765253,1,,,,,5.0,4.0,,3.0,1.0,4.0,,,,3.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,
10411632,home,Sampdoria,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,3,3,False,,27.0,19.0,,,11.0,14.0,9.0,16.0,4.0,,,,,90.0,50.0,6.8,13.0,0.0,0.0,0.0227618,0,,,,,2.0,5.0,,2.0,2.0,,,,,3.0,3.0,,,1.0,3.0,1.0,1.0,3.0,2.0,,1.0,,,,,,,,,,
10411632,home,Sampdoria,Valerio Verre,valerio-verre,V. Verre,M,,180,102,M,139267,EUR,758246400,F,5,5,False,,23.0,15.0,3.0,1.0,5.0,5.0,10.0,20.0,5.0,,,,,54.0,34.0,6.8,13.0,0.0245,0.1446,0.119762,1,,,,,4.0,3.0,,1.0,1.0,1.0,,,,1.0,2.0,,,2.0,2.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,
10411632,home,Sampdoria,Manolo Gabbiadini,manolo-gabbiadini,M. Gabbiadini,F,11,186,447,M,53816,EUR,691113600,F,23,23,False,,12.0,7.0,,,1.0,3.0,7.0,11.0,1.0,,,,,45.0,24.0,7.1,7.0,0.079,0.087,0.0996429,2,,,,1.0,1.0,5.0,,,,,2.0,,1.0,1.0,2.0,1.0,,,,,3.0,1.0,,,1.0,1.0,,,,,,,,,
