match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_errorLeadToAGoal,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_totalContest,stat_wonContest,stat_interceptionWon,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_lastManTackle
12436876,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,40.0,33.0,13.0,6.0,0.0,28.0,30.0,5.0,10.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,46.0,6.8,7.0,0.00307138,0,-0.3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436876,home,Brentford,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2094,M,924378,EUR,1008806400,D,4,4,False,31.0,24.0,2.0,1.0,0.0,15.0,18.0,10.0,14.0,5.0,1.0,4.0,6.0,,,,,,,90.0,48.0,6.1,7.0,0.0330877,2,,1.0,1.0,3.0,7.0,9.0,1.0,1.0,2.0,1.0,1.0,0.1585,,,,,,,,,,,,,,,,,,,,,
12436876,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,22,22,False,42.0,32.0,6.0,1.0,0.0,26.0,28.0,6.0,14.0,6.0,1.0,13.0,4.0,,,,,,,90.0,62.0,7.5,11.0,0.292655,0,,,,4.0,8.0,10.0,,,1.0,,1.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12436876,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1052,M,855864,EUR,738633600,D,5,5,False,52.0,39.0,5.0,,0.0,25.0,32.0,14.0,20.0,2.0,,5.0,3.0,,,,,,,90.0,64.0,7.1,14.0,0.134133,0,,,,2.0,7.0,8.0,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
12436876,home,Brentford,Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,1089,M,972421,EUR,982800000,D,23,23,False,32.0,28.0,4.0,2.0,0.0,13.0,15.0,16.0,23.0,2.0,,4.0,6.0,,,,,,,90.0,53.0,6.9,11.0,0.273462,0,,6.0,1.0,2.0,1.0,2.0,,,,,,,,,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,,
12436876,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,799251,EUR,820454400,M,8,8,False,27.0,22.0,1.0,,0.0,9.0,10.0,13.0,20.0,3.0,,,5.0,,,,,,,79.0,45.0,6.9,13.0,0.0644578,1,,3.0,,1.0,,5.0,,,,,1.0,0.0211,,,,4.0,,1.0,1.0,1.0,,,1.0,1.0,0.0494,,,,,,,,
12436876,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,50.0,33.0,3.0,,0.0,16.0,21.0,17.0,29.0,4.0,1.0,2.0,4.0,,,,,,,83.0,65.0,6.9,19.0,0.0121248,1,,,,2.0,4.0,9.0,,,1.0,,1.0,0.079,1.0,1.0,2.0,4.0,,,,1.0,,,,1.0,0.1585,True,,,,,,,
12436876,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,M,27,27,False,50.0,36.0,14.0,3.0,1.0,15.0,20.0,23.0,33.0,3.0,1.0,3.0,3.0,,,,,,,90.0,59.0,7.3,15.0,0.314916,2,,3.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,0.1404,,,,,2.0,,,,,,,1.0,0.0534,,1.0,,,,,,
12436876,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,23.0,17.0,1.0,,1.0,6.0,8.0,11.0,22.0,2.0,,1.0,1.0,,,,,,,89.0,43.0,6.9,19.0,0.251377,1,,7.0,,,1.0,3.0,1.0,,1.0,,,0.0911,,,4.0,1.0,1.0,,,,,,2.0,,,,,bryan_m19,,,,,
12436876,home,Brentford,Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,50158,M,805123,EUR,841708800,F,11,11,False,21.0,18.0,1.0,1.0,0.0,6.0,6.0,12.0,16.0,6.0,,,3.0,,,,,,,90.0,38.0,8.3,14.0,0.0192266,2,,1.0,,1.0,1.0,4.0,,,,,,0.6016,,,5.0,2.0,,3.0,1.0,,,,3.0,2.0,1.2187,,,yowissa,2.0,,,,
