match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_wonContest,stat_unsuccessfulTouch,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_penaltyConceded
12764921,home,Legia Warszawa,Gabriel Kobylak,gabriel-kobylak,G. Kobylak,G,27,190,195,M,1009284,EUR,1014163200,G,27,27,False,32.0,26.0,12.0,6.0,0.0,21.0,23.0,5.0,9.0,5.0,1.0,2.0,3.0,90.0,38.0,7.4,6.0,0.00183885,0,0.5488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Paweł Wszołek,pawel-wszolek,P. Wszołek,D,7,186,1059,M,139152,EUR,704592000,D,13,13,False,54.0,48.0,3.0,2.0,1.0,26.0,28.0,22.0,26.0,7.0,,,,90.0,70.0,7.4,10.0,0.073927,0,,2.0,1.0,6.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Radovan Pankov,radovan-pankov,R. Pankov,D,12,185,235,M,557336,EUR,807580800,D,12,12,False,47.0,39.0,9.0,6.0,0.0,27.0,31.0,12.0,16.0,2.0,,,,60.0,55.0,7.0,8.0,0.00679514,0,,,2.0,,3.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Steve Kapuadi,kapuadi-steve,S. Kapuadi,D,3,196,1861,M,1019957,EUR,893894400,D,3,3,False,51.0,39.0,9.0,1.0,0.0,30.0,35.0,9.0,16.0,3.0,,,,90.0,64.0,7.5,13.0,0.107366,0,,2.0,6.0,2.0,7.0,,,4.0,1.0,1.0,,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Rúben Vinagre,ruben-vinagre,R. Vinagre,D,19,174,705,M,846441,EUR,923616000,D,19,19,False,50.0,39.0,4.0,1.0,0.0,28.0,33.0,12.0,21.0,4.0,,,,73.0,78.0,6.6,22.0,0.0425948,0,,,,5.0,3.0,2.0,5.0,1.0,,,1.0,,1.0,,,,,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Bartosz Kapustka,bartosz-kapustka,B. Kapustka,M,67,179,1538,M,309648,EUR,851299200,M,67,67,False,40.0,24.0,4.0,1.0,0.0,10.0,17.0,14.0,24.0,11.0,,,,77.0,59.0,5.8,28.0,0.0185694,1,,2.0,2.0,11.0,6.0,5.0,3.0,1.0,,,3.0,,,,,,,,1.0,,1.0,4.0,True,2.0,1.0,1.0,0.0963,,,,,,,,,,
12764921,home,Legia Warszawa,Rafał Augustyniak,rafal-augustyniak,R. Augustyniak,M,8,185,411,M,338475,EUR,750556800,M,8,8,False,58.0,52.0,4.0,2.0,0.0,32.0,33.0,20.0,25.0,6.0,,,,90.0,85.0,7.9,10.0,0.1129,3,,2.0,4.0,6.0,8.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,,,1.0,,2.0,,,,1.0,,1.0,,,0.0596,2.0,1.0,0.0331,,,,,,,
12764921,home,Legia Warszawa,Ryoya Morishita,morishita-ryoya,R. Morishita,M,25,170,879,M,1020075,EUR,860716800,M,25,25,False,36.0,30.0,,,1.0,12.0,12.0,18.0,24.0,2.0,,,,90.0,49.0,7.3,9.0,0.504662,0,,2.0,,4.0,5.0,1.0,,1.0,2.0,2.0,3.0,,1.0,,,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Kacper Chodyna,kacper-chodyna,K. Chodyna,M,11,176,216,M,942334,EUR,927504000,F,11,11,False,29.0,22.0,,,0.0,8.0,9.0,15.0,25.0,4.0,,,,90.0,51.0,7.0,17.0,0.269984,0,,,1.0,5.0,8.0,3.0,1.0,1.0,5.0,4.0,2.0,1.0,,,,,,,5.0,1.0,,1.0,,,,,,,,,,,,,,,
12764921,home,Legia Warszawa,Marc Gual,marc-gual,M. Gual,F,28,184,480,M,860683,EUR,826675200,F,28,28,False,22.0,14.0,,,1.0,7.0,9.0,7.0,13.0,2.0,,,,60.0,39.0,8.5,13.0,0.14086,4,,1.0,,8.0,7.0,1.0,5.0,,3.0,2.0,2.0,2.0,1.0,,,1.0,,1.0,,,2.0,,,1.0,,,1.5879,,4.0,1.9391,2.0,2.0,1.0,,,,
