match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,captain,stat_challengeLost,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_hitWoodwork,player_firstName,player_lastName,stat_wonTackle,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyWon,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
12450951,home,Olympique de Marseille,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13363,M,gerorulli,128383,EUR,706320000,G,1,1,False,31.0,29.0,4.0,2.0,0.0,29.0,30.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,40.0,7.0,2.0,0.0002433,0,-0.4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Derek Cornelius,derek-cornelius,D. Cornelius,D,13,188,846,M,,801411,EUR,880416000,D,13,13,False,43.0,39.0,1.0,,0.0,31.0,32.0,11.0,,,,3.0,,,,45.0,45.0,6.5,4.0,0.00248807,1,,8.0,1.0,2.0,1.0,1.0,1.0,0.1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188,7165,M,leobalerdi5,928236,EUR,917308800,D,5,5,False,91.0,84.0,6.0,2.0,0.0,62.0,64.0,27.0,,3.0,3.0,9.0,,,,90.0,104.0,6.8,8.0,0.0119047,1,,22.0,,3.0,1.0,3.0,2.0,0.0161,True,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,,988907,EUR,941500800,D,20,20,False,77.0,67.0,7.0,3.0,0.0,40.0,44.0,34.0,1.0,2.0,2.0,5.0,,,,90.0,91.0,7.2,14.0,0.0199808,0,,27.0,,1.0,,4.0,1.0,,,,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Luís Henrique,luis-henrique,L. Henrique,M,11,181,6103,M,,977679,EUR,1008288000,M,44,44,False,50.0,40.0,6.0,3.0,0.0,11.0,15.0,42.0,,1.0,2.0,2.0,,,,90.0,71.0,7.8,15.0,0.219438,4,,32.0,,,3.0,,,0.1697,,,,1.0,,7.0,,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Bilal Nadir,bilal-nadir,B. Nadir,M,26,178,4739,M,,1129527,EUR,1069891200,M,26,26,False,36.0,28.0,1.0,1.0,0.0,18.0,22.0,16.0,,1.0,1.0,4.0,,,,61.0,43.0,6.8,9.0,0.053062,0,,11.0,1.0,1.0,,1.0,,,,,1.0,,,2.0,,2.0,1.0,,,,,,Bilal,Nadir,1.0,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,23,23,False,103.0,90.0,4.0,,0.0,40.0,42.0,65.0,1.0,4.0,,8.0,,,,90.0,121.0,7.3,17.0,0.318694,1,,53.0,,5.0,,3.0,,0.1035,,3.0,1.0,1.0,2.0,4.0,,3.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,
12450951,home,Olympique de Marseille,Ulisses Garcia,ulisses-garcia,U. Garcia,D,23,185,742,M,,558320,EUR,821318400,M,6,6,False,27.0,24.0,,,0.0,15.0,17.0,12.0,2.0,3.0,1.0,2.0,,,,61.0,44.0,6.8,8.0,0.0147657,1,,9.0,,1.0,1.0,1.0,,0.1638,,,,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,
12450951,home,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,MGreenwood,942116,EUR,1001894400,F,10,10,False,30.0,27.0,5.0,3.0,0.0,6.0,6.0,30.0,,3.0,,1.0,,,,90.0,49.0,6.5,12.0,0.131765,6,,22.0,,3.0,2.0,,1.0,1.3991,,,,1.0,1.0,6.0,,1.0,1.0,4.0,2.0,,2.0,,,,,,3.0,2.0,1.0,0.9473,,,,,,,
12450951,home,Olympique de Marseille,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,F,25,25,False,41.0,37.0,,,0.0,12.0,12.0,31.0,1.0,8.0,3.0,2.0,,,,90.0,59.0,7.2,9.0,0.0283816,1,,25.0,,5.0,,2.0,3.0,0.0208,,1.0,4.0,1.0,2.0,2.0,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,,1.0,,,,,,
