match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_bigChanceCreated,stat_challengeLost,stat_wasFouled,stat_bigChanceMissed,stat_goals,stat_totalOffside,player_sofascoreId,stat_clearanceOffLine
11401856,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187.0,669,M,943212,EUR,953942400,G,31,31,False,27.0,18.0,13.0,4.0,16.0,19.0,2.0,8.0,2.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,32.0,6.5,9.0,0.0,0.0,0.00074234,0,-0.3553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401856,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184.0,113,M,78730,EUR,631670400,D,12,12,False,34.0,26.0,4.0,3.0,12.0,13.0,15.0,26.0,1.0,1.0,1.0,2.0,,,,,90.0,62.0,7.0,21.0,0.0233,0.0,0.283322,1,,True,1.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
11401856,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191.0,291,M,905458,EUR,973814400,D,14,14,False,50.0,42.0,5.0,1.0,35.0,37.0,7.0,13.0,2.0,3.0,1.0,10.0,,,,,90.0,58.0,6.6,12.0,0.035,0.123,0.0133569,1,,,,,,4.0,5.0,,,,3.0,2.0,,Rodrigo,Guth,1.0,1.0,1.0,,,,,,,,,,,,,
11401856,home,Fortuna Sittard,Dimitrios Siovas,dimitrios-siovas,D. Siovas,D,,191.0,184,M,41165,EUR,590284800,D,33,33,False,52.0,41.0,12.0,5.0,28.0,29.0,13.0,23.0,4.0,5.0,6.0,6.0,,,,,90.0,66.0,7.6,11.0,0.1507,0.0,0.015579,3,,,,,,,,,,,,,,Dimitrios,Siovas,,,,1.0,1.0,3.0,1.0,2.0,,,,,,,,
11401856,home,Fortuna Sittard,Mitchell Dijks,mitchell-dijks,M. Dijks,D,24,192.0,201,M,235400,EUR,729216000,D,35,35,False,18.0,15.0,2.0,1.0,7.0,7.0,10.0,14.0,2.0,3.0,1.0,3.0,,,,,86.0,39.0,6.9,9.0,0.1105,0.0818,0.0829282,1,,,,3.0,2.0,2.0,5.0,1.0,,,,1.0,3.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,
11401856,home,Fortuna Sittard,Deroy Duarte,deroy-duarte,D. Duarte,M,23,177.0,217,M,921089,EUR,931046400,M,6,6,False,38.0,32.0,2.0,,18.0,19.0,14.0,19.0,1.0,4.0,1.0,6.0,,,,,90.0,47.0,6.8,6.0,0.0253,0.0,0.0253891,1,,,,,,1.0,2.0,,1.0,1.0,,,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,
11401856,home,Fortuna Sittard,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190.0,104,M,954812,EUR,903052800,M,32,32,False,29.0,23.0,2.0,1.0,9.0,9.0,14.0,20.0,3.0,3.0,,3.0,,,,,55.0,30.0,6.7,6.0,0.0,0.0,0.0291431,0,,,,,,1.0,3.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,
11401856,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178.0,215,M,605650,EUR,858211200,M,7,7,False,42.0,26.0,2.0,1.0,8.0,11.0,19.0,35.0,,8.0,,11.0,,,,,90.0,63.0,8.2,21.0,0.0902,0.3065,0.693591,3,,,1.0,4.0,1.0,,5.0,,,2.0,,2.0,2.0,,,1.0,3.0,3.0,5.0,3.0,2.0,,,1.0,1.0,2.0,,,,,
11401856,home,Fortuna Sittard,Alen Halilović,alen-halilovic,A. Halilović,M,10,169.0,1721,M,277331,EUR,835056000,M,10,10,False,41.0,36.0,3.0,3.0,11.0,12.0,30.0,38.0,,4.0,,6.0,,,,,89.0,67.0,9.9,15.0,0.8407,1.4129,0.999488,7,,,1.0,9.0,5.0,,3.0,1.0,1.0,,4.0,1.0,8.0,,,5.0,,,4.0,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,
11401856,home,Fortuna Sittard,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177.0,1224,M,1069244,EUR,931305600,M,77,77,False,34.0,25.0,1.0,1.0,8.0,9.0,17.0,29.0,1.0,9.0,,6.0,,,,,86.0,64.0,7.9,22.0,0.3593,0.7272,0.0316544,3,,,,4.0,,4.0,10.0,2.0,1.0,,3.0,2.0,3.0,,,1.0,2.0,1.0,8.0,6.0,1.0,,1.0,,,,,1.0,,,
11401856,home,Fortuna Sittard,Kaj Sierhuis,kaj-sierhuis,K. Sierhuis,F,9,180.0,498,M,855847,EUR,893635200,F,9,9,False,7.0,4.0,,,2.0,2.0,2.0,6.0,1.0,2.0,,1.0,,,,,55.0,15.0,6.7,8.0,0.1563,0.0,0.00424771,2,,,,1.0,,4.0,5.0,,,,3.0,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,
11401856,home,Fortuna Sittard,Oğuzhan Özyakup,oguzhan-ozyakup,O. Özyakup,M,,180.0,252,M,137642,EUR,717206400,M,15,15,True,26.0,23.0,3.0,1.0,8.0,8.0,15.0,19.0,1.0,3.0,,4.0,,,,,35.0,33.0,7.6,4.0,0.602,0.8759,0.0335804,1,,,,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,
11401856,home,Fortuna Sittard,Mouhamed Belkheir,mouhamed-belkheir,M. Belkheir,F,14,185.0,410,M,928920,EUR,915235200,F,20,20,True,7.0,3.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,4.0,1.0,1.0,,,,,35.0,16.0,6.9,6.0,0.1163,0.0,0.00191546,3,,,,1.0,,2.0,4.0,,,,1.0,,,,,,,,3.0,3.0,3.0,,,,2.0,,,,1.0,,
11401856,home,Fortuna Sittard,Rémy Vita,remy-vita,R. Vita,D,21,170.0,144,M,1035696,EUR,986083200,D,61,61,True,5.0,4.0,1.0,,4.0,5.0,,,,,,,,,,,14.0,5.0,6.5,1.0,0.0,0.0,3.907e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401856,home,Fortuna Sittard,Marko Lazetić,marko-lazetic,M. Lazetić,F,27,192.0,1043,M,997215,EUR,1074729600,F,11,11,True,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,14.0,8.0,6.5,4.0,0.1107,0.0,0.00603655,1,,,,,,,3.0,2.0,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,
