match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,captain,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_totalCross,stat_dispossessed,player_sofascoreId,stat_totalContest,stat_wonContest,stat_accurateCross,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAShot,stat_errorLeadToAGoal
10388324,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,27.0,19.0,10.0,2.0,17.0,19.0,2.0,8.0,1.0,1.0,1.0,9.0,3.0,4.0,1.0,90.0,39.0,8.1,8.0,0.0,0.0,0.0005992,0,0.7408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388324,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,31.0,24.0,4.0,,20.0,24.0,4.0,7.0,2.0,2.0,6.0,3.0,,,,90.0,43.0,6.9,8.0,0.3635,0.5407,0.00211272,2,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10388324,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,28.0,24.0,4.0,1.0,20.0,22.0,4.0,6.0,2.0,3.0,4.0,4.0,,,,90.0,38.0,7.1,4.0,0.1642,0.0843,0.00401962,1,,,,1.0,3.0,,,1.0,1.0,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10388324,home,RB Leipzig,Marcel Halstenberg,marcel-halstenberg,M. Halstenberg,D,,187,311,M,103364,EUR,685929600,D,23,23,False,36.0,32.0,2.0,1.0,24.0,28.0,8.0,8.0,1.0,4.0,2.0,4.0,,,,82.0,46.0,7.1,4.0,0.0,0.0,0.10513,0,,,,2.0,5.0,,,,,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10388324,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,M,39,39,False,19.0,9.0,4.0,3.0,2.0,8.0,7.0,12.0,1.0,1.0,,1.0,,,,42.0,31.0,6.4,15.0,0.0397,0.0,0.141001,1,,,,,5.0,,1.0,,,1.0,3.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10388324,home,RB Leipzig,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,355492,EUR,864691200,M,27,27,False,28.0,20.0,5.0,2.0,11.0,12.0,9.0,17.0,,6.0,1.0,6.0,,,,90.0,44.0,7.2,12.0,0.0551,0.04,0.0124113,2,,,,,4.0,,1.0,1.0,,3.0,2.0,,2.0,,,,3.0,2.0,,1.0,,KonradLaimer,3.0,3.0,,,,,,,,,,,,
10388324,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,752,M,84251,EUR,655430400,M,44,44,False,30.0,24.0,3.0,3.0,13.0,17.0,12.0,14.0,,1.0,,6.0,,,,64.0,35.0,6.7,8.0,0.0,0.0,0.2436,0,,,,1.0,4.0,,,,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,
10388324,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,M,22,22,False,43.0,32.0,6.0,1.0,17.0,20.0,16.0,29.0,1.0,2.0,1.0,4.0,,,,90.0,64.0,6.7,18.0,0.0,0.0,0.0538133,0,,,,,2.0,,,,,,1.0,,,,,,1.0,,,6.0,,,1.0,,1.0,,,,,,,,,,,
10388324,home,RB Leipzig,Dani Olmo,dani-olmo,D. Olmo,M,20,179,190811,M,789071,EUR,894499200,F,7,7,False,41.0,31.0,4.0,2.0,13.0,14.0,20.0,31.0,,10.0,,7.0,,,,90.0,68.0,7.7,20.0,0.2384,0.0,0.781836,1,,,,2.0,9.0,1.0,1.0,,,4.0,4.0,,,,5.0,,,,4.0,4.0,2.0,DaniOlmo,7.0,5.0,2.0,1.0,,,,,,,,,,
10388324,home,RB Leipzig,André Silva,andre-silva,A. Silva,F,9,185,5788,M,190159,EUR,815616000,F,19,19,False,13.0,7.0,,,2.0,3.0,5.0,10.0,2.0,6.0,,4.0,,,,64.0,24.0,7.5,8.0,0.2726,0.0456,0.147116,3,,,,1.0,3.0,,,2.0,,1.0,1.0,,,,3.0,1.0,1.0,,1.0,,,andresilva9,1.0,,,,1.0,,,,,,,,,
