match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_aerialLost,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_penaltyWon,stat_challengeLost,stat_accurateCross,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyMiss,stat_goodHighClaim,stat_penaltyFaced,stat_bigChanceCreated,stat_penaltyConceded,stat_hitWoodwork,stat_goals
14053657,home,NAC Breda,Sydney van Hooijdonk,Sydney,van Hooijdonk,sydney-van-hooijdonk,S. v. Hooijdonk,F,20,190.0,703,M,943595,EUR,949795200,F,17,17,False,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,41.0,7.0,5.4,2.0,0.00093771,,0,,-0.01,-0.03,-0.01,,,2.0,6.0,4.0,,,,,1.0,,1.0,,,,3.0,3.0,,,,,1.0,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Cherrion Valerius,Cherrion,Valerius,valerius-cherrion,C. Valerius,D,25,192.0,131,M,1515525,EUR,1127347200,D,25,25,True,5.0,1.0,2.0,,0.0,,1.0,1.0,4.0,4.0,1.0,,,45.0,20.0,6.6,8.0,8.616e-05,,1,,-0.05,0.1,0.23,,,,2.0,2.0,,,2.0,1.0,,,1.0,0.1162,,-0.09,,,,2.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,
14053657,home,NAC Breda,Charles-Andreas Brym,Charles-Andreas,Brym,charles-andreas-brym,C. Brym,F,7,180.0,203,M,990814,EUR,902534400,F,7,7,True,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,,1.0,,,45.0,14.0,5.8,4.0,0.096839,,1,,0.1,-0.1,-0.06,,,,4.0,2.0,2.0,,,,,,2.0,0.7884,,-1.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,
14053657,home,NAC Breda,Enes Mahmutović,Enes,Mahmutović,enes-mahmutovic,E. Mahmutović,D,15,190.0,129,M,571964,EUR,864259200,D,15,15,True,2.0,1.0,,,0.0,1.0,2.0,,,2.0,1.0,,,23.0,5.0,6.1,1.0,1.15e-06,,0,,-0.02,,-0.21,,,1.0,4.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
14053657,home,NAC Breda,Clint Leemans,Clint,Leemans,clint-franciscus-henricus-leemans,C. Leemans,M,8,187.0,91,M,336811,EUR,811123200,M,8,8,True,,,,,0.0,,,0.0,0.0,,,,,1.0,1.0,,,0.0866653,,0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
14053657,home,NAC Breda,Dion Versluis,Dion Versluis,,dion-versluis,D. Versluis,F,23,192.0,33,M,1388442,EUR,1045440000,F,23,23,True,,,,,0.0,,,,,,,,,1.0,2.0,,1.0,,,0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Kostas Lamprou,,,kostas-lamprou,K. Lamprou,G,31,176.0,186,M,42876,EUR,685065600,G,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Roy Kortsmit,Roy,Kortsmit,roy-kortsmit,R. Kortsmit,G,1,190.0,35,M,168437,EUR,714787200,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Terence Kongolo,Terence,Kongolo,terence-kongolo,T. Kongolo,D,,188.0,165,M,138837,EUR,761184000,D,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Jayden Candelaria,,,jayden-candelaria,J. Candelaria,D,21,184.0,86,M,1130306,EUR,1078185600,D,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Raul Paula,Raul Paula,,paula-raul,R. Paula,M,11,177.0,105,M,1083398,EUR,1074988800,M,11,11,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Fredrik Jensen,Fredrik,Jensen,fredrik-jensen,F. Jensen,M,20,185.0,100,M,226762,EUR,737683200,M,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,home,NAC Breda,Pepijn Reulen,Pepijn,Reulen,pepijn-reulen,P. Reulen,F,26,,53,M,2197943,EUR,1212278400,F,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053657,away,AZ Alkmaar,Rome Jayden Owusu-Oduro,,,rome-jayden-owusu-oduro,R. J. Owusu-Oduro,G,1,189.0,1341,M,1145999,EUR,1088726400,G,1,1,False,24.0,16.0,11.0,3.0,0.0,14.0,15.0,2.0,9.0,1.0,7.0,4.0,6.0,90.0,35.0,8.2,8.0,0.00101016,0.8664,0,1.6883,0.08,0.01,0.23,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
14053657,away,AZ Alkmaar,Denso Kasius,,,denso-kasius,D. Kasius,D,30,186.0,391,M,1008111,EUR,1033862400,D,30,30,False,31.0,25.0,3.0,2.0,0.0,13.0,14.0,12.0,17.0,3.0,4.0,,,81.0,57.0,6.9,13.0,0.0717992,,3,,-0.13,0.06,0.35,,4.0,,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,,0.1503,0.1218,-0.24,,,3.0,1.0,,,2.0,,,1.0,1.0,,,,2.0,,,,1.0,,,
14053657,away,AZ Alkmaar,Wouter Goes,,,wouter-goes,W. Goes,D,3,187.0,709,M,1145982,EUR,1086825600,D,3,3,False,64.0,60.0,8.0,4.0,0.0,27.0,27.0,33.0,37.0,1.0,3.0,,,90.0,78.0,8.3,7.0,0.183967,,0,,0.43,0.18,0.42,,,2.0,,7.0,,,1.0,1.0,2.0,2.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
14053657,away,AZ Alkmaar,Alexandre Penetra,,,alexandre-penetra,A. Penetra,D,5,184.0,386,M,1004278,EUR,999993600,D,5,5,False,64.0,63.0,4.0,4.0,0.0,33.0,33.0,30.0,31.0,6.0,4.0,,,90.0,77.0,7.5,1.0,0.0188256,,1,,0.24,0.1,0.24,,,2.0,5.0,4.0,,,,1.0,,,1.0,0.0536,,-0.24,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
14053657,away,AZ Alkmaar,Mees de Wit,,,mees-de-wit,M. de Wit,D,34,178.0,170,M,893559,EUR,892771200,D,34,34,False,31.0,25.0,1.0,,0.0,5.0,7.0,20.0,24.0,2.0,4.0,,,60.0,43.0,6.5,10.0,0.0214284,,2,,-0.23,0.15,-0.03,,2.0,,2.0,3.0,,2.0,,1.0,2.0,,,0.2976,0.3878,-0.52,,2.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,
14053657,away,AZ Alkmaar,Peer Koopmeiners,,,peer-koopmeiners,P. Koopmeiners,M,6,186.0,510,M,922018,EUR,957398400,M,6,6,False,40.0,37.0,2.0,1.0,0.0,17.0,17.0,20.0,23.0,3.0,3.0,,,90.0,57.0,6.7,9.0,0.0368618,,2,,0.23,0.07,0.14,,2.0,2.0,5.0,3.0,,,,,1.0,,,0.0595,,-0.05,2.0,,,2.0,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,
14053657,away,AZ Alkmaar,Jordy Clasie,,,jordy-clasie,J. Clasie,M,8,169.0,219,M,116946,EUR,677980800,M,8,8,False,68.0,63.0,5.0,3.0,0.0,22.0,23.0,41.0,45.0,1.0,4.0,,,90.0,78.0,7.2,8.0,0.162303,,0,,0.3,0.17,-0.06,,,,4.0,3.0,,,,,2.0,2.0,,,,,,,6.0,3.0,1.0,,1.0,True,,2.0,,,,,,,,,,,,
14053657,away,AZ Alkmaar,Ibrahim Sadiq,,,ibrahim-sadiq,I. Sadiq,M,11,166.0,1316,M,905174,EUR,957657600,M,11,11,False,16.0,14.0,4.0,4.0,0.0,2.0,3.0,12.0,13.0,1.0,1.0,,,60.0,28.0,6.5,6.0,0.0889337,,2,,0.07,0.01,-0.23,,,1.0,7.0,3.0,2.0,2.0,,1.0,1.0,1.0,,0.1602,0.395,0.05,1.0,2.0,,2.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,1.0,,
14053657,away,AZ Alkmaar,Kees Smit,,,kees-smit,K. Smit,M,26,182.0,3714,M,1405756,EUR,1137801600,M,26,26,False,36.0,32.0,1.0,1.0,0.0,5.0,7.0,27.0,29.0,,4.0,,,86.0,50.0,6.6,10.0,0.660612,,4,,0.32,0.3,-0.06,,1.0,,7.0,2.0,1.0,,,,1.0,,,0.3,,-0.4,,3.0,3.0,3.0,1.0,3.0,2.0,,,1.0,,,,,1.0,,,,1.0,,1.0,
14053657,away,AZ Alkmaar,Ro-Zangelo Daal,,,ro-zangelo-daal,R. Daal,M,27,173.0,437,M,1145989,EUR,1096675200,M,27,27,False,34.0,30.0,1.0,,0.0,7.0,7.0,23.0,27.0,,1.0,,,81.0,45.0,7.1,9.0,0.266887,,1,,0.15,0.76,-0.03,,1.0,,5.0,2.0,,,,,1.0,1.0,,0.0303,,-0.2,2.0,2.0,4.0,2.0,1.0,1.0,3.0,,,1.0,,,,,,,,,1.0,,,
14053657,away,AZ Alkmaar,Mexx Meerdink,,,mexx-meerdink,M. Meerdink,F,35,182.0,933,M,1153117,EUR,1059004800,F,35,35,False,16.0,7.0,,,0.0,2.0,3.0,5.0,13.0,3.0,3.0,,,90.0,31.0,5.9,14.0,0.019363,,1,,-1.0,0.38,0.24,,,3.0,7.0,6.0,3.0,,,,,,3.0,0.0234,,-0.2,4.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,
14053657,away,AZ Alkmaar,Weslley Patati,,,weslley-patati,W. Patati,M,7,167.0,1129,M,1148468,EUR,1064966400,F,7,7,True,9.0,8.0,,,0.0,1.0,1.0,7.0,8.0,,,,,30.0,24.0,6.5,4.0,0.152749,,3,,0.01,0.13,-0.05,,2.0,,2.0,3.0,,,,,2.0,1.0,1.0,0.6062,,-0.61,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,,,1.0,3.0,,,,1.0,,,
