match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_goalAssist,stat_totalCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_fouls,stat_wasFouled,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyWon,player_sofascoreId,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyConceded
11391335,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188,2069,M,1154630,EUR,1110499200,G,50,50,False,20.0,18.0,4.0,2.0,18.0,19.0,1.0,2.0,4.0,2.0,3.0,90.0,28.0,6.3,3.0,3.797e-05,0,-1.9586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391335,home,Toulouse,Logan Costa,,,logan-costa,L. Costa,D,2,188,677,M,911853,EUR,986083200,D,6,6,False,64.0,50.0,9.0,7.0,22.0,29.0,35.0,3.0,3.0,,,90.0,74.0,6.8,16.0,0.0158341,0,,28.0,2.0,5.0,2.0,7.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391335,home,Toulouse,Rasmus Nicolaisen,,,rasmus-nicolaisen,R. Nicolaisen,D,2,190,261,M,798124,EUR,858470400,D,2,2,False,48.0,45.0,3.0,3.0,25.0,27.0,21.0,4.0,3.0,,,90.0,64.0,7.2,4.0,0.0895105,1,,20.0,2.0,4.0,5.0,6.0,,,1.0,3.0,1.0,3.0,1.0,2.0,2.0,0.0642,1.0,,,,,,,,,,,,,,,,,,,,,,
11391335,home,Toulouse,Christian Mawissa,,,christian-mawissa,C. Mawissa,D,13,184,895,M,1407848,EUR,1113782400,D,13,13,False,50.0,45.0,6.0,3.0,20.0,21.0,29.0,1.0,6.0,,,90.0,64.0,6.9,6.0,0.0159285,0,,25.0,1.0,,2.0,4.0,3.0,3.0,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11391335,home,Toulouse,Warren Kamanzi,,,warren-kamanzi,W. Kamanzi,M,12,177,196,M,1048366,EUR,973900800,M,12,12,False,19.0,16.0,,,4.0,6.0,15.0,1.0,2.0,,,78.0,32.0,6.7,7.0,0.696143,1,,12.0,5.0,,8.0,,1.0,,,,,,,,,0.1874,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11391335,home,Toulouse,Stijn Spierings,,,spierings-stijn,S. Spierings,M,6,189,224,M,788977,EUR,826588800,M,4,4,False,43.0,40.0,5.0,4.0,14.0,15.0,28.0,4.0,9.0,,,69.0,56.0,6.9,4.0,0.0485687,0,,26.0,2.0,,4.0,4.0,,,,1.0,,,,2.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
11391335,home,Toulouse,Vincent Sierro,,,vincent-sierro,V. Sierro,M,14,184,461,M,794412,EUR,813110400,M,8,8,False,62.0,59.0,2.0,1.0,21.0,21.0,50.0,2.0,4.0,,,89.0,86.0,7.2,12.0,0.0722108,2,,40.0,,,12.0,3.0,2.0,1.0,,5.0,,,1.0,1.0,1.0,0.8317,2.0,,9.0,1.0,,,5.0,1.0,True,2.0,2.0,1.0,1.1329,,,,,,,,,,
11391335,home,Toulouse,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,M,17,17,False,57.0,44.0,5.0,,14.0,17.0,47.0,1.0,1.0,,,90.0,90.0,6.8,23.0,0.186355,0,,32.0,1.0,1.0,11.0,8.0,3.0,1.0,1.0,5.0,,,2.0,6.0,2.0,,4.0,,7.0,,,,3.0,,,2.0,,,,2.0,,,,,,,,,
11391335,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,F,15,15,False,20.0,14.0,2.0,1.0,4.0,5.0,15.0,,3.0,,,69.0,26.0,6.6,10.0,0.110561,1,,10.0,,,2.0,1.0,1.0,1.0,4.0,,,,,,,0.0398,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
11391335,home,Toulouse,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173,957,M,911851,EUR,979430400,F,37,37,False,18.0,15.0,,,2.0,2.0,16.0,1.0,2.0,,,89.0,43.0,7.2,14.0,0.208027,2,,13.0,,,7.0,8.0,6.0,1.0,5.0,,,,,1.0,,0.0974,1.0,,,1.0,,2.0,1.0,6.0,,,,,,,1.0,,,,,,,,
