match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_goals,stat_shotOffTarget,stat_totalOffside,stat_saves,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10385529,home,Brentford,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,1,1,False,39.0,28.0,18.0,7.0,23.0,27.0,5.0,12.0,1.0,1.0,6.0,1.0,1.0,1.0,90.0,47.0,6.4,12.0,0.0,0.0,0.00088736,0,-0.2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385529,home,Brentford,Aaron Hickey,hickey-aaron,A. Hickey,D,2,185,842,M,,966869,EUR,1023667200,D,2,2,False,43.0,40.0,2.0,2.0,21.0,22.0,20.0,22.0,2.0,1.0,8.0,,,,90.0,67.0,7.4,5.0,0.0,0.0,0.0384854,0,,1.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
10385529,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1052,M,,855864,EUR,738633600,D,5,5,False,52.0,45.0,6.0,3.0,33.0,35.0,12.0,18.0,5.0,,6.0,,,,90.0,69.0,7.2,8.0,0.0,0.0,0.00717495,0,,1.0,,1.0,1.0,3.0,,,,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,
10385529,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180,577,M,,137774,EUR,622339200,D,16,16,False,68.0,51.0,12.0,6.0,32.0,34.0,19.0,34.0,2.0,1.0,7.0,,,,90.0,81.0,7.2,17.0,0.0,0.0,0.019895,0,,,,7.0,8.0,10.0,,,1.0,1.0,1.0,3.0,2.0,,,6.0,1.0,1.0,,,,,,,,,,,,
10385529,home,Brentford,Rico Henry,rico-henry,R. Henry,D,3,175,712,M,,599128,EUR,868320000,D,3,3,False,47.0,36.0,4.0,3.0,15.0,19.0,22.0,32.0,,,3.0,,,,90.0,66.0,6.6,18.0,0.0878,0.0,0.0647266,3,,4.0,1.0,1.0,5.0,4.0,2.0,,1.0,,,2.0,2.0,2.0,,2.0,1.0,3.0,,,3.0,,,,,,,,,
10385529,home,Brentford,Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3593,M,,907072,EUR,962582400,M,24,24,False,34.0,25.0,5.0,2.0,10.0,13.0,16.0,25.0,,,3.0,,,,61.0,45.0,6.6,13.0,0.0902,0.0,0.368951,1,,4.0,1.0,,4.0,4.0,3.0,1.0,2.0,2.0,,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,
10385529,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,,135256,EUR,763257600,M,6,6,False,57.0,44.0,2.0,2.0,20.0,22.0,24.0,35.0,2.0,2.0,13.0,,,,90.0,76.0,7.0,16.0,0.0,0.0,0.0314801,0,,,,,7.0,7.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,,2.0,2.0,,,,,True,,,,,,,,
10385529,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,1047,M,,799251,EUR,820454400,M,8,8,False,35.0,25.0,7.0,3.0,12.0,13.0,16.0,27.0,,2.0,3.0,,,,75.0,58.0,7.8,17.0,0.0476,0.149,0.182197,1,,5.0,3.0,,4.0,5.0,2.0,1.0,,,,2.0,2.0,,3.0,,1.0,2.0,,,,,1.0,1.0,,,,,,
10385529,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,bryan_m19,927083,EUR,933984000,F,19,19,False,36.0,23.0,3.0,3.0,7.0,10.0,18.0,37.0,1.0,,3.0,,,,89.0,59.0,7.2,26.0,0.2354,0.0,0.298856,3,,11.0,2.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,,1.0,1.0,2.0,,2.0,,,,,1.0,,,,2.0,,,,,
10385529,home,Brentford,Ivan Toney,ivan-toney,I. Toney,F,17,185,12673,M,ivantoney,290927,EUR,826934400,F,17,17,False,19.0,14.0,,,4.0,5.0,10.0,16.0,1.0,,2.0,,,,90.0,30.0,6.6,10.0,0.1603,0.0,0.0413428,2,,2.0,,2.0,4.0,4.0,,,1.0,,,1.0,,2.0,1.0,2.0,1.0,,,,2.0,,,,,1.0,,,,
