match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_goals,stat_accurateCross,stat_totalContest,stat_totalOffside,stat_shotOffTarget,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_challengeLost,player_sofascoreId,captain,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork
14572748,home,Basel,Marwin Hitz,marwin-hitz,M. Hitz,G,1,193.0,373,M,37813,EUR,558921600,G,1,1,False,27.0,25.0,5.0,4.0,0.0,25.0,26.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,90.0,34.0,6.4,2.0,0.00015435,62.132181272577,8.0,45.255,12.705,0.1094,0,-0.253,0.01,0.01,-0.19,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572748,home,Basel,Keigo Tsunemoto,keigo-tsunemoto,K. Tsunemoto,D,6,172.0,460,M,832979,EUR,908928000,D,6,6,False,41.0,32.0,5.0,1.0,0.0,21.0,26.0,15.0,,7.0,3.0,7.0,,,,90.0,67.0,6.5,15.0,0.00800803,79.58346085436,7.0,42.945,21.84,,0,,-0.05,0.07,-0.28,,11.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14572748,home,Basel,Jonas Adjei Adjetey,adjei-adjetey-jonas,J. A. Adjetey,D,18,188.0,1987,M,1218056,EUR,1071273600,D,32,32,False,51.0,45.0,9.0,5.0,0.0,38.0,40.0,11.0,4.0,4.0,5.0,3.0,,,,90.0,59.0,7.0,7.0,0.00495427,205.56967510598,20.0,108.465,30.87,,1,,0.15,0.07,-0.09,,7.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,0.0482,0.0895,0.1,,,,,,,,,,,,,,,,,,
14572748,home,Basel,Flavius Daniliuc,flavius-daniliuc,F. Daniliuc,D,24,186.0,441,M,901885,EUR,988329600,D,24,24,False,66.0,61.0,7.0,4.0,0.0,39.0,41.0,25.0,1.0,4.0,1.0,7.0,,,,90.0,74.0,8.3,7.0,0.00748661,252.20873077818,20.0,178.08,36.12,,1,,0.17,0.11,0.15,,22.0,,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,0.2272,0.7652,0.53,,,1.0,,,,,,,,,,,,,,,
14572748,home,Basel,Dominik Schmid,dominik-schmid,D. Schmid,D,31,182.0,155,M,883466,EUR,889488000,D,31,31,False,39.0,29.0,5.0,1.0,0.0,16.0,22.0,17.0,1.0,7.0,1.0,4.0,,,,90.0,67.0,6.6,18.0,0.249088,71.366490263698,10.0,47.355,13.125,,1,,0.29,0.03,-0.34,,13.0,7.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,,1.0,,0.0904,0.1727,-0.09,,,,3.0,1.0,2.0,,,,,,,,,,,,
14572748,home,Basel,Metinho,metinho,Metinho,M,5,178.0,959,M,1106148,EUR,1051056000,M,5,5,False,52.0,45.0,2.0,1.0,0.0,27.0,31.0,21.0,,2.0,3.0,3.0,,,,90.0,60.0,6.7,7.0,0.0167574,136.18845236007,15.0,17.745,15.75,,1,,-0.1,0.17,-0.11,,18.0,,,1.0,2.0,,,,,1.0,,,,0.0561,,-0.06,Metinho,,,,,,1.0,,,,,,,,,,,
14572748,home,Basel,Bénie Traoré,benie-traore,B. Traore,M,11,172.0,1375,M,1099792,EUR,1038614400,M,11,11,False,13.0,11.0,,,0.0,6.0,6.0,7.0,,1.0,,6.0,,,,75.0,27.0,6.4,7.0,0.0818453,67.513194873113,7.0,49.665,16.695,,0,,0.21,0.01,-0.13,,5.0,1.0,4.0,2.0,,,2.0,,,2.0,1.0,,,,,,Benie Traore,,,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,
14572748,home,Basel,Leo Leroy,leo-leroy,L. Leroy,M,22,185.0,167,M,976001,EUR,950486400,M,22,22,False,24.0,20.0,3.0,1.0,0.0,11.0,12.0,12.0,,4.0,1.0,3.0,,,,85.0,36.0,6.4,5.0,0.00911944,48.481654434477,7.0,-18.375,4.095,,2,,-0.02,0.07,-0.07,,9.0,,6.0,1.0,2.0,2.0,,,4.0,1.0,1.0,1.0,,0.0569,0.0244,-0.07,,,,,3.0,,,,2.0,1.0,,,,,,,,
14572748,home,Basel,Andrej Bačanin,andrej-bacanin,A. Bačanin,M,14,187.0,268,M,1584962,EUR,1173225600,M,14,14,False,19.0,14.0,1.0,1.0,0.0,7.0,9.0,10.0,,3.0,,2.0,,,,74.0,33.0,6.3,11.0,0.0156546,39.310388362414,5.0,-0.735,4.935,,0,,0.06,0.04,-0.13,,7.0,1.0,4.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,Andrej Bacanin,,,,,,,3.0,,,,,,,,,,
14572748,home,Basel,Philip Otele,philip-otele,P. Otele,M,27,185.0,657,M,988476,EUR,924134400,M,7,7,False,28.0,23.0,2.0,1.0,0.0,14.0,15.0,13.0,2.0,9.0,,6.0,,,,85.0,54.0,6.7,15.0,0.00571358,107.50347974788,12.0,-10.185,8.715,,3,,-0.05,0.18,0.0,,9.0,1.0,9.0,1.0,3.0,2.0,1.0,3.0,1.0,,,,,0.2696,,-0.52,,,,,2.0,3.0,2.0,5.0,1.0,1.0,2.0,,,,,,,
