match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,from
10385691,FT,2.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10385691,,,,,90,1.0,,1,,,card,Antonee Robinson,Foul,False,120769867.0,True,yellow,803174.0,Antonee Robinson,,,
10385691,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,3.0,,
10385691,,,,,85,,,6,,,card,João Palhinha,Foul,False,120769841.0,True,yellow,364612.0,João Palhinha,,,
10385691,,2.0,2.0,,83,,,8,,,goal,,,,168875557.0,False,regular,39183.0,Joel Ward,,,
10385691,,,,,80,,,11,,,substitution,,,,121791840.0,False,regular,,,,False,
10385691,,,,,80,,,11,,,substitution,,,,121791838.0,True,regular,,,,False,
10385691,,,,,80,,,11,,,substitution,,,,121791839.0,True,regular,,,,False,
10385691,,,,,71,,,20,,,card,Tosin Adarabioyo,Time wasting,False,120769789.0,True,yellow,352668.0,Tosin Adarabioyo,,,
10385691,,2.0,1.0,,61,,,30,,,goal,,,,168875284.0,True,regular,192144.0,Aleksandar Mitrović,,,
10385691,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10385691,,1.0,1.0,,45,5.0,,1,,,goal,,,,168875009.0,True,penalty,192144.0,Aleksandar Mitrović,,,penalty
10385691,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,3.0,,
10385691,,0.0,1.0,,34,,,12,,,goal,,,,168874842.0,False,regular,795228.0,Odsonne Édouard,,,
