match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_possessionLostCtrl,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_bigChanceMissed,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_goalAssist,stat_punches,stat_bigChanceCreated
11407348,home,Juventus,Mattia Perin,mattia-perin,M. Perin,G,1,188.0,3256,M,79645,EUR,721353600,G,36,36,False,17.0,17.0,2.0,2.0,17.0,17.0,1.0,4.0,2.0,3.0,1.0,1.0,90.0,26.0,7.0,0.0,0.0,7.735e-05,0,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407348,home,Juventus,Danilo,danilo,Danilo,D,13,184.0,15175,M,124992,EUR,679536000,D,6,6,False,78.0,71.0,6.0,4.0,33.0,35.0,1.0,5.0,,,,,90.0,91.0,7.4,0.1127,0.0,0.0817597,1,,Danilo,True,39.0,47.0,4.0,1.0,4.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,
11407348,home,Juventus,Bremer,bremer,Bremer,D,3,188.0,9433,M,885197,EUR,858643200,D,3,3,False,64.0,57.0,4.0,1.0,35.0,37.0,1.0,7.0,,,,,90.0,77.0,6.8,0.2038,0.0,0.30448,1,,Bremer,,22.0,27.0,,,2.0,4.0,,,1.0,2.0,2.0,,9.0,,,5.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,
11407348,home,Juventus,Alex Sandro,alex-sandro,A. Sandro,D,26,181.0,13242,M,84854,EUR,664848000,D,12,12,False,77.0,66.0,9.0,4.0,27.0,28.0,3.0,9.0,,,,,90.0,105.0,7.5,0.0,0.0,0.393443,0,,alxsndro12,,41.0,51.0,2.0,2.0,1.0,5.0,,,,4.0,2.0,2.0,16.0,,,1.0,3.0,,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,
11407348,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185.0,8228,M,363860,EUR,884217600,M,5,5,False,63.0,52.0,8.0,5.0,23.0,25.0,,3.0,,,,,81.0,75.0,6.9,0.0,0.0,0.124997,0,,locamanuel73,,30.0,39.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,14.0,,,1.0,4.0,1.0,,,,,1.0,2.0,2.0,,,,,,,
11407348,home,Juventus,Timothy Weah,weah-timothy,T. Weah,M,22,185.0,11671,M,855810,EUR,951177600,M,22,22,False,47.0,37.0,,,11.0,11.0,2.0,3.0,,,,,82.0,62.0,7.4,0.0481,0.2065,0.166419,2,,timothyweah,,27.0,38.0,2.0,1.0,2.0,4.0,,,,1.0,1.0,1.0,12.0,,,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,1.0,,,,,
11407348,home,Juventus,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,44,178.0,4280,M,901850,EUR,981936000,M,21,21,False,27.0,25.0,3.0,3.0,5.0,5.0,,1.0,,,,,66.0,45.0,7.3,0.2269,0.0889,0.0583354,4,,nicolofagioli,,21.0,26.0,4.0,1.0,,3.0,1.0,1.0,2.0,,2.0,,8.0,,,,1.0,1.0,,,1.0,3.0,,,,1.0,1.0,,,,,
11407348,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191.0,11335,M,250737,EUR,796867200,M,25,25,False,61.0,56.0,,,20.0,21.0,,7.0,,,,,90.0,72.0,6.9,0.0261,0.0,0.0460226,1,,adrienrabiot_25,,36.0,41.0,1.0,,1.0,4.0,1.0,,1.0,,3.0,,8.0,,,2.0,8.0,1.0,,,3.0,1.0,4.0,,2.0,,,1.0,,,,
11407348,home,Juventus,Andrea Cambiaso,cambiaso-andrea,A. Cambiaso,D,27,181.0,7318,M,917048,EUR,951004800,M,27,27,False,24.0,22.0,,,9.0,10.0,1.0,1.0,,,,,66.0,43.0,6.5,0.0,0.0,0.0138977,0,,andrea_cambiaso,,14.0,17.0,3.0,1.0,,4.0,6.0,2.0,,,,2.0,10.0,,,,5.0,,,,,,1.0,,,,,,,,,
11407348,home,Juventus,Federico Chiesa,federico-chiesa,F. Chiesa,F,14,175.0,40294,M,845386,EUR,877737600,F,7,7,False,15.0,12.0,,,2.0,2.0,,,,,,,74.0,33.0,6.5,0.0179,0.0,0.0945401,1,,FedeChiesa,,10.0,15.0,2.0,,,4.0,6.0,3.0,,,,1.0,13.0,,,1.0,6.0,,,,,3.0,,2.0,1.0,,1.0,1.0,,,,
