match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_height,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,stat_unsuccessfulTouch,stat_goalAssist,stat_totalCross,stat_shotOffTarget,stat_keyPass,captain,stat_totalContest,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalOffside
11177062,home,Des Moines Menace,Victor Makela,Victor Makela,,victor-makela,V. Makela,G,29,0,M,1201414,EUR,894412800.0,G,29,29,False,16.0,12.0,7.0,3.0,9.0,12.0,3.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,22.0,5.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11177062,home,Des Moines Menace,Connor Langan,Connor Langan,,connor-langan,C. Langan,D,,0,M,1194535,EUR,908236800.0,D,24,24,False,47.0,28.0,15.0,4.0,18.0,28.0,10.0,19.0,7.0,1.0,8.0,,,,,,90.0,57.0,6.2,20.0,0,178.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11177062,home,Des Moines Menace,Daniel Ayertey,Daniel Ayertey,,daniel-ayertey,D. Ayertey,M,6,1,M,1486147,EUR,900806400.0,D,6,6,False,42.0,34.0,11.0,6.0,27.0,30.0,7.0,12.0,5.0,,11.0,,,,,,90.0,48.0,6.4,8.0,0,,1.0,3.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11177062,home,Des Moines Menace,Duran Lee,,,duran-lee,D. Lee,D,,1,M,984459,EUR,799977600.0,D,5,5,False,21.0,16.0,6.0,4.0,9.0,12.0,7.0,9.0,,,4.0,,,,,,45.0,27.0,6.0,8.0,0,188.0,,3.0,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
11177062,home,Des Moines Menace,Kori Cupid,Kori Cupid,,kori-cupid,K. Cupid,D,3,0,M,1201402,EUR,852681600.0,M,3,3,False,55.0,44.0,5.0,4.0,17.0,19.0,27.0,37.0,3.0,,11.0,,,,,,90.0,82.0,6.9,16.0,1,180.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11177062,home,Des Moines Menace,Henry Sach,,,henry-sach,H. Sach,D,20,0,M,982933,EUR,897350400.0,M,20,20,False,34.0,27.0,5.0,2.0,13.0,16.0,14.0,18.0,4.0,,3.0,,,,,,63.0,38.0,6.7,7.0,0,185.0,1.0,,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
11177062,home,Des Moines Menace,Lance Rozeboom,,,rozeboom-lance,L. Rozeboom,D,4,1,M,852468,EUR,612576000.0,M,4,4,False,26.0,22.0,1.0,,12.0,13.0,10.0,13.0,2.0,1.0,5.0,,,,,,63.0,30.0,6.1,6.0,0,185.0,1.0,5.0,1.0,,1.0,,2.0,1.0,1.0,,,1.0,,,,,True,,,,,,,,,,,
11177062,home,Des Moines Menace,Neville Morgan,Neville Morgan,,neville-morgan,N. Morgan,D,19,1,M,1201409,EUR,863222400.0,M,19,19,False,35.0,28.0,1.0,,12.0,16.0,16.0,23.0,3.0,,6.0,,,,,,90.0,58.0,6.1,22.0,0,,1.0,6.0,1.0,,1.0,1.0,3.0,,,,,6.0,,4.0,,1.0,,3.0,1.0,,,,,,,,,
11177062,home,Des Moines Menace,Devin Vega,,,vega-devin,D. Vega,M,,6,M,883649,EUR,913334400.0,F,23,23,False,31.0,18.0,6.0,4.0,5.0,8.0,15.0,29.0,5.0,,5.0,,,,,,77.0,44.0,7.0,20.0,0,164.0,1.0,5.0,,,1.0,1.0,,,3.0,,2.0,1.0,,6.0,,2.0,,3.0,1.0,2.0,1.0,,,,,,,
11177062,home,Des Moines Menace,Fernando Garcia,Fernando Garcia,,fernando-garcia,F. Garcia,F,17,2,M,1194545,EUR,927331200.0,F,14,14,False,19.0,13.0,,,3.0,3.0,10.0,16.0,6.0,,5.0,,,,,,90.0,39.0,7.4,13.0,4,,,8.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,,4.0,4.0,,,2.0,,,,,,,2.0,1.0,,,,,
