match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId
11369869,home,Standard Liège,Arnaud Bodart,bodart-arnaud,A. Bodart,G,16,184,413,M,878898,EUR,889574400,G,16,16,False,21.0,8.0,18.0,5.0,3.0,6.0,5.0,15.0,10.0,4.0,5.0,90.0,31.0,7.0,13.0,0.00182672,0,0.6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369869,home,Standard Liège,Zinho Vanheusden,zinho-vanheusden,Z. Vanheusden,D,,187,690,M,881024,EUR,933206400,D,4,4,False,40.0,32.0,9.0,2.0,16.0,18.0,16.0,22.0,6.0,,,90.0,49.0,6.1,9.0,0.0510031,0,,,,True,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369869,home,Standard Liège,Merveille Bokadi,merveille-bokadi,M. Bokadi,D,21,186,291,M,867193,EUR,832636800,D,20,20,False,43.0,41.0,6.0,4.0,28.0,28.0,13.0,15.0,6.0,,,90.0,57.0,7.0,5.0,0.0223019,1,,,,,1.0,4.0,5.0,,,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0076,1.0,,,,,,,,,,,,,
11369869,home,Standard Liège,Nathan Ngoy,ngoy-nathan,N. Ngoy,D,3,183,2002,M,1119487,EUR,1055203200,D,3,3,False,47.0,35.0,12.0,5.0,11.0,14.0,24.0,34.0,3.0,,,90.0,71.0,7.7,18.0,0.0283141,2,,,,,2.0,4.0,,,2.0,,,,1.0,,,4.0,4.0,,,,0.0657,1.0,1.0,1.0,2.0,1.0,0.2729,,,,,,,,
11369869,home,Standard Liège,Marlon Fossey,marlon-fossey,M. Fossey,M,13,180,286,M,880762,EUR,905299200,M,13,13,False,35.0,22.0,2.0,,9.0,12.0,14.0,27.0,5.0,,,80.0,58.0,7.3,18.0,0.107752,0,,,,,2.0,5.0,4.0,,,,,1.0,,1.0,1.0,3.0,3.0,,,,,2.0,4.0,,,,,1.0,1.0,1.0,,,,,
11369869,home,Standard Liège,Hayao Kawabe,hayao-kawabe,H. Kawabe,M,6,178,250,M,321001,EUR,810518400,M,6,6,False,28.0,22.0,3.0,2.0,2.0,2.0,20.0,33.0,5.0,,,84.0,50.0,7.4,16.0,0.0343005,3,,,,,7.0,2.0,1.0,1.0,,,1.0,,2.0,2.0,,2.0,1.0,,1.0,,0.117,,7.0,1.0,2.0,1.0,0.3779,,,1.0,1.0,,,,
11369869,home,Standard Liège,Isaac Hayden,isaac-hayden,I. Hayden,M,15,187,827,M,190843,EUR,795830400,M,11,11,False,39.0,33.0,5.0,3.0,17.0,19.0,16.0,20.0,6.0,,,90.0,54.0,7.0,10.0,0.0141454,0,,,,,6.0,10.0,1.0,,,,4.0,1.0,2.0,,5.0,1.0,1.0,,3.0,2.0,,1.0,,4.0,,,,,,,,1.0,,,
11369869,home,Standard Liège,Steven Alzate,steven-alzate,S. Alzate,M,7,177,698,M,871822,EUR,905212800,M,17,17,False,43.0,32.0,4.0,2.0,12.0,14.0,20.0,29.0,8.0,,,89.0,57.0,8.0,14.0,0.062277,2,,,,,2.0,5.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,4.0,4.0,0.5209,1.0,,1.0,1.0,1.0,0.6974,,,1.0,1.0,,,,
11369869,home,Standard Liège,Moussa Djenepo,moussa-djenepo,M. Djenepo,F,12,177,2122,M,869910,EUR,897868800,M,19,19,False,24.0,19.0,2.0,1.0,3.0,4.0,16.0,20.0,4.0,,,85.0,46.0,6.7,12.0,0.0419652,1,,,,,5.0,8.0,3.0,,1.0,,2.0,2.0,,,,9.0,5.0,1.0,1.0,1.0,0.1833,1.0,,,,,,,,1.0,,,1.0,,
11369869,home,Standard Liège,Kamal Sowah,kamal-sowah,K. Sowah,M,14,179,840,M,927440,EUR,947376000,F,18,18,False,39.0,30.0,2.0,1.0,5.0,7.0,25.0,32.0,8.0,,,90.0,54.0,7.0,18.0,0.266163,3,,,,,5.0,3.0,,,,,4.0,1.0,2.0,,,,,1.0,2.0,2.0,0.1709,1.0,,,1.0,,0.0235,,,3.0,1.0,,,,
11369869,home,Standard Liège,Wilfried Kanga,wilfried-kanga,W. Kanga,F,7,189,938,M,838640,EUR,888019200,F,14,14,False,23.0,16.0,,,5.0,6.0,11.0,17.0,1.0,,,90.0,41.0,7.1,15.0,0.0534947,2,,,,,5.0,5.0,3.0,,,,6.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,0.4852,1.0,,1.0,1.0,,0.2576,,,2.0,1.0,,1.0,1.0,
11369869,home,Standard Liège,Gilles Dewaele,gilles-dewaele,G. Dewaele,D,20,180,52,M,285943,EUR,824169600,D,2,2,True,3.0,2.0,,,,1.0,2.0,2.0,,,,10.0,7.0,6.5,2.0,0.00037285,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
