match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox
12514017,home,Famalicão,Ivan Zlobin,ivan-zlobin,I. Zlobin,G,1,191,247,M,788203,EUR,857692800,G,1,1,False,26.0,16.0,14.0,4.0,0.0,13.0,19.0,3.0,7.0,1.0,4.0,1.0,1.0,1.0,90.0,32.0,6.3,10.0,0.00025535,0,0.2909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514017,home,Famalicão,Calegari,calegari,Calegari,D,2,171,471,M,988906,EUR,1014768000,D,2,2,False,42.0,38.0,5.0,3.0,0.0,25.0,25.0,13.0,18.0,1.0,6.0,,,,90.0,58.0,6.6,7.0,0.0208615,0,,,,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12514017,home,Famalicão,Enea Mihaj,enea-mihaj,E. Mihaj,D,4,186,414,M,850828,EUR,899596800,D,4,4,False,55.0,46.0,9.0,3.0,0.0,38.0,40.0,8.0,15.0,5.0,3.0,,,,90.0,63.0,6.7,9.0,0.00261835,1,,,,,2.0,3.0,1.0,,,,1.0,,,,True,1.0,3.0,1.0,0.0191,,,,,,,,,,,,
12514017,home,Famalicão,Justin De Haas,justin-de-haas,J. De Haas,D,16,192,307,M,876255,EUR,949363200,D,16,16,False,78.0,64.0,10.0,5.0,0.0,47.0,56.0,17.0,22.0,1.0,2.0,,,,90.0,88.0,7.0,15.0,0.0172821,2,,,,,2.0,5.0,,,,,1.0,1.0,,,,2.0,4.0,1.0,0.0786,1.0,1.0,1.0,1.0,,,,,,,,
12514017,home,Famalicão,Rafa Soares,rafa-soares,R. Soares,D,5,177,195,M,190137,EUR,799977600,D,5,5,False,47.0,34.0,5.0,1.0,0.0,13.0,18.0,21.0,37.0,2.0,4.0,,,,90.0,74.0,6.8,24.0,0.0124307,2,,,,8.0,3.0,6.0,,,,,,3.0,,,,1.0,3.0,,0.0682,1.0,,2.0,2.0,1.0,3.0,0.3919,,,,,
12514017,home,Famalicão,Zaydou Youssouf,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,58.0,49.0,12.0,7.0,0.0,36.0,37.0,13.0,21.0,,4.0,,,,90.0,77.0,7.5,14.0,0.0111925,4,,,,,3.0,9.0,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,3.0,2.0,0.1285,2.0,,4.0,4.0,,1.0,,,,,,
12514017,home,Famalicão,Mirko Topić,mirko-topic,M. Topić,M,22,190,486,M,980797,EUR,981331200,M,8,8,False,30.0,30.0,3.0,3.0,0.0,15.0,15.0,15.0,15.0,1.0,1.0,,,,70.0,39.0,6.9,2.0,0.00480779,0,,,,,3.0,5.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,1.0,2.0,,1.0,,,,,,
12514017,home,Famalicão,Sorriso,sorriso,Sorriso,M,7,175,556,M,1105595,EUR,982886400,M,7,7,False,26.0,21.0,1.0,,1.0,4.0,6.0,20.0,27.0,1.0,4.0,,,,85.0,46.0,7.5,15.0,0.265439,2,,Sorriso,,7.0,5.0,4.0,2.0,2.0,,,,3.0,,3.0,,1.0,1.0,,0.1051,1.0,,1.0,3.0,1.0,,0.2616,3.0,1.0,,,
12514017,home,Famalicão,Gustavo Sá,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,34.0,27.0,4.0,4.0,0.0,12.0,13.0,15.0,24.0,2.0,5.0,,,,89.0,52.0,7.1,11.0,0.011383,1,,,,3.0,8.0,6.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,3.0,1.0,,0.028,,,,1.0,1.0,4.0,0.113,,,,,
12514017,home,Famalicão,Óscar Aranda,oscar-aranda,Ó. Aranda,F,11,178,568,M,984626,EUR,1020038400,M,11,11,False,33.0,29.0,,,0.0,9.0,10.0,20.0,25.0,,4.0,,,,90.0,58.0,7.9,11.0,0.081984,1,,,,2.0,4.0,17.0,,,12.0,9.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,0.0181,,,2.0,,,,,,,,,
