match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_bigChanceCreated,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_accurateCross,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_hitWoodwork,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_penaltyMiss,stat_clearanceOffLine
11453147,home,Al-Okhdood,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195,133,M,861003,EUR,596073600,G,1,1,False,20.0,7.0,19.0,6.0,1.0,2.0,3.0,5.0,17.0,1.0,1.0,10.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,90.0,29.0,8.3,13.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453147,home,Al-Okhdood,Awdh Faraj,,,awdh-faraj,A. Faraj,D,,172,16,M,791404,EUR,584928000,D,27,27,False,30.0,26.0,1.0,1.0,,14.0,17.0,12.0,14.0,3.0,,8.0,,2.0,,,,,,89.0,52.0,7.0,10.0,2.0,0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11453147,home,Al-Okhdood,Saeed Al-Rabiei,,,saeed-al-rabiei,S. Al-Rabiei,D,4,187,32,M,954639,EUR,746841600,D,4,4,False,37.0,29.0,5.0,,,23.0,25.0,6.0,12.0,3.0,,5.0,,3.0,,,,,,90.0,46.0,7.0,9.0,,2,,4.0,,2.0,,2.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11453147,home,Al-Okhdood,Andrei Burcă,,,andrei-burca,A. Burcă,D,33,188,560,M,846999,EUR,734832000,D,3,3,False,10.0,9.0,,,,7.0,8.0,2.0,2.0,,,,,,,,,,,23.0,12.0,6.6,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453147,home,Al-Okhdood,Hamed Al-Mansour,,,hamed-al-mansour,H. Al-Mansour,D,,172,357,M,818578,EUR,737769600,D,20,20,False,30.0,20.0,9.0,2.0,,7.0,10.0,14.0,23.0,6.0,,8.0,,2.0,,,,,,90.0,56.0,6.8,18.0,1.0,1,3.0,2.0,,2.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11453147,home,Al-Okhdood,Hassan Al-Habib,,,hassan-al-habib,H. Al-Habib,M,15,183,6,M,847228,EUR,779500800,M,77,77,False,38.0,34.0,,,,21.0,24.0,13.0,14.0,6.0,,6.0,,5.0,,,,,,90.0,49.0,7.0,5.0,,0,,7.0,,1.0,,5.0,4.0,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,
11453147,home,Al-Okhdood,Yaseen Al-Zubaidi,Yaseen Al-Zubaidi,,al-zubaidi-yaseen,Y. Al-Zubaidi,M,26,176,105,M,1434209,EUR,1051315200,M,29,29,False,18.0,13.0,,,,4.0,4.0,9.0,14.0,4.0,1.0,5.0,,,,,,,,88.0,39.0,8.1,12.0,1.0,2,,7.0,1.0,1.0,,2.0,2.0,2.0,,1.0,,4.0,,1.0,,5.0,3.0,1.0,1.0,,,,,,,,,,,
11453147,home,Al-Okhdood,Alex Collado,Alex,Collado,alex-collado,A. Collado,M,8,177,1606,M,859767,EUR,924739200,M,11,11,False,38.0,31.0,2.0,,2.0,12.0,14.0,21.0,30.0,8.0,1.0,2.0,,,,,,,,90.0,59.0,7.5,17.0,3.0,2,6.0,5.0,2.0,,,3.0,,1.0,,2.0,,,2.0,,2.0,5.0,1.0,,,1.0,,,,,,,,,,
11453147,home,Al-Okhdood,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176,186,M,972585,EUR,923529600,M,18,18,False,28.0,26.0,2.0,2.0,,9.0,9.0,19.0,21.0,7.0,,6.0,,3.0,,,,,,89.0,47.0,7.6,8.0,1.0,4,2.0,4.0,1.0,2.0,,3.0,1.0,,1.0,2.0,,3.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,
11453147,home,Al-Okhdood,Saviour Godwin,,,saviour-godwin,S. Godwin,M,77,170,248,M,359650,EUR,840672000,M,99,99,False,18.0,10.0,2.0,1.0,1.0,2.0,3.0,8.0,19.0,8.0,1.0,8.0,,2.0,,,,,,90.0,39.0,7.1,19.0,2.0,3,4.0,4.0,1.0,,,1.0,1.0,,,2.0,,2.0,,1.0,1.0,6.0,3.0,1.0,,1.0,,1.0,,,,,,,,
