match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_blockedScoringAttempt,captain,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,player_sofascoreId,stat_penaltyConceded,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated
10389781,home,Auxerre,Donovan Léon,,,donovan-leon,D. Léon,G,16,186,316,M,159837,EUR,720748800,G,16,16,False,35.0,11.0,31.0,7.0,6.0,6.0,5.0,29.0,1.0,1.0,1.0,2.0,11.0,2.0,6.0,1.0,90.0,47.0,7.4,24.0,0.0,0.0,0.00198285,0,-0.4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389781,home,Auxerre,Julian Jeanvier,,,julian-jeanvier,J. Jeanvier,D,,183,630,M,250477,EUR,702000000,D,27,27,False,26.0,16.0,5.0,1.0,9.0,13.0,7.0,13.0,,,,5.0,4.0,,,,90.0,35.0,6.3,11.0,0.0,0.0,0.00387566,0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10389781,home,Auxerre,Jubal,,,jubal,Jubal,D,5,190,384,M,329195,EUR,746582400,D,4,4,False,19.0,9.0,6.0,1.0,8.0,12.0,1.0,7.0,7.0,,,2.0,3.0,,,,90.0,29.0,7.1,11.0,1.2813,0.97,0.00036699,2,,3.0,2.0,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,
10389781,home,Auxerre,Souleymane Isaak Touré,,,souleymane-isaak-toure,S. I. Touré,D,95,206,1092,M,1012650,EUR,1048809600,D,95,95,False,21.0,13.0,6.0,2.0,12.0,14.0,1.0,7.0,10.0,1.0,1.0,2.0,5.0,,,,90.0,34.0,7.2,9.0,0.0,0.0,0.00022847,0,,4.0,,,1.0,3.0,1.0,1.0,,,,,,,7.0,5.0,1.0,,,,,,,,,,,,,,
10389781,home,Auxerre,Rayan Raveloson,,,rayan-raveloson,R. Raveloson,M,45,182,2740,M,757742,EUR,853372800,M,97,97,False,24.0,17.0,3.0,1.0,9.0,11.0,9.0,15.0,2.0,1.0,,2.0,10.0,,,,90.0,51.0,7.0,11.0,0.0,0.0,0.0474439,0,,2.0,,2.0,1.0,,,,,,,,,,2.0,1.0,,2.0,1.0,1.0,4.0,,,,,,,,,,
10389781,home,Auxerre,Youssouf M'Changama,,,youssouf-mchangama,Y. M'Changama,M,10,175,694,M,197550,EUR,651888000,M,6,6,False,25.0,17.0,5.0,1.0,8.0,8.0,9.0,20.0,12.0,1.0,1.0,,6.0,,,,90.0,41.0,7.3,13.0,0.0398,0.0,0.0104791,1,,,,1.0,2.0,,,4.0,,,,,,,6.0,3.0,1.0,3.0,,,,1.0,,,,,,,,,
10389781,home,Auxerre,Birama Touré,,,birama-toure,B. Touré,M,60,183,136,M,246507,EUR,707788800,M,12,12,False,27.0,17.0,8.0,4.0,10.0,12.0,7.0,15.0,7.0,,,1.0,5.0,,,,90.0,44.0,6.9,12.0,0.0375,0.0,0.00546449,1,,10.0,3.0,2.0,1.0,4.0,2.0,2.0,,1.0,,,,1.0,5.0,4.0,,,,1.0,,,True,,,,,,,,
10389781,home,Auxerre,Akim Zedadka,,,akim-zedadka,A. Zedadka,D,80,173,1095,M,558524,EUR,801792000,M,13,13,False,26.0,20.0,4.0,1.0,12.0,13.0,8.0,14.0,3.0,1.0,,3.0,9.0,,,,90.0,50.0,6.1,14.0,0.0,0.0,0.0367227,0,,8.0,1.0,2.0,,1.0,3.0,2.0,,,,,,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,
10389781,home,Auxerre,Gauthier Hein,,,gauthier-hein,G. Hein,M,10,170,632,M,842391,EUR,839376000,F,7,7,False,16.0,11.0,2.0,2.0,4.0,4.0,7.0,16.0,4.0,5.0,1.0,1.0,3.0,,,,82.0,34.0,6.2,16.0,0.1118,0.0,0.00420062,1,,14.0,7.0,,3.0,2.0,1.0,,,1.0,,1.0,,,2.0,2.0,1.0,4.0,,,,,,,,,,,,,
10389781,home,Auxerre,Gaëtan Perrin,,,gaetan-perrin,G. Perrin,M,28,169,447,M,827506,EUR,834105600,F,10,10,False,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,17.0,3.0,6.5,2.0,0.0,0.0,1.538e-05,0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
