match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,player_firstName,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_possessionLostCtrl,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_shotOffTarget,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_keyPass,stat_dispossessed,stat_wonContest,player_lastName,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,player_sofascoreId,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_totalOffside
11252727,home,New England Revolution,Earl Edwards Jr.,earl-edwards-jr,E. Edwards Jr.,G,36,191.0,21,M,790182,EUR,696211200,G,36,36,False,27.0,27.0,5.0,5.0,26.0,26.0,1.0,1.0,7.0,1.0,2.0,90.0,36.0,6.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252727,home,New England Revolution,Joshua Bolma,bolma-joshua,J. Bolma,M,14,175.0,25,M,1462220,EUR,1018396800,D,16,16,False,42.0,40.0,5.0,4.0,18.0,18.0,22.0,24.0,7.0,,,63.0,51.0,7.0,0,Joshua Bolma,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11252727,home,New England Revolution,Omar Gonzalez,omar-gonzalez,O. Gonzalez,D,34,196.0,31,M,48896,EUR,592531200,D,3,3,False,71.0,60.0,6.0,4.0,40.0,44.0,20.0,27.0,5.0,,,90.0,78.0,6.8,0,,4.0,3.0,,1.0,1.0,,12.0,True,1.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11252727,home,New England Revolution,Christian Makoun,christian-makoun,C. Makoun,D,4,185.0,767,M,846353,EUR,952214400,D,6,6,False,93.0,82.0,12.0,8.0,52.0,55.0,30.0,39.0,11.0,,,90.0,113.0,7.4,1,,5.0,6.0,3.0,2.0,2.0,2.0,14.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11252727,home,New England Revolution,Ben Sweat,ben-sweat,B. Sweat,D,,188.0,8,,539372,EUR,683942400,D,44,44,False,49.0,36.0,7.0,2.0,13.0,18.0,24.0,35.0,1.0,,,63.0,69.0,6.1,0,,,1.0,1.0,,,,20.0,,2.0,,8.0,,,2.0,4.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,
11252727,home,New England Revolution,Justin Rennicks,justin-rennicks,J. Rennicks,F,9,172.0,39,M,973746,EUR,921888000,M,12,12,False,30.0,23.0,4.0,4.0,12.0,12.0,12.0,20.0,1.0,,,79.0,40.0,6.8,1,,4.0,,,,,,12.0,,1.0,1.0,4.0,,2.0,1.0,2.0,1.0,1.0,,3.0,,2.0,3.0,,,,,,,,,
11252727,home,New England Revolution,Jack Panayotou,panayotou-jack,J. Panayotou,M,22,170.0,54,M,1139212,EUR,1086393600,M,22,22,False,54.0,45.0,8.0,6.0,21.0,22.0,25.0,33.0,4.0,,,90.0,65.0,6.7,1,Jack Panayotou,2.0,,1.0,2.0,1.0,,13.0,,1.0,,6.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,
11252727,home,New England Revolution,Latif Blessing,latif-blessing,L. Blessing,M,30,170.0,170,M,866942,EUR,851904000,M,19,19,False,34.0,29.0,2.0,1.0,12.0,13.0,17.0,21.0,5.0,,,63.0,44.0,6.8,0,,5.0,,,4.0,4.0,1.0,7.0,,1.0,,3.0,,2.0,2.0,,,,,,1.0,,,,,,,,,,,
11252727,home,New England Revolution,Jozy Altidore,jozy-altidore,J. Altidore,F,,182.0,140,,801455,EUR,626313600,F,14,14,False,25.0,20.0,2.0,2.0,5.0,7.0,15.0,19.0,,,,90.0,33.0,6.7,5,,,,,,,,8.0,,,,2.0,,,,1.0,2.0,,,,,2.0,,,3.0,,,,,,,
11252727,home,New England Revolution,Giacomo Vrioni,vrioni-giacomo,G. Vrioni,F,22,188.0,374,M,862484,EUR,908409600,F,9,9,False,14.0,7.0,1.0,1.0,4.0,6.0,4.0,9.0,2.0,,,90.0,25.0,6.6,1,,2.0,2.0,,,,,13.0,,,2.0,5.0,,3.0,2.0,1.0,,1.0,,,1.0,3.0,,,,1.0,,,,,,
