match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_keyPass,captain,stat_aerialLost,stat_challengeLost,stat_bigChanceMissed,stat_totalClearance,stat_interceptionWon,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside,stat_punches,stat_goalAssist,stat_goals
11399411,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196,132,M,945955,EUR,878256000,G,1,1,False,31.0,19.0,21.0,9.0,10.0,11.0,9.0,20.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,5.5,12.0,0.00516675,0,-0.9634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399411,home,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183,24,M,930838,EUR,955324800,D,3,3,False,60.0,38.0,14.0,5.0,18.0,22.0,21.0,40.0,10.0,8.0,,1.0,1.0,,,,,,90.0,82.0,6.7,30.0,0.0591838,3,,2.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.3267,3.0,,,,,,,,,,,,,,,,,,
11399411,home,Almere City FC,Damian van Bruggen,damian-van-bruggen,D. v. Bruggen,D,14,184,62,M,285991,EUR,827107200,D,4,4,False,44.0,36.0,4.0,1.0,29.0,34.0,7.0,10.0,7.0,3.0,,,,,,,,,74.0,59.0,6.6,8.0,0.00277563,2,,,,7.0,2.0,,,,2.0,,,0.0879,1.0,True,1.0,1.0,1.0,5.0,4.0,,,,,,,,,,,,
11399411,home,Almere City FC,Loïc Mbe Soh,loic-mbe-soh,L. M. Soh,D,4,186,287,M,904992,EUR,992390400,D,5,5,False,61.0,48.0,7.0,3.0,34.0,40.0,14.0,21.0,4.0,10.0,,,,,,,,,90.0,66.0,6.0,14.0,0.00732395,1,,,,3.0,2.0,,1.0,1.0,,1.0,,0.1175,,,2.0,,,2.0,,,,,,,,,,,,,
11399411,home,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177,175,M,1157777,EUR,1067731200,M,39,39,False,36.0,22.0,6.0,,8.0,12.0,14.0,25.0,6.0,5.0,,3.0,2.0,,,,,,86.0,56.0,6.5,20.0,0.0401068,1,,1.0,,,9.0,2.0,2.0,2.0,,,1.0,0.0693,,,3.0,2.0,,1.0,,Jochem van de Kamp,,1.0,3.0,2.0,0.041,,,,,,
11399411,home,Almere City FC,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,M,15,15,False,55.0,39.0,8.0,3.0,19.0,26.0,24.0,39.0,8.0,10.0,,4.0,3.0,,,,,,90.0,82.0,7.6,25.0,0.256063,1,,10.0,4.0,4.0,3.0,1.0,,,,,,0.0537,3.0,,1.0,,,5.0,1.0,,,1.0,2.0,1.0,0.0829,1.0,1.0,,,,
11399411,home,Almere City FC,Stije Resink,stije-resink,S. Resink,M,6,186,608,M,1090328,EUR,1053993600,M,28,28,False,39.0,29.0,,,13.0,16.0,16.0,23.0,5.0,4.0,,1.0,1.0,1.0,,,,,74.0,51.0,5.9,14.0,0.115917,1,,,,1.0,11.0,3.0,3.0,2.0,1.0,,1.0,0.0153,1.0,,5.0,1.0,,,1.0,Stije Resink,,,,1.0,,,,,,,
11399411,home,Almere City FC,Manel Royo,manel-royo,Royo,D,23,184,35,M,867318,EUR,762393600,M,23,23,False,23.0,14.0,8.0,3.0,6.0,7.0,8.0,18.0,2.0,2.0,,2.0,1.0,,,,,,45.0,37.0,6.7,11.0,0.0625853,1,,2.0,,,,,,,,1.0,,0.0241,1.0,,,,,,,,,,,,,,,,,,
11399411,home,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180,359,M,790802,EUR,840326400,F,9,9,False,24.0,13.0,,,5.0,5.0,8.0,19.0,6.0,1.0,,1.0,1.0,,,,,,90.0,35.0,7.0,14.0,0.344889,2,,,,2.0,3.0,,,,1.0,1.0,3.0,0.1599,1.0,,3.0,,,,,,,,3.0,,,,,,,,
11399411,home,Almere City FC,Rajiv Van La Parra,rajiv-van-la-parra,R. V. L. Parra,M,7,181,101,M,38096,EUR,675993600,F,27,27,False,13.0,8.0,,,1.0,2.0,7.0,12.0,4.0,3.0,,1.0,1.0,,,,,,45.0,29.0,6.9,15.0,0.0382067,1,,1.0,,2.0,3.0,1.0,1.0,,1.0,,1.0,0.0115,1.0,,,,,1.0,,,,,6.0,1.0,,,1.0,,,,
