match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,captain,stat_shotOffTarget,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,player_sofascoreId,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_outfielderBlock,stat_errorLeadToAShot
12499340,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194.0,1818,M,308182,EUR,763862400,G,94,94,False,39.0,34.0,13.0,8.0,0.0,32.0,36.0,2.0,3.0,2.0,2.0,3.0,12.0,1.0,2.0,2.0,90.0,51.0,7.5,5.0,0.00169939,0,0.1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499340,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185.0,1131,M,267619,EUR,719280000,D,77,77,False,45.0,42.0,2.0,,0.0,20.0,21.0,23.0,28.0,,2.0,2.0,4.0,,,,90.0,60.0,7.1,6.0,0.0297265,0,,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499340,home,Lazio,Patric,patric,Patric,D,4,184.0,495,M,217784,EUR,735004800,D,4,4,False,78.0,74.0,7.0,3.0,0.0,46.0,48.0,28.0,30.0,1.0,2.0,5.0,5.0,,,,90.0,87.0,7.1,5.0,0.00954484,1,,,,4.0,6.0,1.0,1.0,2.0,,,,True,1.0,0.1224,,,,,,,,,,,,,,,,,,
12499340,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183.0,1766,M,965828,EUR,967507200,D,34,34,False,78.0,70.0,7.0,5.0,0.0,43.0,46.0,27.0,32.0,4.0,7.0,5.0,5.0,,,,85.0,91.0,7.2,9.0,0.0301334,0,,,,5.0,7.0,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12499340,home,Lazio,Nuno Tavares,nuno-tavares,N. Tavares,D,17,185.0,4853,M,944973,EUR,948844800,D,30,30,False,46.0,38.0,,,2.0,10.0,14.0,32.0,39.0,,6.0,3.0,9.0,,,,90.0,85.0,8.8,18.0,0.272591,3,,7.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,,,,2.0,0.0899,6.0,3.0,2.0,4.0,2.0,nuno_tavares71,1.0,2.0,1.0,,,,,,,,,
12499340,home,Lazio,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185.0,7016,M,852404,EUR,924048000,M,8,8,False,55.0,49.0,2.0,2.0,0.0,23.0,23.0,26.0,32.0,,2.0,,1.0,,,,90.0,63.0,6.9,9.0,0.0509638,0,,,,1.0,3.0,2.0,1.0,,1.0,,,,,,,,1.0,2.0,,MatteoGuendouzi,1.0,,,1.0,,,,,,,,
12499340,home,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179.0,2966,M,937324,EUR,1007424000,M,6,6,False,66.0,60.0,4.0,2.0,0.0,30.0,30.0,30.0,39.0,1.0,5.0,,7.0,,,,85.0,81.0,7.2,12.0,0.0548826,0,,3.0,,,3.0,2.0,,2.0,,,,,,,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,
12499340,home,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181.0,3333,M,976381,EUR,987638400,M,18,18,False,13.0,10.0,,,0.0,3.0,3.0,8.0,12.0,1.0,3.0,1.0,2.0,,,,62.0,25.0,6.7,8.0,0.02487,1,,2.0,1.0,,5.0,1.0,,1.0,2.0,,,,1.0,0.0808,,,,2.0,1.0,,2.0,,,2.0,,,,,,,,
12499340,home,Lazio,Boulaye Dia,dia-boulaye,B. Dia,F,19,180.0,11046,M,960080,EUR,848102400,M,19,19,False,15.0,12.0,1.0,,0.0,7.0,9.0,5.0,6.0,1.0,2.0,1.0,1.0,,,,62.0,24.0,6.4,6.0,0.00522974,0,,,,2.0,5.0,1.0,,,,,,,,,1.0,,1.0,1.0,,boulaye_dia,1.0,,,1.0,,,,,,,,
12499340,home,Lazio,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177.0,1223,M,1069244,EUR,931305600,M,14,14,False,32.0,28.0,2.0,1.0,0.0,12.0,13.0,16.0,20.0,2.0,4.0,1.0,5.0,,,,78.0,46.0,7.8,9.0,0.0142847,3,,1.0,,1.0,5.0,,,1.0,2.0,,,,2.0,0.1713,1.0,1.0,,1.0,1.0,,,,,3.0,1.0,1.0,0.7779,,,,,
