match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_errorLeadToAGoal,stat_penaltyConceded,stat_totalContest,stat_wonContest,stat_hitWoodwork,stat_totalOffside,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_penaltyWon,player_sofascoreId,stat_punches,stat_blockedScoringAttempt
12117275,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,36.0,25.0,21.0,10.0,0.0,22.0,23.0,3.0,13.0,2.0,11.0,2.0,1.0,4.0,1.0,1.0,90.0,44.0,6.9,11.0,0.00087435,0,-0.3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117275,home,Atlético Mineiro,Renzo Saravia,renzo-saravia,R. Saravia,D,26,178,1136,M,315916,EUR,740188800,D,26,26,False,42.0,30.0,9.0,2.0,0.0,14.0,18.0,17.0,26.0,1.0,4.0,,,,,,90.0,63.0,6.2,17.0,0.0498674,0,,,,2.0,1.0,1.0,2.0,5.0,6.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12117275,home,Atlético Mineiro,Igor Rabello,igor-rabello,I. Rabello,D,21,190,883,M,753662,EUR,799027200,D,16,16,False,47.0,38.0,8.0,5.0,0.0,27.0,28.0,11.0,20.0,2.0,,,,,,,90.0,60.0,6.6,13.0,0.0107963,1,,,,1.0,,3.0,3.0,4.0,5.0,,1.0,,1.0,1.0,1.0,1.0,3.0,0.0919,1.0,,,,,,,,,,,,,,,,
12117275,home,Atlético Mineiro,Bruno Fuchs,bruno-fuchs,B. Fuchs,D,3,190,3790,M,973737,EUR,922924800,D,3,3,False,46.0,34.0,13.0,7.0,0.0,22.0,27.0,12.0,19.0,8.0,2.0,,,,,,90.0,67.0,5.9,15.0,0.00498341,0,,,,,,1.0,4.0,5.0,7.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12117275,home,Atlético Mineiro,Rubens,rubens,Rubens,M,44,178,1492,M,1093196,EUR,993081600,D,44,44,False,33.0,14.0,10.0,2.0,0.0,7.0,17.0,7.0,18.0,3.0,4.0,,,,,,90.0,66.0,6.9,26.0,0.00315548,2,,Rubens,,2.0,,,2.0,2.0,11.0,1.0,4.0,2.0,2.0,,2.0,3.0,3.0,0.0928,,,,,,4.0,3.0,1.0,1.0,,,,,,,,
12117275,home,Atlético Mineiro,Otávio,otavio,Otávio,M,94,173,1027,M,552686,EUR,768009600,M,5,5,False,36.0,29.0,4.0,3.0,0.0,19.0,19.0,10.0,17.0,3.0,2.0,,,,,,90.0,45.0,6.6,8.0,0.0335228,0,,,,,,2.0,1.0,4.0,4.0,1.0,2.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,True,,,,,,,
12117275,home,Atlético Mineiro,Paulo Vitor,vitor-paulo,P. Vitor,M,27,185,275,M,1488136,EUR,1093478400,M,27,27,False,35.0,27.0,8.0,3.0,0.0,17.0,17.0,10.0,18.0,,6.0,,,,,,90.0,46.0,6.7,9.0,0.287594,0,,Paulo Vitor,,,,1.0,2.0,4.0,6.0,1.0,4.0,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
12117275,home,Atlético Mineiro,Alisson Santana,alisson,Alisson,M,45,183,2043,M,1471221,EUR,1127260800,M,45,45,False,14.0,8.0,2.0,,0.0,2.0,2.0,7.0,14.0,1.0,3.0,,,,,,84.0,31.0,6.7,12.0,0.0161316,2,,,,2.0,1.0,1.0,1.0,6.0,5.0,,,,2.0,4.0,1.0,,3.0,0.0538,,,,,,3.0,2.0,,,,1.0,0.0299,,,,,
12117275,home,Atlético Mineiro,Eduardo Vargas,eduardo-vargas,E. Vargas,F,11,175,3003,M,37006,EUR,627523200,M,11,11,False,18.0,12.0,2.0,1.0,0.0,5.0,6.0,7.0,12.0,,8.0,,,,,,90.0,40.0,7.4,15.0,0.00281749,2,,,,,,1.0,2.0,5.0,7.0,1.0,1.0,1.0,4.0,2.0,,,7.0,0.8415,,2.0,,,,,,,,,2.0,0.6917,1.0,1.0,,,
12117275,home,Atlético Mineiro,Igor Gomes,igor-gomes,I. Gomes,M,17,182,1159,M,913598,EUR,921628800,M,17,17,False,23.0,15.0,5.0,4.0,0.0,8.0,10.0,10.0,18.0,,3.0,,,,,,76.0,35.0,6.9,12.0,0.203984,0,,,,5.0,3.0,1.0,2.0,4.0,4.0,,,,1.0,3.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
