match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,player_id,player_name,confirmed,playerName,reason,rescinded,from
12117275,FT,1.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12117275,,,,,90,2.0,,1,,,substitution,123225430.0,False,False,regular,,,,,,,,
12117275,,,,,90,0.0,,1,,,injuryTime,,,,,5.0,,,,,,,
12117275,,1.0,3.0,,88,,,3,,,goal,189266144.0,,False,regular,,845433.0,Bruno Tabata,,,,,
12117275,,,,,84,,,7,,,substitution,123225394.0,False,True,regular,,,,,,,,
12117275,,,,,83,,,8,,,substitution,123225392.0,False,False,regular,,,,,,,,
12117275,,,,,76,,,15,,,substitution,123225385.0,False,True,regular,,,,,,,,
12117275,,,,,74,,,17,,,varDecision,29040.0,,False,penaltyAwarded,,560116.0,Rafael Borré,False,,,,
12117275,,,,,69,,,22,,,card,121672679.0,,True,yellow,,1471221.0,Alisson Santana,,Alisson Santana,Foul,False,
12117275,,,,,66,,,25,,,substitution,123225370.0,False,False,regular,,,,,,,,
12117275,,,,,46,,,45,,,substitution,123225302.0,False,False,regular,,,,,,,,
12117275,,,,,46,,,45,,,substitution,123225289.0,False,False,regular,,,,,,,,
12117275,HT,1.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12117275,,1.0,2.0,,45,3.0,,1,,,goal,189265224.0,,True,penalty,,37006.0,Eduardo Vargas,,,,,penalty
12117275,,,,,45,0.0,,1,,,injuryTime,,,,,5.0,,,,,,,
12117275,,0.0,2.0,,40,,,6,,,goal,189265150.0,,False,regular,,989200.0,Alexandro Bernabei,,,,,
12117275,,0.0,1.0,,38,,,8,,,goal,189265118.0,,False,penalty,,124997.0,Alan Patrick,,,,,penalty
12117275,,,,,20,,,26,,,card,121672561.0,,False,yellow,,985766.0,Wesley Ribeiro,,Wesley Ribeiro,Foul,False,
12117275,,,,,17,,,29,,,card,121672549.0,,True,yellow,,913598.0,Igor Gomes,,Igor Gomes,Foul,False,
12117275,,,,,13,,,33,,,card,121672542.0,,True,yellow,,37006.0,Eduardo Vargas,,Eduardo Vargas,Foul,False,
12117275,,,,,5,,,41,,,card,121672528.0,,False,yellow,,358550.0,Thiago Maia,,Thiago Maia,Foul,False,
12117275,,,,,-5,,,6,,,card,121672682.0,,True,yellow,,40076.0,Mariano,,Mariano,Argument,False,
12117275,,,,,-5,,,6,,,card,121672681.0,,True,yellowRed,,559036.0,Gustavo Scarpa,,Gustavo Scarpa,Argument,False,
12117275,,,,,-5,,,6,,,card,121672676.0,,True,yellow,,559036.0,Gustavo Scarpa,,Gustavo Scarpa,Argument,False,
