match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,stat_dispossessed,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
11407399,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,40.0,35.0,13.0,9.0,30.0,32.0,5.0,8.0,12.0,1.0,4.0,90.0,58.0,8.0,6.0,0.0,0.0,0.00209747,0,0.1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407399,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,2,177,2430,M,,318607,EUR,849830400,D,2,2,False,40.0,35.0,1.0,,16.0,18.0,20.0,25.0,7.0,,,70.0,65.0,6.7,11.0,0.0,0.0,0.015252,0,,True,3.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
11407399,home,Milan,Simon Kjær,simon-kjaer,S. Kjær,D,24,189,1458,M,,21535,EUR,606873600,D,24,24,False,72.0,67.0,8.0,4.0,49.0,50.0,18.0,22.0,6.0,,,90.0,81.0,7.2,6.0,0.0097,0.0,0.00770681,1,,,,,2.0,4.0,,,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11407399,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,23,185,7146,M,fikayotomori,788255,EUR,882489600,D,23,23,False,80.0,74.0,6.0,2.0,62.0,63.0,12.0,17.0,3.0,,,90.0,91.0,7.4,6.0,0.0958,0.0236,0.00404486,2,,,,,3.0,2.0,2.0,,,2.0,2.0,1.0,,,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
11407399,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,42.0,36.0,,,12.0,13.0,25.0,30.0,,,,90.0,65.0,7.0,11.0,0.0,0.0,0.110982,0,,,1.0,1.0,5.0,3.0,1.0,2.0,,2.0,1.0,,2.0,1.0,,,,2.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,
11407399,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,9.0,4.0,1.0,,,,4.0,9.0,,,,29.0,13.0,6.6,6.0,0.0,0.0,0.00633725,0,,,,,1.0,2.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,
11407399,home,Milan,Yacine Adli,yacine-adli,Y. Adli,M,29,187,3790,M,adliyacine,859024,EUR,964828800,M,7,7,False,45.0,38.0,5.0,3.0,14.0,15.0,25.0,32.0,4.0,,,70.0,57.0,6.8,9.0,0.0224,0.0,0.0411952,1,,,2.0,1.0,7.0,3.0,2.0,1.0,1.0,,1.0,,1.0,4.0,1.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,
11407399,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,40.0,37.0,1.0,1.0,10.0,13.0,27.0,27.0,8.0,,,90.0,57.0,7.0,8.0,0.8048,0.0,0.0586232,2,,,,,6.0,8.0,1.0,5.0,4.0,1.0,2.0,,,,,1.0,,,,,,4.0,1.0,1.0,,,1.0,2.0,1.0,,,,,
11407399,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,F,11,11,False,36.0,23.0,1.0,,6.0,7.0,20.0,36.0,5.0,,,82.0,60.0,7.8,26.0,0.2709,0.6112,0.0678301,2,,,7.0,3.0,5.0,6.0,,4.0,2.0,,3.0,2.0,5.0,1.0,,1.0,,,2.0,,,2.0,,2.0,,,,,,1.0,,,,
11407399,home,Milan,Olivier Giroud,olivier-giroud,O. Giroud,F,9,192,23426,M,OGiroud,39070,EUR,528422400,F,9,9,False,7.0,5.0,,,2.0,3.0,3.0,4.0,,,,70.0,16.0,6.8,5.0,0.1096,0.1516,0.00247137,1,,,,,5.0,1.0,,,,,1.0,1.0,3.0,1.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,
