match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_outfielderBlock,stat_aerialLost,stat_interceptionWon,stat_wasFouled,stat_wonContest,stat_dispossessed,player_sofascoreId,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_lastManTackle,stat_hitWoodwork
12437626,home,Real Betis,Adrián,adrian,Adrián,G,13,190.0,2131,M,50539,EUR,536630400,G,13,13,False,18.0,14.0,7.0,4.0,0.0,14.0,17.0,1.0,1.0,10.0,1.0,90.0,26.0,6.3,4.0,0.00012504,0,-0.6879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437626,home,Real Betis,Aitor Ruibal,aitor-ruibal,A. Ruibal,D,24,176.0,879,M,893062,EUR,827452800,D,24,24,False,46.0,41.0,2.0,1.0,0.0,11.0,13.0,41.0,2.0,3.0,,90.0,79.0,7.5,18.0,0.20913,3,,31.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0652,0.1514,1.0,,,,,,,,,,,,,,,,,,
12437626,home,Real Betis,Marc Bartra,marc-bartra,M. Bartra,D,5,183.0,1917,M,99519,EUR,663897600,D,5,5,False,60.0,54.0,5.0,3.0,0.0,33.0,35.0,25.0,9.0,3.0,,90.0,76.0,7.1,6.0,0.0186314,0,,21.0,,,2.0,1.0,4.0,1.0,,,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,
12437626,home,Real Betis,Diego Llorente,diego-llorente,D. Llorente,D,3,185.0,1146,M,305278,EUR,745459200,D,3,3,False,32.0,31.0,4.0,3.0,0.0,22.0,22.0,10.0,,,,45.0,35.0,6.7,1.0,0.0038146,1,,9.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,0.0849,0.1968,,,1.0,,,,,,,,,,,,,,,,
12437626,home,Real Betis,Romain Perraud,romain-perraud,R. Perraud,D,15,173.0,596,M,827519,EUR,874886400,D,15,15,False,46.0,44.0,,,0.0,16.0,18.0,33.0,3.0,1.0,,90.0,70.0,6.8,7.0,0.0176915,2,,29.0,5.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,,0.0461,,,,,1.0,2.0,,,,,,,,,,,,,,
12437626,home,Real Betis,Johnny Cardoso,johnny,J. Cardoso,M,5,186.0,5097,M,990169,EUR,1000944000,M,4,4,False,48.0,43.0,2.0,1.0,0.0,23.0,25.0,24.0,,6.0,,71.0,61.0,7.1,9.0,0.0223602,1,,20.0,1.0,,,2.0,5.0,1.0,4.0,,,1.0,,1.0,1.0,2.0,,0.0266,,,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,
12437626,home,Real Betis,Pablo Fornals,pablo-fornals,P. Fornals,M,8,178.0,2735,M,816763,EUR,824947200,M,18,18,False,65.0,55.0,4.0,3.0,0.0,21.0,24.0,41.0,,6.0,,71.0,71.0,7.1,12.0,0.0945875,1,,34.0,,,1.0,3.0,2.0,2.0,,1.0,,,,,,1.0,,0.0579,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
12437626,home,Real Betis,Antony,antony,Antony,M,7,172.0,219783,M,958380,EUR,951350400,M,7,7,False,70.0,67.0,2.0,2.0,0.0,11.0,11.0,69.0,,3.0,,90.0,99.0,7.7,19.0,0.60891,3,,57.0,10.0,1.0,,7.0,4.0,1.0,6.0,1.0,1.0,1.0,,,,3.0,1.0,0.0991,0.0512,3.0,,1.0,,1.0,3.0,1.0,Antony,1.0,,,,,,,,,,
12437626,home,Real Betis,Isco,isco,Isco,M,22,176.0,26276,M,103417,EUR,703814400,M,22,22,False,88.0,79.0,13.0,10.0,0.0,11.0,13.0,81.0,1.0,2.0,,90.0,117.0,7.8,23.0,0.385691,6,,70.0,6.0,2.0,1.0,8.0,5.0,,3.0,2.0,,4.0,,,,3.0,,0.5769,,6.0,,2.0,,3.0,1.0,4.0,iscoalarcon,,True,1.0,,,,,,,,
12437626,home,Real Betis,Jesús Rodriguez,jesus-rodriguez,J. Rodriguez,M,17,185.0,4146,M,1800245,EUR,1132531200,M,36,36,False,23.0,12.0,1.0,1.0,0.0,4.0,6.0,17.0,,2.0,,61.0,32.0,6.6,14.0,0.0132907,2,,8.0,,,,2.0,3.0,,2.0,,,2.0,,,,1.0,,0.0594,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,
