match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_unsuccessfulTouch,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_penaltyWon,player_sofascoreId,stat_lastManTackle,stat_penaltyFaced,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_clearanceOffLine,stat_penaltyConceded
12117104,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188,1568,M,47339,EUR,574473600,G,1,1,False,25.0,13.0,21.0,11.0,0.0,7.0,10.0,6.0,15.0,1.0,1.0,3.0,11.0,1.0,3.0,1.0,3.0,2.0,90.0,38.0,7.1,12.0,0.00071805,0,0.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117104,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,D,18,18,False,29.0,26.0,3.0,1.0,0.0,11.0,12.0,15.0,17.0,1.0,4.0,5.0,6.0,,,,,,90.0,53.0,7.0,5.0,0.0588604,1,,1.0,1.0,3.0,2.0,0.0261,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117104,home,Grêmio,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,865,M,168745,EUR,752284800,D,5,5,False,16.0,9.0,8.0,2.0,0.0,6.0,7.0,3.0,9.0,2.0,7.0,3.0,,,,,,,74.0,30.0,7.4,7.0,0.00402471,3,,1.0,1.0,4.0,2.0,0.088,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12117104,home,Grêmio,Walter Kannemann,walter-kannemann,W. Kannemann,D,4,183,2119,M,249647,EUR,668908800,D,4,4,False,17.0,10.0,6.0,1.0,0.0,6.0,12.0,4.0,5.0,4.0,6.0,5.0,3.0,,,,,,90.0,34.0,6.7,8.0,0.00090723,1,,,1.0,2.0,1.0,0.1635,,,,,5.0,True,1.0,9.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12117104,home,Grêmio,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,19.0,15.0,1.0,,0.0,7.0,8.0,8.0,14.0,,3.0,4.0,3.0,,,,,,90.0,52.0,6.9,14.0,0.0260267,1,,,1.0,2.0,1.0,0.0118,,3.0,1.0,1.0,2.0,,,3.0,,,,1.0,,,3.0,1.0,,,,,,,,,,,,
12117104,home,Grêmio,Felipe Carballo,felipe-carballo,F. Carballo,M,,177,618,M,805038,EUR,844387200,M,8,8,False,36.0,30.0,2.0,1.0,0.0,17.0,20.0,13.0,16.0,2.0,5.0,4.0,3.0,1.0,,,,,90.0,45.0,6.9,6.0,0.0228085,0,,,,2.0,2.0,,1.0,,,,,,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
12117104,home,Grêmio,Pepê,pepe,Pepê,M,6,183,730,M,946945,EUR,884044800,M,23,23,False,38.0,33.0,3.0,3.0,0.0,21.0,24.0,12.0,15.0,2.0,9.0,6.0,8.0,1.0,,,,,90.0,61.0,7.1,9.0,0.0270074,0,,,1.0,5.0,3.0,,,1.0,1.0,,,,,8.0,2.0,3.0,,3.0,,,1.0,,,,,,,,,,,,,
12117104,home,Grêmio,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,21,21,False,32.0,17.0,3.0,,0.0,5.0,10.0,12.0,25.0,2.0,8.0,,7.0,1.0,,,,,73.0,53.0,7.6,22.0,0.139645,2,,,,4.0,1.0,0.8413,1.0,4.0,1.0,,1.0,,3.0,9.0,1.0,1.0,2.0,1.0,,,3.0,,1.0,0.6905,,,,,,,,,,
12117104,home,Grêmio,Edenilson,edenilson,Edenilson,M,8,175,1388,M,221636,EUR,629942400,M,15,15,False,16.0,11.0,,,0.0,6.0,8.0,6.0,9.0,1.0,2.0,2.0,3.0,,,,,,59.0,30.0,6.5,9.0,0.0531141,0,,,,1.0,,,1.0,4.0,,,1.0,,1.0,5.0,,,,,,,1.0,,,,1.0,,,,,,,,,
12117104,home,Grêmio,Gustavo Nunes,gustavo-nunes,Gustavo Nunes,M,18,173,2173,M,1514747,EUR,1132444800,M,39,39,False,25.0,17.0,2.0,1.0,1.0,2.0,3.0,15.0,22.0,,8.0,1.0,5.0,2.0,,,,,81.0,43.0,7.7,14.0,0.872389,2,,1.0,,1.0,,0.0765,2.0,7.0,5.0,1.0,,,2.0,7.0,,2.0,,1.0,Gustavo Nunes,,,2.0,,,,1.0,,,,,,,,
