match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_accurateLongBalls,stat_challengeLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_penaltyConceded,player_firstName,player_lastName,stat_goalAssist,stat_shotOffTarget,stat_goals,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_errorLeadToAShot
10389785,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,99,99,False,14.0,14.0,14.0,14.0,5.0,4.0,1.0,6.0,90.0,24.0,7.6,0.0,0.0,2.557e-05,0,0.5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389785,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36538,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,62.0,61.0,38.0,39.0,1.0,,,,88.0,76.0,6.9,0.0,0.0,0.0122346,0,,True,1.0,23.0,23.0,1.0,3.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
10389785,home,Paris Saint-Germain,Sergio Ramos,sergio-ramos,S. Ramos,D,93,184,68934,M,SergioRamos,10710,EUR,512524800,D,4,4,False,87.0,82.0,43.0,45.0,2.0,,,,90.0,94.0,6.7,0.0,0.0,0.0317728,0,,,8.0,39.0,42.0,,1.0,2.0,1.0,,5.0,,,,,,5.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10389785,home,Paris Saint-Germain,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4067,M,DaniloP,99545,EUR,684374400,D,15,15,False,91.0,88.0,40.0,42.0,4.0,,,,90.0,97.0,6.8,0.0,0.0,0.0372139,0,,,3.0,48.0,49.0,1.0,,2.0,1.0,,3.0,,,,1.0,,4.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
10389785,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,M,2,2,False,62.0,55.0,19.0,20.0,5.0,,,,90.0,83.0,6.8,0.3628,0.3718,0.0417708,1,,,,36.0,42.0,,,3.0,5.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,12.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
10389785,home,Paris Saint-Germain,Carlos Soler,carlos-soler,C. Soler,M,18,180,3724,M,Carlos10Soler,832427,EUR,852163200,M,28,28,False,47.0,44.0,8.0,8.0,1.0,,,,90.0,55.0,6.8,0.0,0.0,0.0334195,0,,,,36.0,39.0,1.0,,6.0,2.0,,2.0,1.0,1.0,1.0,,,3.0,,,,5.0,,1.0,1.0,,,,,,,,,,,,,
10389785,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21859,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,122.0,118.0,49.0,50.0,4.0,,,,90.0,132.0,6.9,0.0518,0.0386,0.0630475,1,,,5.0,69.0,72.0,,,3.0,3.0,1.0,2.0,,3.0,2.0,,,5.0,4.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,
10389785,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,63.0,60.0,19.0,19.0,4.0,,,,90.0,72.0,8.2,0.0579,0.0282,0.153404,2,,,1.0,41.0,44.0,,,3.0,2.0,,,,,,3.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,
10389785,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,M,25,25,False,44.0,39.0,19.0,22.0,4.0,,,,77.0,62.0,7.5,0.0573,0.0,0.0166212,1,,,4.0,21.0,23.0,,1.0,,4.0,,3.0,1.0,,,1.0,,7.0,4.0,,2.0,,1.0,3.0,3.0,,,,,,,1.0,1.0,,1.0,1.0,,
10389785,home,Paris Saint-Germain,Lionel Messi,lionel-messi,L. Messi,F,10,169,2023630,M,LM10,12994,EUR,551491200,F,30,30,False,82.0,71.0,11.0,14.0,3.0,,,,90.0,99.0,7.6,0.3684,0.2185,0.147331,5,,,4.0,60.0,70.0,,,6.0,2.0,3.0,,,,,4.0,,20.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,,,,,,,1.0,2.0,,4.0,
