match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_bigChanceMissed,stat_outfielderBlock,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_dispossessed,captain,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim
14025073,home,Leeds United,Karl Darlow,karl-darlow,K. Darlow,G,26,185.0,574,M,123689,EUR,655344000,G,26,26,False,44.0,19.0,31.0,7.0,0.0,14.0,17.0,5.0,27.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,90.0,52.0,6.4,26.0,0.0010556,75.832127533318,12.0,34.965,6.51,0.0776,0,0.0899,0.04,0.01,-0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025073,home,Leeds United,James Justin,james-justin,J. Justin,D,24,183.0,1165,M,827681,EUR,888192000,D,24,24,False,48.0,41.0,5.0,1.0,0.0,27.0,29.0,14.0,19.0,6.0,1.0,,2.0,5.0,,,,,,90.0,80.0,6.9,15.0,0.164116,149.89402477376,24.0,11.76,9.87,,2,,0.16,0.38,0.13,,,,6.0,2.0,4.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.1714,0.0571,2.0,-0.47,,,,,,,,,,,
14025073,home,Leeds United,Joe Rodon,rodon-joe,J. Rodon,D,6,193.0,1190,M,828640,EUR,877478400,D,6,6,False,52.0,47.0,1.0,1.0,0.0,35.0,37.0,12.0,15.0,2.0,,,1.0,3.0,,,,,,90.0,56.0,6.5,6.0,0.00292921,131.24842623871,20.0,26.145,8.82,,0,,0.02,0.01,-0.04,,,,,,4.0,1.0,7.0,1.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,
14025073,home,Leeds United,Pascal Struijk,pascal-struijk,P. Struijk,D,5,190.0,1365,M,836675,EUR,934329600,D,5,5,False,55.0,46.0,4.0,,0.0,35.0,39.0,11.0,16.0,3.0,,,4.0,4.0,,,,,,90.0,66.0,6.8,10.0,0.00225542,169.71034499353,23.0,97.23,29.82,,1,,-0.05,0.11,0.28,,,,,,3.0,3.0,3.0,,,1.0,,,,,,1.0,,0.1472,,,-0.4,1.0,1.0,2.0,32.635257008334,1.0,,,,,,
14025073,home,Leeds United,Jayden Bogle,bogle-jayden,J. Bogle,D,2,178.0,805,M,929132,EUR,964656000,M,2,2,False,28.0,19.0,2.0,,0.0,10.0,12.0,9.0,16.0,4.0,1.0,,,6.0,,,,,,81.0,39.0,7.0,14.0,0.0515187,70.779158051482,11.0,-25.41,5.88,,0,,0.34,0.08,0.17,,,,1.0,,1.0,1.0,4.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,
14025073,home,Leeds United,Brenden Aaronson,brenden-aaronson,B. Aaronson,M,11,178.0,2596,M,973431,EUR,972172800,M,11,11,False,21.0,15.0,,,0.0,7.0,7.0,8.0,14.0,6.0,2.0,2.0,,5.0,,,,,,89.0,55.0,6.7,20.0,0.170253,160.90124640379,14.0,48.195,34.755,,1,,0.31,0.16,0.17,,,,4.0,1.0,2.0,,11.0,,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,0.2596,,2.0,-0.39,1.0,1.0,3.0,65.521087283737,2.0,7.0,,,,,
14025073,home,Leeds United,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182.0,2540,M,847097,EUR,968889600,M,4,4,False,49.0,41.0,8.0,6.0,1.0,20.0,20.0,21.0,29.0,6.0,1.0,1.0,1.0,4.0,,,,,,90.0,68.0,8.0,15.0,0.386855,111.77458924404,18.0,36.855,12.495,,0,,0.51,0.14,0.19,,,,3.0,2.0,1.0,2.0,2.0,,1.0,,,,1.0,1.0,,2.0,,,,4.0,,,,,,,1.0,True,,,,
14025073,home,Leeds United,Ilia Gruev,ilia-gruev,I. Gruev,M,44,185.0,2644,M,911679,EUR,957571200,M,44,44,False,28.0,24.0,,,0.0,16.0,17.0,8.0,11.0,3.0,,,1.0,2.0,,,,,,81.0,37.0,6.6,9.0,0.00448152,32.658003164205,6.0,4.305,4.62,,1,,0.02,-0.13,0.16,,,,3.0,,3.0,3.0,4.0,,,1.0,,1.0,,,,,,0.0318,,1.0,0.01,,,,,,1.0,,,,,
14025073,home,Leeds United,Gabriel Gudmundsson,gabriel-gudmundsson,G. Gudmundsson,D,3,181.0,1194,M,834308,EUR,925344000,M,3,3,False,26.0,22.0,3.0,1.0,0.0,12.0,13.0,10.0,13.0,5.0,,,,5.0,,,,,,90.0,41.0,7.1,8.0,0.00462327,118.12249781611,13.0,65.73,38.85,,1,,0.05,0.22,0.16,,,,2.0,,,2.0,,,,1.0,,1.0,2.0,2.0,,1.0,,0.0823,,,-0.35,,,,48.195340847151,2.0,,,,,,
14025073,home,Leeds United,Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187.0,5857,M,372344,EUR,858470400,F,9,9,False,15.0,11.0,,,0.0,5.0,5.0,6.0,10.0,9.0,2.0,,,1.0,,,,,,90.0,30.0,6.4,13.0,0.0297687,39.922572108622,4.0,-5.775,3.465,,2,,0.12,-0.09,-0.01,,,,,,8.0,7.0,11.0,,,1.0,1.0,,,,6.0,2.0,,0.2472,0.0638,,-0.59,1.0,,3.0,,,1.0,,CalvertLewin14,,,
