match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_wasFouled,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceCreated,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,stat_accurateCross,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_goals
14109616,home,Gençlerbirliği,Gökhan Akkan,gokhan-akkan,G. Akkan,G,22,188.0,108,M,225012,EUR,788918400,G,1,1,False,True,34.0,20.0,19.0,5.0,0.0,18.0,21.0,2.0,13.0,9.0,1.0,3.0,3.0,90.0,43.0,6.7,15.0,0.00043322,0.4212,0,-0.005,0.02,0.0,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109616,home,Gençlerbirliği,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185.0,286,M,807291,EUR,885427200,D,13,13,False,,26.0,23.0,2.0,1.0,0.0,11.0,14.0,12.0,12.0,2.0,,,,90.0,43.0,6.8,10.0,0.0775881,,0,,0.3,0.04,-0.21,,,,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14109616,home,Gençlerbirliği,Thalisson Kelven,thalisson-kelven,T. Kelven,D,2,184.0,112,M,863277,EUR,894499200,D,2,2,False,,45.0,39.0,9.0,3.0,0.0,27.0,28.0,12.0,17.0,4.0,,,,84.0,56.0,6.9,7.0,0.00692155,,0,,0.14,0.12,0.16,,,,,,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,
14109616,home,Gençlerbirliği,Dimitris Goutas,dimitris-goutas,D. Goutas,D,6,189.0,261,M,257497,EUR,765417600,D,6,6,False,,54.0,50.0,5.0,3.0,0.0,38.0,40.0,12.0,14.0,2.0,,,,90.0,68.0,7.1,4.0,0.00384122,,1,,0.12,0.08,0.19,,,,,3.0,1.0,4.0,,,,1.0,1.0,,,,1.0,9.0,,1.0,0.0288,-0.11,,,,,,,,,,,,,,,
14109616,home,Gençlerbirliği,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182.0,55,M,320905,EUR,738979200,D,23,23,False,,44.0,38.0,8.0,4.0,0.0,21.0,23.0,17.0,21.0,2.0,,,,90.0,63.0,7.0,10.0,0.321444,,0,,0.29,0.15,-0.06,,,,2.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,4.0,,,,,1.0,,,,,,,,,,,,,,
14109616,home,Gençlerbirliği,Göktan Gürpüz,goktan-gurpuz,G. Gürpüz,M,11,178.0,349,M,997007,EUR,1043193600,M,11,11,False,,20.0,16.0,1.0,,0.0,5.0,7.0,11.0,13.0,2.0,,,,90.0,33.0,6.6,12.0,0.0142188,,0,,0.05,0.22,-0.11,,,,4.0,,3.0,3.0,2.0,3.0,3.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
14109616,home,Gençlerbirliği,Žan Žužek,zan-zuzek,Ž. Žužek,D,4,186.0,103,M,355582,EUR,854236800,M,4,4,False,,37.0,31.0,4.0,2.0,0.0,22.0,26.0,9.0,11.0,5.0,,,,90.0,51.0,6.4,10.0,0.00624482,,2,,-0.01,0.05,-0.15,,,,1.0,1.0,7.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,0.0803,-0.14,,3.0,1.0,1.0,,,,,,,,,,,
14109616,home,Gençlerbirliği,Samed Onur,samed-onur,S. Onur,M,8,175.0,60,M,980608,EUR,1026691200,M,8,8,False,,24.0,22.0,3.0,2.0,0.0,13.0,15.0,9.0,9.0,4.0,,,,72.0,36.0,7.0,6.0,0.161282,,0,,0.27,0.11,-0.07,,,,5.0,,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,4.0,1.0,,2.0,,,,,,,,3.0,1.0,,,,,,,,,
14109616,home,Gençlerbirliği,Abdurrahim Dursun,abdurrahim-dursun,A. Dursun,D,77,176.0,46,M,883275,EUR,912470400,M,77,77,False,,21.0,11.0,3.0,,0.0,3.0,10.0,8.0,11.0,3.0,,,,85.0,51.0,6.5,19.0,0.159098,,2,,0.27,0.03,-0.19,,,,4.0,2.0,4.0,6.0,,1.0,,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0371,-0.29,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,
14109616,home,Gençlerbirliği,Metehan Mimaroğlu,metehan-mimaroglu,M. Mimaroğlu,M,10,178.0,135,M,900809,EUR,773539200,F,10,10,False,,22.0,20.0,2.0,2.0,0.0,7.0,7.0,13.0,15.0,2.0,,,,90.0,45.0,7.1,11.0,0.492039,,5,,0.47,0.17,-0.09,,,,3.0,3.0,9.0,7.0,1.0,5.0,2.0,,,,3.0,2.0,2.0,,2.0,,0.2418,-0.62,2.0,2.0,5.0,1.0,1.0,,1.0,,,,,,,,
