match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_goals,stat_challengeLost,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,player_sofascoreId,stat_errorLeadToAShot,stat_totalOffside,stat_outfielderBlock,stat_hitWoodwork
11388429,home,PEC Zwolle,Jasper Schendelaar,Jasper,Schendelaar,jasper-schendelaar,J. Schendelaar,G,1,182,179,M,856636,EUR,967852800,G,1,1,False,32.0,13.0,28.0,9.0,7.0,10.0,6.0,22.0,2.0,11.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,90.0,44.0,6.4,19.0,0.00106548,0,-0.3547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388429,home,PEC Zwolle,Bram van Polen,,,bram-van-polen,B. v. Polen,D,,179,52,M,17032,EUR,497836800,D,2,2,False,34.0,23.0,6.0,3.0,17.0,23.0,6.0,14.0,4.0,4.0,,,,,,,,90.0,63.0,6.3,21.0,0.00778687,2,,True,3.0,3.0,2.0,7.0,2.0,2.0,1.0,1.0,4.0,4.0,0.4935,,,,,,,,,,,,,,,,,,,,
11388429,home,PEC Zwolle,Sam Kersten,,,sam-kersten,S. Kersten,D,4,191,83,M,847072,EUR,886118400,D,4,4,False,41.0,36.0,5.0,2.0,27.0,28.0,9.0,13.0,1.0,3.0,,,,,,,,90.0,49.0,6.6,6.0,0.00615827,0,,,,1.0,,3.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11388429,home,PEC Zwolle,Thomas Lam,,,thomas-lam,T. Lam,D,3,188,86,M,110934,EUR,756172800,D,13,13,False,49.0,39.0,5.0,1.0,31.0,35.0,8.0,14.0,1.0,4.0,,,,,,,,90.0,54.0,6.8,11.0,0.284804,1,,,,3.0,5.0,4.0,7.0,1.0,,,1.0,1.0,0.5194,,,1.0,1.0,1.0,1.0,0.7262,1.0,,,,,,,,,,,,
11388429,home,PEC Zwolle,Anselmo Garcia McNulty,,,anselmo-garcia-mcnulty,A. G. McNulty,D,4,187,281,M,1005693,EUR,1045612800,D,15,15,False,42.0,27.0,8.0,2.0,12.0,19.0,15.0,26.0,,3.0,,,,,,,,90.0,66.0,7.6,22.0,0.0989072,1,,,3.0,,5.0,1.0,7.0,,,,2.0,1.0,0.2891,1.0,2.0,1.0,,1.0,1.0,0.8995,1.0,1.0,1.0,,,,,,,,,,
11388429,home,PEC Zwolle,Anouar El Azzouzi,,,anouar-el-azzouzi,A. E. Azzouzi,M,8,181,517,M,1021104,EUR,991094400,M,6,6,False,41.0,36.0,1.0,1.0,19.0,19.0,17.0,22.0,3.0,4.0,,,,,,,,80.0,61.0,7.0,10.0,0.205635,3,,,,2.0,4.0,8.0,10.0,1.0,1.0,,2.0,1.0,0.5295,2.0,,3.0,2.0,2.0,1.0,0.9866,1.0,1.0,,2.0,2.0,,,,,,,,
11388429,home,PEC Zwolle,Filip Krastev,,,filip-krastev,F. Krastev,M,10,178,1203,M,935556,EUR,1003104000,M,50,50,False,60.0,49.0,3.0,,21.0,22.0,28.0,38.0,1.0,8.0,,,,,,,,90.0,82.0,8.0,16.0,0.09788,3,,,,4.0,1.0,11.0,6.0,,1.0,1.0,,1.0,0.3562,4.0,2.0,1.0,3.0,1.0,,0.1385,5.0,1.0,,2.0,1.0,1.0,1.0,,,,,,
11388429,home,PEC Zwolle,Younes Namli,,,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,M,7,7,False,46.0,37.0,3.0,2.0,13.0,15.0,26.0,37.0,,1.0,,,,,,,,83.0,68.0,8.0,16.0,0.574841,4,,,6.0,2.0,,5.0,6.0,,,3.0,2.0,1.0,0.12,6.0,,1.0,,1.0,,0.0494,4.0,5.0,,1.0,,,,2.0,,,,,
11388429,home,PEC Zwolle,Odysseus Velanas,Odysseus,Velanas,odysseus-velanas,O. Velanas,M,18,180,83,M,846003,EUR,897004800,M,18,18,False,26.0,19.0,1.0,1.0,5.0,7.0,16.0,22.0,1.0,1.0,,,,,,,,90.0,47.0,8.3,15.0,0.702807,5,,,3.0,3.0,2.0,5.0,4.0,,1.0,,3.0,,0.3635,2.0,,1.0,1.0,4.0,1.0,0.7872,3.0,,1.0,,,,2.0,2.0,,,,,
11388429,home,PEC Zwolle,Eliano Reijnders,,,eliano-reijnders,E. Reijnders,D,2,168,8068,M,960112,EUR,972259200,M,23,23,False,19.0,14.0,2.0,1.0,4.0,4.0,11.0,18.0,1.0,2.0,,,,,,,,90.0,35.0,7.2,9.0,0.0825977,2,,,3.0,6.0,1.0,9.0,6.0,,1.0,1.0,,1.0,0.3144,1.0,1.0,3.0,2.0,,3.0,,3.0,,,,1.0,,,1.0,eliano.r,,,,
