match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_dispossessed,captain,stat_blockedScoringAttempt,stat_penaltyWon,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_penaltyConceded,stat_penaltyFaced,stat_totalOffside,stat_bigChanceMissed
10389912,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,48.0,29.0,27.0,8.0,26.0,32.0,3.0,16.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,57.0,6.7,20.0,0.0,0.0,0.0048218,0,0.3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389912,home,Lille,Timothy Weah,,,weah-timothy,T. Weah,M,22,185,11671,M,855810,EUR,951177600,D,22,22,False,32.0,23.0,3.0,,17.0,18.0,6.0,15.0,4.0,5.0,1.0,,,,,,90.0,56.0,7.2,13.0,0.0324,0.0,0.0206759,2,,timothyweah,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10389912,home,Lille,Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,190,20033,M,1153315,EUR,1131840000,D,15,15,False,48.0,42.0,11.0,7.0,35.0,37.0,7.0,11.0,6.0,6.0,1.0,,,,,,90.0,57.0,7.0,7.0,0.0,0.0,0.00467967,0,,YL15,,3.0,,,,,2.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10389912,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182,1863,M,962408,EUR,978739200,D,18,18,False,41.0,36.0,4.0,2.0,28.0,32.0,8.0,9.0,5.0,5.0,,,,,,,90.0,49.0,7.1,5.0,0.0329,0.0,0.207754,1,,,,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,
10389912,home,Lille,Ismaily,,,ismaily,Ismaily,D,,177,339,M,78352,EUR,632016000,D,31,31,False,10.0,6.0,1.0,,3.0,4.0,3.0,6.0,,,,,,,,,26.0,18.0,6.5,6.0,0.0,0.0,0.00335924,0,,,,,,,,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,
10389912,home,Lille,Jonas Martin,,,jonas-martin,J. Martin,M,90,184,95,M,123264,EUR,639619200,M,8,8,False,32.0,25.0,2.0,1.0,14.0,16.0,12.0,17.0,5.0,6.0,2.0,,,,,,81.0,43.0,6.8,10.0,0.0,0.0,0.206366,0,,,1.0,1.0,5.0,1.0,,,,,2.0,2.0,1.0,,2.0,,3.0,1.0,1.0,2.0,,,,,,,,,,,
10389912,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180,759,M,51665,EUR,649641600,M,21,21,False,55.0,38.0,7.0,1.0,25.0,29.0,13.0,26.0,6.0,11.0,,,,,,,90.0,72.0,6.7,19.0,0.0148,0.0,0.0229356,1,,,,2.0,4.0,1.0,,,2.0,,1.0,4.0,2.0,,1.0,1.0,,,,1.0,True,1.0,,,,,,,,,
10389912,home,Lille,André Gomes,,,andre-gomes,A. Gomes,M,26,188,1679,M,235460,EUR,743990400,M,28,28,False,30.0,29.0,4.0,4.0,13.0,13.0,16.0,17.0,5.0,3.0,1.0,,,,,,67.0,41.0,6.6,6.0,0.0,0.0,0.0219726,0,,,,,5.0,3.0,3.0,,,,,1.0,1.0,3.0,2.0,,,,1.0,2.0,,,,,,,,,,,
10389912,home,Lille,Carlos Baleba,,,baleba-carlos,C. Baleba,M,17,179,25912,M,1199043,EUR,1073088000,M,35,35,False,13.0,8.0,,,2.0,3.0,6.0,10.0,8.0,2.0,5.0,,,,,,68.0,30.0,6.6,13.0,0.0264,0.0,0.00841603,1,,carlos_baleba,,3.0,8.0,1.0,,1.0,,,,,,5.0,3.0,2.0,,,,2.0,,,1.0,,,,,,,,
10389912,home,Lille,Jonathan Bamba,,,jonathan-bamba,J. Bamba,F,19,175,1936,M,595576,EUR,827798400,F,7,7,False,36.0,29.0,2.0,1.0,11.0,12.0,18.0,27.0,6.0,10.0,4.0,,,,,,90.0,59.0,7.4,15.0,0.6785,0.395,0.0816257,3,,,3.0,1.0,7.0,2.0,1.0,1.0,1.0,,1.0,,,3.0,,2.0,,,3.0,1.0,,,,2.0,1.0,,,,,,
