match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_outfielderBlock,stat_dispossessed,stat_wasFouled,stat_punches
11067349,home,Corinthians,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,12,12,False,True,26.0,23.0,7.0,4.0,22.0,23.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,90.0,35.0,7.4,3.0,0.0,0.0,0.00105069,0,0.1248,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067349,home,Corinthians,Bruno Méndez,bruno-mendez,Bruno Méndez,D,4,184,752,M,,923000,EUR,936921600,D,25,25,False,,58.0,54.0,10.0,8.0,35.0,36.0,19.0,23.0,1.0,6.0,3.0,,,,90.0,73.0,7.5,6.0,0.0472,0.0,0.0102051,1,,,,1.0,3.0,8.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,
11067349,home,Corinthians,Gil,gil,Gil,D,4,191,1081,M,,106402,EUR,550454400,D,4,4,False,,57.0,54.0,2.0,1.0,40.0,41.0,14.0,16.0,1.0,3.0,2.0,,,,90.0,65.0,7.7,3.0,0.4341,1.2389,0.00608092,4,,,,,3.0,4.0,,,2.0,,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,
11067349,home,Corinthians,Lucas Veríssimo,lucas-verissimo,L. Veríssimo,D,28,188,1027,M,,826343,EUR,804643200,D,3,3,False,,43.0,38.0,3.0,1.0,23.0,23.0,15.0,20.0,,,4.0,,,,45.0,46.0,6.7,5.0,0.0,0.0,0.0104241,0,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,
11067349,home,Corinthians,Matheus Bidu,matheus-bidu,M. Bidu,D,21,172,6254,M,,981703,EUR,925776000,D,21,21,False,,74.0,71.0,3.0,3.0,30.0,32.0,42.0,46.0,,2.0,10.0,,,,80.0,93.0,7.8,6.0,0.0,0.0,0.167713,0,,,,4.0,2.0,5.0,,,3.0,,2.0,1.0,,2.0,,,,,,1.0,1.0,1.0,1.0,5.0,,,,
11067349,home,Corinthians,Gabriel Moscardo,gabriel-moscardo,G. Moscardo,M,17,185,5063,M,gabrielmoscardo,1485309,EUR,1127865600,M,44,44,False,,38.0,36.0,3.0,3.0,12.0,12.0,24.0,26.0,,3.0,3.0,,,,45.0,44.0,6.8,4.0,0.0,0.0,0.0151632,0,,,,,1.0,3.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,
11067349,home,Corinthians,Maycon,maycon,Maycon,M,8,175,3568,M,,831778,EUR,868924800,M,7,7,False,,81.0,71.0,6.0,3.0,29.0,32.0,42.0,49.0,,4.0,3.0,,,,90.0,90.0,6.9,14.0,0.0,0.0,0.0396924,0,,,,,,3.0,1.0,,1.0,,3.0,2.0,2.0,2.0,,,,,,,1.0,,,,,,,
11067349,home,Corinthians,Pedro,pedro,Pedro,M,20,170,2350,M,,1199285,EUR,1139097600,M,27,27,False,,29.0,18.0,,,5.0,6.0,13.0,28.0,,3.0,7.0,,,,57.0,47.0,6.8,20.0,0.0951,0.0,0.0308825,2,,Pedro,,5.0,,5.0,1.0,1.0,,,2.0,1.0,3.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,2.0,
11067349,home,Corinthians,Matías Rojas,matias-rojas,Matías Rojas,M,,180,2550,M,MRojas,846280,EUR,815356800,M,10,10,False,,66.0,58.0,9.0,6.0,21.0,23.0,38.0,49.0,,6.0,7.0,,,,90.0,84.0,6.8,16.0,0.0899,0.0547,0.102199,4,,,,6.0,,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,2.0,1.0,,2.0,,1.0,,
11067349,home,Corinthians,Wesley,wesley,Wesley,F,22,180,10411,M,wesley_teixeira005,1211632,EUR,1109980800,M,36,36,False,,21.0,19.0,3.0,3.0,5.0,5.0,14.0,17.0,,3.0,1.0,,,,57.0,42.0,7.1,9.0,0.0884,0.0,0.046415,3,,,,1.0,,7.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,5.0,3.0,,1.0,,,3.0,
