match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_interceptionWon,stat_fouls,stat_penaltyMiss,stat_bigChanceCreated,stat_keyPass,stat_outfielderBlock,stat_blockedScoringAttempt,stat_totalContest,stat_totalOffside,captain,stat_wonContest,stat_penaltyWon,stat_goals,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_penaltyConceded
12264388,home,Orange County SC,Colin Shutler,Colin Shutler,,colin-shutler,C. Shutler,G,1,185.0,6,M,1113505,EUR,902016000,G,1,1,False,29.0,26.0,9.0,6.0,0.0,23.0,25.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,90.0,33.0,6.5,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12264388,home,Orange County SC,Owen Lambe,Owen Lambe,,owen-lambe,O. Lambe,M,23,178.0,8,M,1119161,EUR,966297600,D,2,2,False,54.0,37.0,9.0,2.0,0.0,10.0,15.0,29.0,47.0,6.0,,,,,90.0,83.0,6.3,28.0,1,8.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12264388,home,Orange County SC,Markus Nakkim,,,markus-nakkim,M. Nakkim,D,4,187.0,32,M,793401,EUR,837907200,D,30,30,False,71.0,64.0,8.0,3.0,0.0,29.0,33.0,36.0,40.0,3.0,,,,,90.0,78.0,6.1,8.0,1,2.0,1.0,1.0,,3.0,,,,1.0,,1.0,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
12264388,home,Orange County SC,Ashton Miles,Ashton Miles,,ashton-miles,A. Miles,D,33,191.0,4,M,1404271,EUR,1098316800,D,33,33,False,55.0,49.0,4.0,1.0,0.0,32.0,34.0,17.0,21.0,4.0,,,,,90.0,64.0,6.8,6.0,2,,,1.0,2.0,2.0,4.0,1.0,,,2.0,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
12264388,home,Orange County SC,Ryan Doghman,,,ryan-doghman,R. Doghman,D,23,179.0,11,M,904891,EUR,866246400,D,23,23,False,12.0,9.0,,,0.0,3.0,5.0,7.0,9.0,,,,,,23.0,21.0,6.7,5.0,0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,
12264388,home,Orange County SC,Sofiane Djeffal,Sofiane Djeffal,,sofiane-djeffal,S. Djeffal,M,3,177.0,35,M,1172551,EUR,924480000,M,4,4,False,62.0,56.0,9.0,8.0,0.0,19.0,19.0,39.0,46.0,7.0,,,,,90.0,76.0,7.6,7.0,1,3.0,2.0,,1.0,2.0,4.0,2.0,,,1.0,1.0,1.0,1.0,,2.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,
12264388,home,Orange County SC,Kyle Scott,,,kyle-scott,K. Scott,M,6,172.0,41,M,788257,EUR,882748800,M,26,26,False,88.0,79.0,20.0,15.0,0.0,22.0,23.0,58.0,67.0,6.0,,,,,90.0,102.0,7.2,13.0,0,2.0,1.0,,,6.0,3.0,,2.0,,,2.0,1.0,1.0,1.0,2.0,,,4.0,,,1.0,,,,,,,,,,,,,
12264388,home,Orange County SC,Christian Sorto,,,christian-sorto,C. Sorto,F,99,180.0,19,M,982727,EUR,948240000,M,17,17,False,25.0,17.0,4.0,2.0,1.0,5.0,7.0,13.0,22.0,4.0,,,,,90.0,45.0,7.2,16.0,1,4.0,1.0,3.0,,7.0,6.0,1.0,3.0,,,1.0,6.0,3.0,2.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,
12264388,home,Orange County SC,Brian Iloski,,,brian-iloski,B. Iloski,M,,170.0,10,M,868806,EUR,810172800,M,10,10,False,37.0,31.0,2.0,,0.0,5.0,5.0,29.0,38.0,2.0,,,,,90.0,56.0,6.7,15.0,2,6.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,,,,,,3.0,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,
12264388,home,Orange County SC,Bryce Jamison,Bryce Jamison,,bryce-jamison,B. Jamison,M,11,183.0,47,M,1410319,EUR,1136505600,M,11,11,False,8.0,5.0,2.0,,0.0,,1.0,5.0,7.0,1.0,,,,,45.0,19.0,6.7,7.0,1,,,1.0,,2.0,3.0,,,,1.0,,1.0,,3.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,
