match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_errorLeadToAShot,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_outfielderBlock,stat_clearanceOffLine
14573096,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187.0,289,M,190179,EUR,806803200,G,1,1,False,20.0,17.0,5.0,3.0,0.0,16.0,18.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,90.0,24.0,6.9,3.0,0.00011007,0.0759,0,0.5036,0.03,0.0,0.14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573096,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178.0,204,M,140735,EUR,684028800,D,18,18,False,53.0,42.0,5.0,2.0,1.0,20.0,24.0,18.0,29.0,,4.0,,,,90.0,91.0,7.6,22.0,0.354534,,0,,0.68,0.05,-0.05,,True,6.0,2.0,2.0,2.0,14.0,8.0,2.0,4.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,
14573096,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185.0,293,M,187231,EUR,817862400,D,37,37,False,75.0,70.0,12.0,9.0,0.0,49.0,53.0,21.0,22.0,3.0,5.0,,,,90.0,85.0,7.5,7.0,0.0118141,,0,,0.34,0.17,-0.02,,,,,,,3.0,3.0,,,1.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
14573096,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185.0,366,M,803023,EUR,914112000,D,4,4,False,91.0,74.0,12.0,5.0,0.0,47.0,49.0,27.0,42.0,2.0,8.0,,,,90.0,103.0,7.1,20.0,0.286758,,1,,0.45,0.18,0.16,,,,,,1.0,1.0,2.0,,1.0,,1.0,3.0,1.0,1.0,,,,1.0,,1.0,0.055,-0.25,,,,,,,,,,,
14573096,home,Samsunspor,Logi Tomasson,logi-tomasson,L. Tómasson,D,17,182.0,205,M,858266,EUR,968803200,D,17,17,False,43.0,35.0,4.0,2.0,0.0,20.0,21.0,14.0,22.0,1.0,4.0,,,,81.0,66.0,7.1,15.0,0.137238,,0,,0.4,0.07,0.15,,,2.0,1.0,,,5.0,2.0,,2.0,1.0,,3.0,2.0,2.0,,,3.0,4.0,,,,,,,,,,,,,,,
14573096,home,Samsunspor,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186.0,539,M,920391,EUR,900720000,M,29,29,False,57.0,52.0,5.0,2.0,0.0,31.0,32.0,21.0,25.0,1.0,3.0,,,,70.0,66.0,7.1,6.0,0.0246687,,0,,0.22,0.05,0.17,,,,,,,1.0,5.0,,1.0,,,,2.0,2.0,,3.0,,,,,,,,,,,,,,,,,
14573096,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174.0,320,M,202032,EUR,777600000,M,11,11,False,40.0,34.0,3.0,2.0,1.0,11.0,14.0,23.0,26.0,,5.0,,,,90.0,55.0,8.7,9.0,0.325172,,2,,0.38,0.11,-0.02,,,,,2.0,3.0,7.0,11.0,1.0,1.0,5.0,1.0,,2.0,2.0,,2.0,2.0,4.0,,,0.3519,0.52,,,4.0,1.0,2.0,1.0,0.3092,,,,
14573096,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177.0,633,M,837012,EUR,928281600,M,21,21,False,43.0,38.0,3.0,3.0,1.0,13.0,16.0,25.0,27.0,1.0,5.0,,,,80.0,58.0,8.1,9.0,0.193763,,4,,0.12,0.31,0.14,,,,,1.0,1.0,4.0,5.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,2.0,0.531,0.43,,,,,1.0,1.0,0.5019,1.0,,,
14573096,home,Samsunspor,Celil Yüksel,celil-yuksel,C. Yüksel,M,5,165.0,83,M,806972,EUR,883612800,M,5,5,False,32.0,26.0,2.0,2.0,0.0,12.0,12.0,14.0,20.0,,9.0,,,,87.0,47.0,6.9,10.0,0.142727,,2,,0.33,0.09,-0.07,,,1.0,1.0,,,6.0,3.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,,2.0,1.0,,1.0,0.0703,-0.31,,,1.0,,1.0,,0.0191,,,,
14573096,home,Samsunspor,Anthony Musaba,anthony-musaba,A. Musaba,F,20,182.0,2507,M,979473,EUR,976060800,M,7,7,False,18.0,15.0,1.0,1.0,0.0,5.0,5.0,8.0,13.0,,5.0,,,,71.0,44.0,6.5,19.0,0.0144414,,2,,-0.12,0.26,0.15,,,2.0,,,1.0,10.0,6.0,,4.0,9.0,,,1.0,1.0,3.0,1.0,,,,,0.1904,-0.56,,,3.0,,1.0,,0.11,1.0,1.0,,
