match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_penaltyConceded,stat_aerialLost,stat_wonContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_totalOffside,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyMiss
15237907,home,Corinthians,Hugo Souza,hugo-souza,H. Souza,G,1,199.0,25650,M,hugosouza,950454,EUR,917740800,G,1,1,False,28.0,21.0,17.0,10.0,0.0,18.0,20.0,3.0,8.0,10.0,1.0,1.0,1.0,1.0,4.0,90.0,41.0,7.9,8.0,0.00048613,40.157407314853,7.0,3.2643381939078,0.0,0.5297,0,1.03,0.01,0.02,0.23,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237907,home,Corinthians,Matheuzinho,matheuzinho,Matheuzinho,D,2,171.0,7286,M,mateuzinhoo,931540,EUR,968371200,D,2,2,False,42.0,31.0,5.0,3.0,0.0,23.0,27.0,8.0,15.0,2.0,,,,,,90.0,65.0,6.8,17.0,0.00825734,159.34775516239,15.0,84.298042466683,1.0,,0,,0.07,0.06,0.15,,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,28.788150779565,38.367329278958,,,,,,,,,,,,,,,,,,,,,,,,,
15237907,home,Corinthians,Gabriel Paulista,gabriel-paulista,G. Paulista,D,3,187.0,5352,M,,124737,EUR,659577600,D,3,3,False,64.0,59.0,9.0,6.0,0.0,49.0,51.0,10.0,13.0,2.0,,,,,,90.0,75.0,8.4,5.0,0.0034358,75.397185484095,14.0,16.57646394827,0.0,,3,,0.04,0.02,0.36,,,,,3.0,,,5.0,2.0,,,1.0,,,,2.0,2.0,1.0,1.0,0.1002,0.407,0.5,,,,,,,,,,,,,,,,,,
15237907,home,Corinthians,Gustavo Henrique,gustavo-henrique,G. Henrique,D,13,195.0,5441,M,,243181,EUR,732931200,D,13,13,False,58.0,48.0,7.0,1.0,0.0,46.0,51.0,2.0,7.0,2.0,,,,,,90.0,67.0,6.7,10.0,0.00088316,88.191569676981,15.0,-29.696627564445,0.0,,0,,-0.12,-0.01,-0.11,,,,3.0,6.0,,,6.0,1.0,,,2.0,3.0,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
15237907,home,Corinthians,Matheus Bidu,matheus-bidu,M. Bidu,D,21,172.0,6254,M,,981703,EUR,925776000,D,21,21,False,52.0,46.0,1.0,1.0,0.0,29.0,32.0,17.0,20.0,12.0,,,,,,90.0,85.0,7.8,15.0,0.0243854,237.89398183512,28.0,149.76131865304,5.0,,2,,0.08,0.27,-0.16,,3.0,,5.0,10.0,1.0,2.0,1.0,2.0,2.0,2.0,7.0,1.0,22.802307994055,99.657520858568,,1.0,1.0,1.0,0.2168,0.4533,0.31,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,
15237907,home,Corinthians,André Carrillo,andre-carrillo,A. Carrillo,M,19,180.0,14534,M,18andrecarrillo,115182,EUR,676857600,M,19,19,False,39.0,37.0,1.0,1.0,0.0,30.0,30.0,7.0,9.0,3.0,,,,,,69.0,46.0,6.9,2.0,0.00626282,98.499243602059,12.0,23.237506414969,1.0,,1,,0.15,0.03,0.14,,,,3.0,3.0,,,,1.0,2.0,1.0,1.0,3.0,15.847944938992,16.295443565611,,1.0,,,0.0102,,-0.03,,,,,,,,,,,,,,,,,,
15237907,home,Corinthians,Raniele,raniele,Raniele,M,14,184.0,6186,M,R14niele,866392,EUR,851990400,M,14,14,False,23.0,20.0,,,0.0,14.0,16.0,6.0,7.0,2.0,,,,,,90.0,33.0,6.1,5.0,0.0029537,65.583981925395,9.0,27.638713229773,0.0,,1,,0.01,-0.23,-0.06,,,,9.0,3.0,,1.0,,,,,3.0,4.0,,,,1.0,,,0.2148,,-0.41,1.0,,3.0,,,1.0,,,,1.0,1.0,,,,,,,
15237907,home,Corinthians,Matheus Pereira,pereira-matheus,M. Pereira,M,23,181.0,3434,M,,795268,EUR,888364800,M,23,23,False,38.0,32.0,6.0,4.0,0.0,19.0,24.0,13.0,14.0,4.0,,,,,,69.0,48.0,6.6,8.0,0.00577804,86.445941219501,10.0,23.844927096965,0.0,,1,,0.11,0.03,-0.11,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,0.034,,-0.1,,,,,1.0,1.0,,,,,,1.0,,,,,,
15237907,home,Corinthians,Rodrigo Garro,rodrigo-garro,R. Garro,M,8,174.0,33134,M,rodrigarroo,994454,EUR,883872000,M,8,8,False,43.0,31.0,4.0,3.0,1.0,9.0,12.0,22.0,31.0,3.0,,,,,,86.0,55.0,7.2,16.0,0.168718,105.23004794411,10.0,19.831264827865,1.0,,0,,0.32,0.11,0.13,,2.0,1.0,3.0,3.0,1.0,,,,2.0,2.0,1.0,,26.135632503028,59.96293295862,,,,,,,,1.0,,1.0,,,,3.0,,,,,,True,,,,,
15237907,home,Corinthians,Yuri Alberto,yuri-alberto,Y. Alberto,F,9,183.0,45110,M,yurialberto,905463,EUR,984873600,F,9,9,False,13.0,10.0,1.0,1.0,0.0,4.0,4.0,6.0,9.0,4.0,,,,,,89.0,26.0,7.1,6.0,0.01678,91.484712456518,7.0,64.044051486031,3.0,,3,,0.19,0.64,-0.01,,,,5.0,5.0,2.0,2.0,,,,,1.0,2.0,21.505239126061,65.489933043067,2.0,,2.0,,0.1768,0.3662,-0.58,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,
