match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_aerialWon,stat_challengeLost,stat_interceptionWon,captain,stat_onTargetScoringAttempt,stat_goals,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goalAssist,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_outfielderBlock,stat_penaltyConceded
10438107,home,Benfica,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2909,M,138149,EUR,767318400,G,99,99,False,17.0,15.0,4.0,2.0,13.0,13.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,90.0,21.0,6.9,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438107,home,Benfica,Fredrik Aursnes,,,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,228364,EUR,818553600,D,8,8,False,50.0,42.0,8.0,4.0,16.0,18.0,28.0,38.0,3.0,2.0,7.0,,,,90.0,71.0,7.3,14.0,0,6.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10438107,home,Benfica,António Silva,,,antonio-silva,A. Silva,D,4,187,8155,M,1006069,EUR,1067472000,D,66,66,False,55.0,53.0,8.0,7.0,34.0,34.0,19.0,21.0,2.0,,6.0,,,,90.0,57.0,6.9,2.0,0,,,1.0,5.0,,1.0,,,3.0,,,antoniosilva.66,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10438107,home,Benfica,Nicolás Otamendi,,,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,74915,EUR,571622400,D,30,30,False,59.0,53.0,7.0,4.0,32.0,34.0,21.0,25.0,5.0,1.0,3.0,2.0,,,90.0,68.0,7.9,7.0,1,,,,2.0,,2.0,2.0,1.0,2.0,,,Notamendi30,1.0,,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,
10438107,home,Benfica,Alejandro Grimaldo,,,alejandro-grimaldo,A. Grimaldo,M,20,171,13008,M,177177,EUR,811555200,D,3,3,False,60.0,53.0,1.0,,18.0,18.0,36.0,49.0,3.0,,5.0,,,,90.0,86.0,7.0,17.0,1,7.0,1.0,1.0,4.0,,,,2.0,1.0,,1.0,grimaldo35,2.0,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,
10438107,home,Benfica,João Neves,,,joao-neves,J. Neves,M,87,174,37142,M,1190933,EUR,1096243200,M,87,87,False,79.0,70.0,7.0,4.0,32.0,33.0,38.0,47.0,12.0,1.0,9.0,5.0,,,90.0,101.0,6.9,12.0,2,1.0,,2.0,8.0,1.0,1.0,1.0,,3.0,,,joao_neves,5.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10438107,home,Benfica,Chiquinho,,,chiquinho,Chiquinho,M,22,174,1902,M,584124,EUR,806112000,M,22,22,False,44.0,43.0,8.0,7.0,19.0,20.0,26.0,27.0,1.0,,1.0,,,,64.0,57.0,7.2,8.0,0,3.0,2.0,1.0,7.0,1.0,,,4.0,4.0,,3.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
10438107,home,Benfica,David Neres,,,david-neres,D. Neres,F,7,175,15134,M,850993,EUR,857347200,M,7,7,False,39.0,30.0,1.0,,9.0,10.0,22.0,37.0,6.0,,4.0,,,,86.0,61.0,7.0,22.0,2,8.0,1.0,,5.0,,2.0,2.0,3.0,1.0,,2.0,davidneres,,1.0,,,,,7.0,4.0,,1.0,1.0,,1.0,,,,,,,,,
10438107,home,Benfica,Rafa Silva,,,rafa-silva,R. Silva,M,27,170,16782,M,252577,EUR,737596800,M,27,27,False,37.0,31.0,,,4.0,4.0,28.0,36.0,9.0,,4.0,3.0,,,90.0,59.0,7.5,12.0,3,3.0,1.0,1.0,5.0,1.0,1.0,,1.0,1.0,1.0,2.0,Rafa_Silva,,,,,,,7.0,5.0,1.0,3.0,,1.0,,,,,,,,,,
10438107,home,Benfica,João Mário,,,joao-mario,J. Mário,M,10,179,3804,M,97001,EUR,727401600,M,20,20,False,23.0,20.0,1.0,1.0,1.0,1.0,20.0,27.0,5.0,1.0,6.0,3.0,,,90.0,47.0,6.8,10.0,5,5.0,1.0,,2.0,,,,2.0,1.0,,2.0,JoaoMario,2.0,1.0,1.0,,2.0,,,,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,
