match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_dispossessed,stat_totalOffside,captain,stat_goals,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyConceded,stat_bigChanceCreated,stat_hitWoodwork
12763982,home,IF Elfsborg,Isak Pettersson,,,isak-pettersson,I. Pettersson,G,31,181,80,M,837153,EUR,865555200,G,31,31,False,30.0,10.0,21.0,1.0,0.0,9.0,11.0,1.0,19.0,2.0,12.0,2.0,5.0,1.0,90.0,41.0,7.4,20.0,8.652e-05,0,0.7282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Simon Hedlund,,,simon-hedlund,S. Hedlund,M,15,175,121,M,94627,EUR,731808000,D,15,15,False,16.0,13.0,2.0,,0.0,4.0,6.0,9.0,11.0,2.0,2.0,,,,90.0,29.0,7.0,5.0,0.0189942,0,,1.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Buhari Ibrahim,,,ibrahim-buhari,I. Buhari,D,29,190,121,M,1217910,EUR,1002499200,D,29,29,False,20.0,16.0,5.0,3.0,0.0,8.0,11.0,8.0,9.0,6.0,5.0,,,,90.0,33.0,7.2,5.0,0.0116921,0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Gustav Henriksson,,,gustav-henriksson,G. Henriksson,D,4,190,59,M,946840,EUR,886464000,D,4,4,False,20.0,19.0,3.0,2.0,0.0,18.0,19.0,1.0,1.0,12.0,1.0,,,,90.0,43.0,8.1,1.0,0.0001545,2,,,1.0,,1.0,2.0,,2.0,2.0,,,,,3.0,2.0,1.0,1.0,0.0337,0.1255,,,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Terry Yegbe,Terry Yegbe,,terry-yegbe,T. Yegbe,D,15,195,360,M,1200442,EUR,980380800,D,2,2,False,33.0,24.0,8.0,2.0,0.0,18.0,22.0,6.0,11.0,5.0,5.0,,,,90.0,47.0,7.1,11.0,0.00858565,0,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Niklas Hult,,,niklas-hult,N. Hult,M,23,173,73,M,49866,EUR,634867200,D,23,23,False,33.0,24.0,5.0,1.0,0.0,9.0,15.0,16.0,20.0,1.0,4.0,,,,90.0,48.0,6.6,12.0,0.0626902,0,,2.0,2.0,,8.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Timothy Ouma,Timothy,Ouma,ouma-timothy,T. Ouma,M,6,183,654,M,1159176,EUR,1086825600,M,16,16,False,23.0,15.0,5.0,3.0,0.0,8.0,12.0,7.0,11.0,3.0,8.0,,,,90.0,39.0,6.5,14.0,0.0248264,0,,,,,7.0,3.0,2.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,3.0,1.0,2.0,,,,,,,,,,,,
12763982,home,IF Elfsborg,Besfort Zeneli,Besfort Zeneli,,besfort-zeneli,B. Zeneli,M,23,187,439,M,1173223,EUR,1037836800,M,27,27,False,33.0,30.0,2.0,2.0,0.0,17.0,18.0,13.0,16.0,1.0,9.0,,,,90.0,50.0,7.0,10.0,0.0194559,0,,1.0,1.0,,5.0,5.0,,4.0,2.0,4.0,1.0,2.0,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Ahmed Qasem,,,ahmed-qasem,A. Qasem,M,37,183,389,M,1101887,EUR,1057968000,M,18,18,False,20.0,15.0,2.0,1.0,0.0,8.0,9.0,7.0,11.0,1.0,4.0,,,,90.0,27.0,6.5,9.0,0.00478884,0,,,1.0,,3.0,,1.0,,,4.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
12763982,home,IF Elfsborg,Arbër Zeneli,,,arber-zeneli,A. Zeneli,F,9,176,393,M,227892,EUR,793670400,F,9,9,False,12.0,11.0,,,0.0,4.0,4.0,8.0,11.0,,2.0,,,,62.0,24.0,6.7,8.0,0.0755874,1,,3.0,2.0,,4.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,0.2617,0.3505,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
