match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_goodHighClaim,stat_shotOffTarget,stat_clearanceOffLine
12504408,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,41.0,23.0,30.0,12.0,0.0,12.0,18.0,11.0,23.0,1.0,10.0,2.0,2.0,1.0,1.0,90.0,48.0,6.8,18.0,0.00313714,0,0.3305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504408,home,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3348,M,,822518,EUR,911260800,D,2,2,False,25.0,18.0,3.0,1.0,0.0,9.0,13.0,9.0,13.0,,4.0,,,,,90.0,50.0,6.9,12.0,0.00641755,2,,1.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.1266,0.2403,,,,,,,,,,,,,,,,,
12504408,home,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,,847467,EUR,873936000,D,5,5,False,35.0,29.0,3.0,,0.0,25.0,29.0,4.0,6.0,5.0,5.0,,,,,90.0,48.0,6.9,7.0,0.00135811,1,,,,3.0,,,,,1.0,2.0,,,0.0176,0.0118,1.0,1.0,1.0,,,,,,,,,,,,,,
12504408,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,False,41.0,34.0,9.0,4.0,0.0,27.0,28.0,7.0,13.0,6.0,1.0,,,,,90.0,53.0,6.8,9.0,0.00301797,0,,,1.0,4.0,,,,,,,,,,,3.0,,,True,1.0,1.0,1.0,,,,,,,,,,
12504408,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,D,21,21,False,22.0,15.0,4.0,1.0,1.0,7.0,9.0,8.0,16.0,6.0,3.0,,,,,90.0,51.0,7.7,11.0,0.056425,0,,3.0,,8.0,,,,,,4.0,3.0,,,,3.0,,,,,2.0,2.0,1.0,,,,,,,,,
12504408,home,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2103,M,,548178,EUR,867542400,M,8,8,False,32.0,26.0,6.0,2.0,1.0,20.0,22.0,7.0,11.0,3.0,1.0,,,,,90.0,44.0,7.1,8.0,0.0928336,0,,1.0,5.0,3.0,,1.0,,,,2.0,2.0,1.0,,,1.0,,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,
12504408,home,Fiorentina,Amir Richardson,Amir Richardson,,amir-richardson,A. Richardson,M,25,195,11630,M,ami2r,1121333,EUR,1011830400,M,24,24,False,28.0,23.0,1.0,,0.0,9.0,9.0,14.0,19.0,5.0,3.0,,,,,56.0,41.0,6.5,9.0,0.0118993,0,,,5.0,2.0,,1.0,,,,2.0,1.0,3.0,,,,,2.0,,,1.0,,,,1.0,,,,,,,
12504408,home,Fiorentina,Michael Folorunsho,,,michael-folorunsho,M. Folorunsho,M,90,190,1521,M,,869795,EUR,886809600,M,90,90,False,18.0,13.0,1.0,1.0,0.0,5.0,6.0,8.0,13.0,1.0,4.0,,,,,90.0,42.0,6.8,12.0,0.00522884,0,,1.0,7.0,9.0,2.0,1.0,1.0,,,2.0,2.0,4.0,,,3.0,1.0,4.0,,,2.0,4.0,,,3.0,,,,,,,
12504408,home,Fiorentina,Albert Guðmundsson,,,albert-gudmundsson,A. Guðmundsson,F,10,178,3691,M,,804909,EUR,866332800,M,10,10,False,24.0,21.0,1.0,,0.0,6.0,7.0,15.0,18.0,,2.0,,,,,90.0,40.0,7.6,9.0,0.0370287,2,,1.0,3.0,3.0,2.0,,,,2.0,,,2.0,0.2459,0.701,,,3.0,,,,3.0,2.0,,,,1.0,,,,,
12504408,home,Fiorentina,Lucas Beltrán,,,lucas-beltran,L. Beltrán,M,15,177,3780,M,beltranlucass,962029,EUR,985824000,M,9,9,False,17.0,13.0,1.0,1.0,0.0,8.0,8.0,5.0,9.0,3.0,2.0,,,,,71.0,31.0,7.0,6.0,0.00411179,0,,,5.0,8.0,1.0,2.0,2.0,,,2.0,1.0,2.0,,,2.0,1.0,1.0,,3.0,,2.0,1.0,,,,,,,,,
