match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,captain,player_sofascoreId,stat_dispossessed,stat_goals,stat_bigChanceMissed,stat_lastManTackle,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget,stat_outfielderBlock
12437781,home,Sevilla,Ørjan Nyland,,,orjan-nyland,Ø. Nyland,G,13,192,1050,M,22209,EUR,652924800,G,13,13,False,26.0,14.0,18.0,6.0,0.0,10.0,13.0,4.0,13.0,7.0,1.0,2.0,90.0,32.0,6.1,12.0,0.0005012,0,-1.0946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437781,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186,1123,M,1010655,EUR,1060905600,D,26,26,False,42.0,35.0,1.0,,0.0,19.0,26.0,16.0,17.0,6.0,,,90.0,67.0,6.6,10.0,0.0118064,0,,1.0,1.0,3.0,8.0,2.0,1.0,3.0,7.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437781,home,Sevilla,Loïc Badé,,,loic-bade,L. Badé,D,5,191,3177,M,1006489,EUR,955411200,D,22,22,False,52.0,47.0,8.0,5.0,0.0,31.0,32.0,16.0,21.0,9.0,,,90.0,66.0,6.6,7.0,0.0121913,2,,1.0,1.0,2.0,3.0,1.0,2.0,6.0,,,,2.0,1.0,1.0,1.0,1.0,0.0635,0.0201,,,,,,,,,,,,,,,,,
12437781,home,Sevilla,Kike Salas,,,kike-salas,K. Salas,D,4,186,890,M,1097719,EUR,1019433600,D,4,4,False,45.0,38.0,6.0,4.0,0.0,23.0,26.0,15.0,19.0,2.0,,,90.0,63.0,6.6,8.0,0.00980795,1,,,,2.0,5.0,1.0,1.0,7.0,2.0,2.0,,1.0,,1.0,2.0,,0.0908,,1.0,1.0,2.0,,,,,,,,,,,,,,
12437781,home,Sevilla,Adrià Pedrosa,,,adria-pedrosa,A. Pedrosa,D,3,176,847,M,928672,EUR,895017600,D,3,3,False,18.0,13.0,3.0,,0.0,8.0,11.0,6.0,10.0,1.0,,,87.0,27.0,5.9,8.0,0.0468871,0,,3.0,,2.0,,1.0,,2.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
12437781,home,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,68332,EUR,690249600,M,6,6,False,11.0,9.0,,,0.0,6.0,7.0,3.0,4.0,1.0,,,76.0,20.0,6.5,2.0,0.00396059,1,,,3.0,1.0,5.0,1.0,,4.0,1.0,,,,,1.0,,,0.0214,,,,1.0,,,,True,,,,,,,,,,
12437781,home,Sevilla,Djibril Sow,,,djibril-sow,D. Sow,M,20,184,1941,M,799054,EUR,855187200,M,20,20,False,10.0,8.0,,,0.0,4.0,5.0,4.0,5.0,1.0,,,63.0,20.0,6.2,5.0,0.00089486,0,,,1.0,5.0,2.0,,,1.0,,,,,,,,3.0,,,2.0,3.0,1.0,,,,,,,,,,,,,,
12437781,home,Sevilla,Dodi Lukebakio,,,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,823631,EUR,875059200,M,11,11,False,31.0,26.0,4.0,3.0,0.0,9.0,10.0,17.0,28.0,4.0,,,90.0,61.0,7.3,22.0,0.154876,1,,7.0,,6.0,7.0,,6.0,,3.0,2.0,2.0,4.0,1.0,,,2.0,0.1383,0.2093,,5.0,,,,2.0,,DLukebakio,2.0,,,,,,,,
12437781,home,Sevilla,Saúl Ñíguez,,,saul-niguez,S. Ñíguez,M,8,184,13421,M,116955,EUR,785376000,M,17,17,False,16.0,13.0,1.0,,1.0,9.0,11.0,5.0,6.0,5.0,,,76.0,26.0,6.4,8.0,0.676524,0,,1.0,1.0,7.0,2.0,,3.0,1.0,1.0,1.0,,,,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,Saul,1.0,,,,,,,,
12437781,home,Sevilla,Ruben Vargas,,,ruben-vargas,R. Vargas,M,11,179,2690,M,872919,EUR,902275200,M,5,5,False,9.0,3.0,3.0,,0.0,1.0,6.0,2.0,4.0,3.0,,,63.0,22.0,7.1,11.0,0.00298195,2,,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.4418,0.6985,,3.0,1.0,,,,,,,1.0,,,,,,,
