match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_outfielderBlock,stat_totalOffside,stat_challengeLost,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAShot,stat_lastManTackle,stat_blockedScoringAttempt
14035911,home,RAAL La Louvière,Marcos Hernán Peano,marcos-hernan-peano,M. H. Peano,G,21,185,124,M,789394,EUR,908409600,G,21,21,False,True,41.0,30.0,20.0,9.0,0.0,23.0,24.0,7.0,17.0,6.0,90.0,44.0,6.7,11.0,0.00755739,0,0.12,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Wagane Faye,wagane-faye,W. Faye,D,4,180,71,M,957913,EUR,753753600,D,4,4,False,,46.0,34.0,9.0,2.0,0.0,22.0,25.0,12.0,21.0,6.0,90.0,72.0,8.0,17.0,0.0317318,1,0.31,0.2,0.36,,,3.0,1.0,1.0,6.0,3.0,15.0,1.0,4.0,3.0,6.0,5.0,3.0,4.0,3.0,0.0734,-0.17,,,,,,,,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Yllan Okou,yllan-okou,Y. Okou,D,99,189,112,M,1167514,EUR,1040601600,D,99,99,False,,43.0,31.0,14.0,5.0,0.0,27.0,31.0,4.0,12.0,7.0,90.0,64.0,7.1,17.0,0.155763,0,0.27,0.12,0.4,Yllan Okou,,,,1.0,,3.0,1.0,,8.0,2.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Djibril Lamego,djibril-lamego,D. Lamego,D,25,183,48,M,1170564,EUR,1046131200,D,25,25,False,,20.0,16.0,3.0,3.0,0.0,8.0,10.0,8.0,10.0,6.0,90.0,47.0,7.1,8.0,0.00426459,0,0.12,0.1,0.21,Djibril Lamego,,,,1.0,1.0,1.0,7.0,,6.0,4.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Sami Lahssaini,sami-lahssaini,S. Lahssaini,M,15,177,233,M,957895,EUR,906076800,M,15,15,False,,34.0,28.0,5.0,3.0,0.0,17.0,17.0,11.0,17.0,11.0,85.0,43.0,7.0,8.0,0.0310653,1,0.27,0.17,-0.11,,,1.0,,,1.0,4.0,4.0,1.0,,,1.0,1.0,1.0,2.0,2.0,0.027,0.0,,,,2.0,1.0,,,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Jordi Liongola,jordi-liongola,J. Liongola,D,11,182,155,M,1009413,EUR,958521600,M,11,11,False,,16.0,10.0,1.0,1.0,0.0,3.0,3.0,7.0,13.0,,90.0,46.0,6.9,17.0,0.0195441,0,-0.03,-0.3,0.16,,,5.0,,2.0,2.0,5.0,7.0,,3.0,1.0,2.0,2.0,2.0,2.0,,,,3.0,,,,,1.0,1.0,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Owen Maes,owen-maes,O. Maes,M,98,173,28,M,1165701,EUR,906595200,M,98,98,False,,9.0,5.0,4.0,1.0,0.0,1.0,1.0,4.0,8.0,3.0,72.0,28.0,6.2,16.0,0.0426519,0,0.17,0.09,-0.13,Owen Maes,,3.0,1.0,1.0,,12.0,2.0,,,,,,4.0,1.0,3.0,,,2.0,,,3.0,1.0,4.0,1.0,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Joël Ito,joel-ito,J. Ito,M,23,166,37,M,1593830,EUR,890956800,M,23,23,False,,25.0,19.0,8.0,3.0,0.0,2.0,2.0,17.0,23.0,7.0,90.0,46.0,7.3,13.0,0.0910086,2,0.43,0.08,-0.03,Joël Ito,,1.0,1.0,,,3.0,5.0,2.0,,,3.0,2.0,5.0,2.0,1.0,0.0552,-0.11,,,,1.0,,1.0,,,,,,,,,,,,,
14035911,home,RAAL La Louvière,Thierry Lutonda,thierry-lutonda,T. Lutonda,D,5,167,113,M,867246,EUR,972604800,M,5,5,False,,8.0,4.0,,,0.0,1.0,3.0,3.0,5.0,4.0,72.0,23.0,6.4,11.0,0.0158973,1,0.06,0.09,-0.04,,,1.0,,1.0,,6.0,1.0,,1.0,,1.0,,2.0,,1.0,0.0728,-0.1,1.0,,,1.0,,2.0,,1.0,0.1433,,,,,,,,,,
14035911,home,RAAL La Louvière,Oucasse Mendy,oucasse-mendy,O. Mendy,F,29,176,63,M,1101178,EUR,991353600,F,29,29,False,,6.0,4.0,,,0.0,,,4.0,6.0,,61.0,14.0,6.3,8.0,0.0596038,0,0.06,-0.13,0.0,Oucasse Mendy,,1.0,,2.0,1.0,4.0,2.0,,,,,,4.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
