match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_blockedScoringAttempt,stat_unsuccessfulTouch,player_sofascoreId,stat_totalOffside,captain,stat_bigChanceMissed,stat_bigChanceCreated,stat_penaltyWon,stat_goals,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_clearanceOffLine
11540879,home,Beşiktaş JK,Ersin Destanoğlu,,,ersin-destanoglu,E. Destanoğlu,G,30,195,1609,M,913656,EUR,978307200,G,1,1,False,13.0,13.0,1.0,1.0,0.0,13.0,13.0,3.0,1.0,1.0,90.0,16.0,6.4,7.014e-05,0,-0.0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540879,home,Beşiktaş JK,Jonas Svensson,,,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,62.0,57.0,3.0,2.0,0.0,16.0,17.0,4.0,,,90.0,91.0,7.7,0.209781,0,,42.0,47.0,2.0,1.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,
11540879,home,Beşiktaş JK,Tayyip Talha Sanuç,,,tayyip-talha-sanuc,T. T. Sanuç,D,23,188,911,M,851909,EUR,945388800,D,5,5,False,65.0,61.0,5.0,4.0,0.0,36.0,37.0,,,,90.0,70.0,6.9,0.0321206,2,,25.0,28.0,,,2.0,3.0,2.0,,,,,1.0,,,,2.0,4.0,,1.0,1.0,1.0,1.0,0.2808,0.2394,,,,,,,,,,,,,,
11540879,home,Beşiktaş JK,Omar Colley,,,omar-colley,O. Colley,D,15,190,966,M,238408,EUR,719798400,D,6,6,False,75.0,70.0,6.0,3.0,0.0,41.0,44.0,5.0,,,90.0,82.0,6.5,0.0248489,1,,29.0,31.0,,,2.0,3.0,2.0,1.0,,,,1.0,,,,,7.0,,1.0,,,1.0,0.0617,,1.0,1.0,1.0,,,,,,,,,,,
11540879,home,Beşiktaş JK,Arthur Masuaku,,,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,61.0,53.0,8.0,5.0,0.0,20.0,24.0,10.0,,,90.0,91.0,6.6,0.0551683,0,,34.0,47.0,10.0,1.0,,7.0,7.0,3.0,6.0,4.0,,1.0,1.0,1.0,2.0,,26.0,,,,,1.0,,,2.0,,2.0,masuaku26,,,,,,,,,,
11540879,home,Beşiktaş JK,Demir Ege Tıknaz,,,demir-ege-tiknaz,D. E. Tıknaz,M,34,194,2288,M,1142613,EUR,1092700800,M,21,21,False,24.0,21.0,1.0,1.0,0.0,13.0,13.0,3.0,,,45.0,31.0,6.6,0.00653277,1,,8.0,11.0,,,1.0,4.0,2.0,1.0,1.0,,,1.0,1.0,,,,6.0,,1.0,,1.0,,0.075,,1.0,,1.0,,,,,,,,,,,
11540879,home,Beşiktaş JK,Mutassim Al-Musrati,,,mutassim-al-musrati,M. Al-Musrati,M,73,189,2806,M,868958,EUR,828748800,M,28,28,False,58.0,52.0,13.0,12.0,0.0,24.0,24.0,5.0,,,64.0,67.0,7.2,0.0749961,1,,28.0,35.0,1.0,,1.0,4.0,6.0,1.0,,,1.0,,5.0,2.0,,,8.0,1.0,1.0,,,,0.0331,,2.0,1.0,,,,,,,,,,,,
11540879,home,Beşiktaş JK,Milot Rashica,,,milot-rashica,M. Rashica,M,7,177,3712,M,800411,EUR,835920000,M,11,11,False,35.0,27.0,2.0,,0.0,10.0,11.0,2.0,,,84.0,54.0,6.3,0.140631,0,,18.0,33.0,9.0,1.0,,5.0,2.0,3.0,2.0,,,,,,2.0,,23.0,2.0,,,,,,,,,1.0,MRashica,1.0,,,,,,,,,
11540879,home,Beşiktaş JK,Alex Oxlade-Chamberlain,,,alex-oxlade-chamberlain,A. Oxlade-Chamberlain,M,21,180,3255,M,10577,EUR,745372800,M,15,15,False,21.0,17.0,1.0,1.0,0.0,7.0,7.0,1.0,,,45.0,27.0,6.7,0.00232108,2,,10.0,16.0,2.0,,,1.0,,,1.0,,,,,,,,8.0,,,1.0,1.0,,0.0726,0.1738,,,,AlexOxChambo,1.0,,,,,,,,,
11540879,home,Beşiktaş JK,Semih Kılıçsoy,,,semih-kilicsoy,S. Kilicsoy,F,9,178,11924,M,1142606,EUR,1124064000,M,90,90,False,16.0,14.0,,,1.0,3.0,3.0,1.0,,,71.0,30.0,6.0,0.0236634,0,,11.0,14.0,1.0,,,9.0,1.0,4.0,2.0,,,,,,1.0,1.0,12.0,1.0,1.0,,,,,,1.0,,2.0,semihkilicsoy9,,,,,,,,,,
