match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_totalContest,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_bigChanceMissed,stat_wasFouled,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_errorLeadToAGoal,stat_lastManTackle,stat_errorLeadToAShot,stat_goodHighClaim,stat_penaltyWon,player_sofascoreId
12499397,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,38.0,34.0,8.0,4.0,0.0,33.0,34.0,1.0,4.0,2.0,9.0,2.0,1.0,2.0,1.0,90.0,47.0,6.4,4.0,0.00026567,0,-1.3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,57.0,51.0,4.0,1.0,0.0,42.0,44.0,9.0,13.0,1.0,3.0,,,,,90.0,68.0,6.9,7.0,0.00517167,0,,True,1.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,798936,EUR,856310400,D,5,5,False,22.0,16.0,2.0,1.0,0.0,14.0,19.0,2.0,3.0,,2.0,,,,,45.0,22.0,5.7,6.0,0.0007459,0,,,1.0,,3.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,72.0,66.0,3.0,1.0,0.0,50.0,52.0,16.0,23.0,5.0,2.0,,,,,90.0,92.0,6.2,11.0,0.0669929,0,,,,2.0,4.0,3.0,,1.0,,,1.0,1.0,,2.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,M,23,23,False,48.0,41.0,4.0,3.0,0.0,24.0,30.0,17.0,19.0,,5.0,,,,,90.0,70.0,6.3,16.0,0.213618,1,,,,,4.0,3.0,,2.0,,,2.0,1.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,3.0,0.0196,,,,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,13.0,10.0,3.0,2.0,0.0,6.0,7.0,5.0,7.0,1.0,3.0,,,,,45.0,20.0,6.7,4.0,0.0863587,1,,,3.0,,3.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,0.089,1.0,,,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175,332,M,794995,EUR,884822400,M,39,39,False,26.0,24.0,5.0,4.0,0.0,15.0,15.0,10.0,12.0,,2.0,,,,,45.0,31.0,6.7,2.0,0.0860053,2,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,0.0942,1.0,1.0,0.4365,,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Mathias Honsak,mathias-honsak,M. Honsak,M,17,188,255,M,575952,EUR,851040000,M,17,17,False,46.0,39.0,3.0,1.0,0.0,25.0,26.0,15.0,26.0,1.0,4.0,,,,,78.0,62.0,6.5,14.0,0.0247988,1,,,1.0,,4.0,,,,,,,,,2.0,,,6.0,1.0,1.0,,,1.0,,0.0325,1.0,,,1.0,,,,,,,,,,,,
12499397,home,1. FC Heidenheim,Paul Wanner,paul-wanner,P. Wanner,M,10,186,3841,M,1146018,EUR,1135296000,F,10,10,False,39.0,31.0,2.0,,0.0,19.0,22.0,12.0,17.0,,6.0,,,,,90.0,59.0,6.5,13.0,0.0221263,1,,,,,4.0,7.0,1.0,1.0,,,3.0,2.0,,1.0,,,,2.0,1.0,1.0,,,3.0,0.1394,,,,1.0,1.0,3.0,,,,,,,,,,
12499397,home,1. FC Heidenheim,Adrian Beck,adrian-beck,A. Beck,M,21,186,112,M,845742,EUR,865814400,F,21,21,False,19.0,18.0,1.0,1.0,0.0,8.0,8.0,10.0,12.0,1.0,2.0,,,,,45.0,32.0,7.1,7.0,0.00928607,2,,,1.0,1.0,2.0,4.0,,1.0,,,,,,,,,1.0,2.0,,2.0,,,3.0,0.0893,,2.0,0.0914,,,1.0,,,,,,,,,,
