match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,player_sofascoreId,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalCross,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_wasFouled,stat_shotOffTarget,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_accurateCross
10411541,home,Milan,Ciprian Tătărușanu,ciprian-tatarusanu,C. Tătărușanu,G,198,630,M,44453,EUR,508291200,G,1,1,False,36.0,28.0,23.0,15.0,1.0,24.0,29.0,4.0,7.0,1.0,7.0,3.0,5.0,1.0,1.0,90.0,45.0,7.7,8.0,0.0,0.0,0.00092982,1.0,0,0.4791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411541,home,Milan,Sergiño Dest,sergino-dest,S. Dest,D,173,6149,M,906021,EUR,973209600,D,21,21,False,28.0,26.0,1.0,,,8.0,9.0,18.0,19.0,,2.0,,,,,45.0,42.0,6.8,5.0,0.0,0.0,0.0119515,1.0,0,,8,sergino,4.0,5.0,1.0,4.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10411541,home,Milan,Simon Kjær,simon-kjaer,S. Kjær,D,189,1458,M,21535,EUR,606873600,D,24,24,False,28.0,22.0,6.0,3.0,,19.0,21.0,3.0,8.0,,3.0,,,,,60.0,31.0,6.8,7.0,0.0,0.0,0.00174634,,0,,24,,,2.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
10411541,home,Milan,Fikayo Tomori,fikayo-tomori,F. Tomori,D,185,7146,M,788255,EUR,882489600,D,23,23,False,48.0,46.0,11.0,10.0,,36.0,37.0,10.0,11.0,,6.0,,,,,90.0,63.0,7.4,4.0,0.0,0.0,0.0412503,,0,,23,fikayotomori,2.0,7.0,,1.0,,3.0,2.0,1.0,,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
10411541,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,184,26616,M,788027,EUR,876096000,D,19,19,False,49.0,38.0,7.0,3.0,1.0,20.0,24.0,18.0,29.0,,6.0,,,,,90.0,73.0,7.1,18.0,0.0,0.0,0.050685,1.0,0,,19,TheoHdez,2.0,4.0,,,,1.0,1.0,1.0,4.0,1.0,,,1.0,1.0,True,1.0,2.0,,,,,,,,,,
10411541,home,Milan,Ismaël Bennacer,ismael-bennacer,I. Bennacer,M,175,31837,M,823733,EUR,880934400,M,4,4,False,59.0,56.0,5.0,5.0,,31.0,32.0,25.0,27.0,,12.0,,,,,90.0,64.0,7.0,4.0,0.0,0.0,0.126415,,0,,4,IsmaëlBennacer,4.0,2.0,1.0,,,1.0,1.0,2.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,
10411541,home,Milan,Tommaso Pobega,tommaso-pobega,T. Pobega,M,188,1344,M,928796,EUR,931996800,M,32,32,False,44.0,34.0,7.0,6.0,,23.0,25.0,11.0,19.0,,11.0,,,,,90.0,57.0,7.2,13.0,0.0379,0.0,0.00741582,1.0,1,,4,,5.0,3.0,1.0,,,3.0,2.0,4.0,,,1.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,
10411541,home,Milan,Junior Messias,junior-messias,J. Messias,F,179,1230,M,888219,EUR,674092800,M,30,30,False,32.0,26.0,5.0,4.0,1.0,13.0,14.0,13.0,18.0,1.0,3.0,,,,,90.0,48.0,7.2,9.0,0.0601,0.0,0.0275748,2.0,1,,10,,5.0,4.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,2.0,,3.0,2.0,1.0,1.0,,,,,,,,
10411541,home,Milan,Brahim Díaz,brahim-diaz,B. Díaz,M,170,258553,M,835485,EUR,933638400,M,10,10,False,22.0,18.0,3.0,1.0,,7.0,8.0,11.0,16.0,1.0,1.0,,,,,53.0,33.0,8.3,10.0,0.3759,1.3459,0.042637,1.0,2,,21,Brahim,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,1.0,2.0,2.0,,,,,,
10411541,home,Milan,Ante Rebić,ante-rebic,A. Rebić,F,185,4196,M,152769,EUR,748569600,M,12,12,False,21.0,11.0,3.0,1.0,,5.0,5.0,6.0,17.0,,2.0,,,,,60.0,34.0,6.4,14.0,0.1516,0.1701,0.180177,,1,,9,_anterebic,5.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,2.0,,,1.0,,1.0,,,,,
