match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_unsuccessfulTouch,stat_accurateCross,stat_challengeLost,captain,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_goalAssist,stat_bigChanceCreated,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_totalOffside,stat_bigChanceMissed
10826065,home,Torquay United,Mark Halstead,Mark,Halstead,mark-halstead,M. Halstead,G,191.0,10,M,47151,EUR,653529600,G,1,1,False,34.0,10.0,33.0,9.0,4.0,5.0,6.0,29.0,1.0,10.0,1.0,1.0,1.0,3.0,1.0,1.0,90.0,39.0,6.4,24.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10826065,home,Torquay United,Shaun Donnellan,,,shaun-donnellan,S. Donnellan,D,183.0,11,M,817558,EUR,845424000,D,16,16,False,20.0,15.0,7.0,5.0,5.0,5.0,10.0,19.0,5.0,4.0,3.0,1.0,,,,,90.0,54.0,7.0,19.0,2,25,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10826065,home,Torquay United,Lucas Ness,,,lucas-ness,L. Ness,D,191.0,31,M,1063041,EUR,1013040000,D,26,26,False,23.0,11.0,7.0,2.0,8.0,13.0,3.0,10.0,5.0,2.0,1.0,1.0,,,,,90.0,33.0,6.8,12.0,0,12,,,,,,,,,3.0,4.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,
10826065,home,Torquay United,Mark Ellis,,,mark-ellis,M. Ellis,D,188.0,12,M,47899,EUR,591580800,D,35,35,False,41.0,24.0,17.0,7.0,15.0,18.0,9.0,23.0,10.0,7.0,1.0,,,,,,90.0,53.0,6.7,19.0,0,3,,,2.0,,1.0,1.0,,,4.0,,2.0,,4.0,,4.0,2.0,,,,,,,,,,,,,
10826065,home,Torquay United,Dean Moxey,,,dean-moxey,D. Moxey,D,180.0,12,M,38820,EUR,506044800,D,21,21,False,6.0,1.0,2.0,,1.0,2.0,,4.0,,2.0,,,,,,,34.0,17.0,6.2,10.0,0,21,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
10826065,home,Torquay United,Dillon De Silva,Dillon De Silva,,dillon-de-silva,D. D. Silva,M,176.0,76,M,1092671,EUR,1019001600,M,27,27,False,16.0,10.0,2.0,,3.0,5.0,8.0,15.0,5.0,5.0,1.0,1.0,,,,,90.0,32.0,6.5,14.0,2,34,4.0,,3.0,2.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,
10826065,home,Torquay United,Tom Lapslie,Tom,Lapslie,tom-lapslie,T. Lapslie,M,168.0,4,M,611786,EUR,799632000,M,4,4,False,25.0,13.0,1.0,,5.0,11.0,8.0,15.0,2.0,3.0,1.0,1.0,,,,,90.0,30.0,6.4,13.0,1,,1.0,3.0,4.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
10826065,home,Torquay United,Asa Hall,,,asa-hall,A. Hall,M,188.0,13,M,32843,EUR,533606400,M,8,8,False,21.0,12.0,2.0,,3.0,3.0,9.0,18.0,4.0,5.0,1.0,1.0,,,,,90.0,35.0,7.1,13.0,3,8,,2.0,5.0,3.0,,,2.0,,,2.0,,1.0,3.0,,,1.0,,,True,1.0,1.0,,,,,,,,
10826065,home,Torquay United,Stephen Wearne,,,stephen-wearne,S. Wearne,M,181.0,34,M,990223,EUR,976924800,M,12,12,False,33.0,18.0,7.0,2.0,1.0,1.0,19.0,43.0,2.0,5.0,,,,,,,90.0,54.0,6.9,27.0,2,16,11.0,2.0,3.0,,,,2.0,,,1.0,,2.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,
10826065,home,Torquay United,Will Goodwin,,,will-goodwin,W. Goodwin,F,185.0,38,M,1102331,EUR,1021075200,F,19,19,False,16.0,10.0,,,3.0,3.0,7.0,14.0,4.0,1.0,1.0,1.0,,,,,90.0,30.0,7.5,12.0,1,19,1.0,5.0,6.0,1.0,,,,,1.0,,1.0,1.0,,,3.0,3.0,,,,1.0,1.0,1.0,,,,,,,
