match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_wonContest,stat_shotOffTarget,stat_keyPass,stat_lastManTackle,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,stat_accurateCross,stat_totalOffside
10388285,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,31.0,19.0,17.0,5.0,17.0,19.0,2.0,12.0,2.0,8.0,2.0,2.0,3.0,1.0,90.0,43.0,7.5,12.0,0.0,0.0,0.00024924,0,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388285,home,Borussia Dortmund,Thomas Meunier,thomas-meunier,T. Meunier,D,12,190,2762,M,,128587,EUR,684633600,D,24,24,False,35.0,21.0,2.0,,7.0,9.0,14.0,27.0,5.0,6.0,,,,,90.0,65.0,6.9,22.0,0.0,0.0,0.0236492,0,,1.0,1.0,3.0,6.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10388285,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,42.0,31.0,12.0,5.0,21.0,23.0,10.0,19.0,4.0,6.0,,,,,90.0,56.0,7.2,12.0,0.0,0.0,0.0162426,0,,,,2.0,,2.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
10388285,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,51.0,43.0,6.0,5.0,31.0,39.0,12.0,13.0,5.0,6.0,,,,,90.0,62.0,7.2,9.0,0.0,0.0,0.012786,0,,1.0,,5.0,5.0,8.0,3.0,,,3.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,
10388285,home,Borussia Dortmund,Raphaël Guerreiro,raphael-guerreiro,R. Guerreiro,D,22,170,7880,M,raphaelguerreiro14,246999,EUR,756518400,D,13,13,False,42.0,31.0,4.0,,11.0,16.0,20.0,27.0,2.0,8.0,,,,,84.0,63.0,7.1,15.0,0.0232,0.0,0.0388691,1,,1.0,,,4.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,2.0,,,,,,,,,,
10388285,home,Borussia Dortmund,Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,177,1901,M,,341589,EUR,820454400,M,8,8,False,44.0,33.0,7.0,3.0,16.0,21.0,17.0,23.0,,10.0,,,,,90.0,64.0,7.4,15.0,0.0181,0.0,0.076785,1,,,1.0,,3.0,6.0,,,2.0,5.0,3.0,2.0,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,,
10388285,home,Borussia Dortmund,Marco Reus,marco-reus,M. Reus,M,18,180,21759,M,Reus11,37092,EUR,612576000,M,11,11,False,21.0,15.0,1.0,,2.0,3.0,13.0,19.0,1.0,2.0,,,,,90.0,31.0,7.2,8.0,0.7125,0.9913,0.0205873,4,,1.0,2.0,1.0,7.0,2.0,1.0,,,,,1.0,1.0,4.0,,2.0,,,,2.0,,,True,1.0,1.0,1.0,,,,,
10388285,home,Borussia Dortmund,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020811,M,JudeBell,991011,EUR,1056844800,M,22,22,False,51.0,43.0,5.0,2.0,22.0,24.0,21.0,27.0,,14.0,,,,,90.0,82.0,7.1,20.0,0.1295,0.0695,0.0544641,3,,,,1.0,9.0,10.0,1.0,4.0,8.0,2.0,1.0,3.0,3.0,,,3.0,,,4.0,2.0,2.0,,,1.0,,,,,,,
10388285,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,F,27,27,False,3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,23.0,10.0,6.1,4.0,0.2848,0.1684,0.00700719,1,,,,,3.0,,,,2.0,,,2.0,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,
10388285,home,Borussia Dortmund,Youssoufa Moukoko,youssoufa-moukoko,Y. Moukoko,F,9,179,11950,M,youssoufa_10,997006,EUR,1100908800,F,18,18,False,12.0,5.0,,,2.0,5.0,3.0,7.0,,3.0,,,,,68.0,24.0,6.8,11.0,0.0,0.0,0.28237,0,,,,,4.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,
10388285,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,F,21,21,False,17.0,14.0,,,3.0,3.0,13.0,19.0,1.0,2.0,,,,,84.0,38.0,7.3,10.0,0.0416,0.0,0.480333,1,,5.0,,,5.0,4.0,2.0,,4.0,2.0,1.0,2.0,,1.0,,1.0,,,2.0,1.0,3.0,,,,,,,,1.0,2.0,
10388285,home,Borussia Dortmund,Thorgan Hazard,thorgan-hazard,T. Hazard,F,11,174,3646,M,THazard,94286,EUR,733363200,M,10,10,True,31.0,25.0,1.0,1.0,7.0,7.0,18.0,26.0,1.0,7.0,,,,,67.0,52.0,6.9,12.0,0.5268,0.6761,0.0414109,2,,2.0,2.0,1.0,7.0,7.0,2.0,,1.0,5.0,3.0,3.0,1.0,2.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,
