match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_dispossessed,stat_fouls,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,stat_wonContest,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_errorLeadToAShot,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId
14771932,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200.0,G,1,1,False,29.0,21.0,11.0,3.0,0.0,20.0,20.0,1.0,9.0,7.0,1.0,3.0,4.0,90.0,39.0,7.3,9.0,0.00046402,21.98465852996,4.0,9.66,5.565,0.2512,0,0.3534,0.07,0.01,0.24,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771932,home,Al-Taawoun,Mohammed Mahzari,mohammed-mahzari,M. Mahzari,D,5,178.0,49,M,1092809,EUR,1021766400.0,D,5,5,False,68.0,60.0,4.0,2.0,0.0,24.0,30.0,36.0,38.0,11.0,,,,90.0,95.0,7.0,15.0,0.0440838,259.15396884875,24.0,133.455,40.11,,1,,0.16,0.21,-0.03,,Mohammed Mahzari,,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0329,0.1025,74.119004473342,3.0,1.0,-0.29,,,,,,,,,,,,,,,,,,
14771932,home,Al-Taawoun,Mohammed Al Dossari,mohammed-al-dossari,M. A. Dossari,D,55,184.0,35,M,1549231,EUR,986083200.0,D,55,55,False,65.0,57.0,6.0,2.0,0.0,36.0,40.0,21.0,25.0,5.0,,,,90.0,73.0,6.7,10.0,0.0112351,208.152569215,20.0,143.955,29.505,,0,,0.19,0.16,-0.08,,Mohammed Al Dossari,,,,5.0,1.0,1.0,,,2.0,,2.0,1.0,,,,,55.538518149193,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
14771932,home,Al-Taawoun,Muteb Al-Mufarrij,muteb-almufarrij,M. Al-Mufarrij,D,32,181.0,105,M,847379,EUR,840412800.0,D,32,32,False,62.0,59.0,10.0,8.0,0.0,30.0,30.0,29.0,32.0,1.0,,,,90.0,72.0,7.3,7.0,0.0164513,88.120804569095,14.0,32.13,12.705,,1,,0.33,0.06,0.17,,,,,,5.0,3.0,1.0,,,3.0,1.0,,,,3.0,0.1453,,,,,-0.33,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
14771932,home,Al-Taawoun,Bassam Al-Hurayji,bassam-al-hurayji,B. Al-Hurayji,D,66,175.0,126,M,1085357,EUR,954288000.0,D,66,66,False,45.0,37.0,4.0,3.0,0.0,16.0,19.0,21.0,26.0,5.0,,,,70.0,60.0,6.9,13.0,0.0165325,194.35721873448,17.0,112.665,44.94,,0,,0.1,0.05,-0.05,,Mohammed Bassam Alhurayji,,,,6.0,5.0,1.0,4.0,,1.0,,,,,1.0,,,76.561244751499,2.0,,,2.0,1.0,,3.0,,,,2.0,,,,,,,,,,
14771932,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400.0,M,8,8,False,52.0,46.0,1.0,1.0,0.0,18.0,19.0,28.0,33.0,4.0,,,,90.0,67.0,6.6,10.0,0.0175187,114.10696080478,13.0,60.69,31.71,,1,,0.05,0.15,-0.07,,,,,,9.0,6.0,2.0,3.0,,1.0,,,4.0,2.0,2.0,0.3752,,34.584310257688,1.0,1.0,-0.52,2.0,1.0,4.0,,1.0,1.0,,2.0,,,,,,,,,,
14771932,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000.0,M,18,18,False,83.0,75.0,14.0,12.0,0.0,24.0,25.0,51.0,58.0,9.0,,,,90.0,96.0,8.3,8.0,0.146315,119.59064223452,19.0,23.835,8.925,,1,,0.51,0.1,0.17,,,,1.0,1.0,,7.0,,1.0,,,,2.0,2.0,1.0,,0.0185,,,,4.0,-0.11,,,,4.0,,1.0,,1.0,True,,,,,,,,,
14771932,home,Al-Taawoun,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183.0,506,M,787540,EUR,840499200.0,M,11,11,False,42.0,35.0,3.0,3.0,0.0,7.0,9.0,28.0,33.0,4.0,,,,79.0,61.0,8.4,12.0,0.235991,133.54715259584,18.0,39.585,29.505,,4,,0.46,0.07,-0.11,,,,3.0,2.0,3.0,6.0,,1.0,2.0,1.0,,1.0,3.0,1.0,1.0,0.4248,1.1271,45.861789599699,2.0,2.0,0.48,1.0,1.0,,1.0,,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,
14771932,home,Al-Taawoun,Mohammed Al-Kuwaykibi,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400.0,F,7,7,False,47.0,38.0,4.0,1.0,1.0,6.0,8.0,32.0,39.0,2.0,,,,85.0,67.0,6.9,19.0,0.699089,123.6121449557,17.0,47.88,17.22,,1,,0.53,0.0,-0.03,,,,7.0,3.0,4.0,,,2.0,,,,,,,3.0,0.1771,,,,3.0,-0.36,1.0,1.0,,,1.0,1.0,,,,3.0,,,,,,,,
14771932,home,Al-Taawoun,Roger Martínez,roger-martinez,R. Martínez,F,10,180.0,2161,M,344243,EUR,772329600.0,F,10,10,False,22.0,19.0,,,0.0,4.0,4.0,15.0,18.0,,,,,79.0,36.0,7.1,7.0,0.0526809,111.56698414389,13.0,53.655,16.905,,7,,-0.19,0.52,-0.01,,,,,,3.0,3.0,,2.0,1.0,,,,,,1.0,1.5078,0.7732,32.930385609389,2.0,1.0,0.21,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,4.0,1.0,1.0,,,,,
