match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_totalClearance,stat_keyPass,player_sofascoreId,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_goalAssist,stat_onTargetScoringAttempt,stat_totalOffside,stat_challengeLost,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_penaltyWon
10629310,home,Arsenal,Karl Hein,karl-hein,K. Hein,G,13,193,4095,M,991591,EUR,1018656000,G,31,31,False,32.0,22.0,18.0,8.0,18.0,21.0,4.0,11.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,41.0,5.6,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10629310,home,Arsenal,Cédric Soares,cedric-soares,C. Soares,M,6,172,2813,M,44760,EUR,683596800,D,17,17,False,55.0,44.0,6.0,2.0,24.0,28.0,26.0,39.0,2.0,6.0,,,,,,,,90.0,83.0,6.8,18.0,0,,,12.0,6.0,1.0,3.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
10629310,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43611,M,941168,EUR,985392000,D,12,12,False,46.0,42.0,8.0,7.0,26.0,27.0,16.0,19.0,,4.0,,,,,,,,63.0,55.0,7.1,5.0,0,,,,,,,4.0,2.0,,,WSaliba4,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10629310,home,Arsenal,Rob Holding,rob-holding,R. Holding,D,6,189,1059,M,793228,EUR,811555200,D,16,16,False,76.0,66.0,11.0,7.0,43.0,45.0,23.0,31.0,5.0,7.0,,1.0,,,,,,90.0,87.0,6.5,13.0,1,,,,,3.0,5.0,7.0,,2.0,,,,,1.0,2.0,1.0,,True,2.0,1.0,,,,,,,,,,,,,
10629310,home,Arsenal,Kieran Tierney,kieran-tierney,K. Tierney,D,63,178,4714,M,366592,EUR,865468800,D,3,3,False,29.0,23.0,4.0,3.0,12.0,13.0,12.0,19.0,3.0,5.0,,,,,,,,72.0,45.0,6.7,9.0,1,,,3.0,1.0,2.0,,4.0,1.0,,1.0,kierantierney1,1.0,1.0,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,
10629310,home,Arsenal,Mohamed Elneny,mohamed-elneny,M. Elneny,M,17,180,16721,M,159675,EUR,710812800,M,25,25,False,67.0,62.0,2.0,1.0,29.0,32.0,33.0,35.0,3.0,4.0,,2.0,,,,,,90.0,74.0,6.2,7.0,1,,,,,,1.0,1.0,,,1.0,elnennym,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
10629310,home,Arsenal,Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3622,M,901892,EUR,940550400,M,23,23,False,34.0,27.0,3.0,2.0,9.0,10.0,18.0,25.0,3.0,4.0,,1.0,,,,,,80.0,48.0,6.6,12.0,4,,,1.0,,,1.0,2.0,2.0,,2.0,,1.0,1.0,,,,2.0,,1.0,3.0,1.0,,,,,,,,,,,,
10629310,home,Arsenal,Marquinhos,marquinhos,Marquinhos,M,7,175,4094,M,1116954,EUR,1049673600,M,27,27,False,27.0,21.0,2.0,2.0,9.0,11.0,14.0,18.0,6.0,3.0,,2.0,,,,,,62.0,48.0,7.0,11.0,3,Marquinhos,,2.0,2.0,2.0,5.0,9.0,2.0,,1.0,_marquinhos011,1.0,,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,
10629310,home,Arsenal,Fábio Vieira,fabio-vieira,F. Vieira,M,20,170,6648,M,904835,EUR,959644800,M,21,21,False,30.0,27.0,3.0,2.0,7.0,7.0,20.0,26.0,3.0,,,1.0,,,,,,72.0,43.0,6.4,9.0,1,,,3.0,,,,4.0,1.0,,1.0,fabiodfvieira,,,,,,1.0,,1.0,1.0,,4.0,,,,,,,,,,,
10629310,home,Arsenal,Reiss Nelson,reiss-nelson,R. Nelson,M,11,175,4846,M,826139,EUR,944784000,M,24,24,False,27.0,24.0,1.0,,6.0,6.0,18.0,22.0,2.0,3.0,,,,,,,,90.0,47.0,7.6,7.0,4,,,1.0,,,,5.0,2.0,,3.0,reissnelson,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,
