match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_errorLeadToAShot,stat_bigChanceMissed
12504642,home,Monza,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,30,30,False,39.0,27.0,20.0,8.0,0.0,20.0,25.0,7.0,14.0,2.0,2.0,3.0,7.0,1.0,4.0,7.0,1.0,90.0,55.0,8.4,12.0,0.00089863,0,0.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504642,home,Monza,Danilo D'Ambrosio,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,107936,EUR,589766400,D,33,33,False,45.0,42.0,3.0,2.0,0.0,30.0,33.0,12.0,12.0,1.0,1.0,3.0,3.0,,,,,83.0,57.0,6.6,4.0,0.104071,1,,,,1.0,4.0,1.0,1.0,1.0,2.0,0.1517,1.0,,,,,,,,,,,,,,,,,,,
12504642,home,Monza,Pablo Marí,pablo-mari,P. Marí,D,30,191,1707,M,208988,EUR,746755200,D,22,22,False,60.0,54.0,7.0,3.0,0.0,41.0,43.0,13.0,17.0,2.0,6.0,3.0,7.0,1.0,,,,90.0,71.0,6.9,6.0,0.00583533,0,,,,1.0,2.0,,,1.0,1.0,,,True,1.0,3.0,2.0,,,,,,,,,,,,,,,
12504642,home,Monza,Andrea Carboni,andrea-carboni,A. Carboni,D,44,185,201,M,970978,EUR,981244800,D,44,44,False,34.0,31.0,3.0,2.0,1.0,16.0,18.0,16.0,17.0,,1.0,6.0,4.0,,,,,90.0,46.0,7.2,5.0,0.0601754,0,,,,,2.0,,,,1.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
12504642,home,Monza,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,287,M,807291,EUR,885427200,M,13,13,False,19.0,16.0,1.0,,0.0,7.0,8.0,9.0,13.0,1.0,2.0,3.0,3.0,,,,,71.0,30.0,6.5,5.0,0.0101676,0,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12504642,home,Monza,Warren Bondo,warren-bondo,W. Bondo,M,38,177,2004,M,1000366,EUR,1063584000,M,38,38,False,43.0,39.0,,,0.0,19.0,21.0,20.0,22.0,,7.0,1.0,8.0,1.0,,,,90.0,59.0,7.1,6.0,0.0168239,2,,,,,1.0,1.0,2.0,,,0.0529,1.0,,,3.0,1.0,,,,,1.0,3.0,3.0,,,,,,,,
12504642,home,Monza,Alessandro Bianco,bianco-alessandro,A. Bianco,M,22,173,528,M,1101992,EUR,1033430400,M,42,42,False,46.0,39.0,5.0,3.0,0.0,19.0,21.0,20.0,26.0,2.0,11.0,2.0,7.0,5.0,,,,90.0,62.0,7.3,10.0,0.0501991,2,,,,,4.0,,1.0,,1.0,0.1253,1.0,,,3.0,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,0.0444,,,,,,
12504642,home,Monza,Georgios Kyriakopoulos,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,377302,EUR,823478400,M,77,77,False,23.0,18.0,2.0,,0.0,4.0,6.0,14.0,22.0,1.0,7.0,2.0,,1.0,,,,90.0,42.0,7.2,11.0,0.0197285,1,,,,,1.0,,,1.0,,0.0167,,,,2.0,2.0,5.0,,1.0,,1.0,3.0,3.0,,,1.0,,,,,
12504642,home,Monza,Samuele Birindelli,samuele-birindelli,S. Birindelli,M,19,175,231,M,856729,EUR,932342400,F,19,19,False,31.0,22.0,4.0,1.0,0.0,6.0,10.0,16.0,25.0,,4.0,1.0,5.0,1.0,,,,85.0,47.0,8.0,15.0,0.100287,2,,,,,2.0,1.0,,,1.0,0.2665,3.0,,2.0,2.0,2.0,4.0,,,,1.0,1.0,1.0,2.0,0.7518,,1.0,,,,
12504642,home,Monza,Gianluca Caprari,gianluca-caprari,G. Caprari,F,24,170,457,M,148458,EUR,743990400,F,10,10,False,43.0,39.0,4.0,3.0,0.0,13.0,14.0,26.0,31.0,,4.0,,4.0,1.0,,,,86.0,58.0,7.7,8.0,0.0899232,4,,,,1.0,1.0,,1.0,,,0.2049,1.0,,1.0,1.0,1.0,2.0,,,,2.0,2.0,2.0,2.0,0.2565,1.0,,,,,
