match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_shotOffTarget,stat_goals,stat_penaltyWon,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_goalAssist,stat_totalOffside
11451066,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186,12815,M,Livakovic40,190419,EUR,789609600,G,40,40,False,24.0,20.0,8.0,4.0,18.0,19.0,2.0,5.0,5.0,1.0,1.0,1.0,90.0,28.0,6.1,4.0,0.00039891,0,-0.8653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451066,home,Fenerbahçe,Bright Osayi-Samuel,bright-osayi-samuel,B. Osayi-Samuel,D,26,175,5509,M,,791616,EUR,883526400,D,21,21,False,37.0,36.0,,,18.0,19.0,19.0,19.0,4.0,,,,90.0,63.0,6.4,9.0,0.154275,0,,1.0,1.0,5.0,8.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11451066,home,Fenerbahçe,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190,969,M,,863600,EUR,763516800,D,3,3,False,62.0,53.0,6.0,4.0,38.0,46.0,15.0,16.0,4.0,,,,73.0,69.0,6.1,11.0,0.00757067,0,,,,4.0,5.0,1.0,,3.0,,1.0,,1.0,,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
11451066,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189,3123,M,,1048324,EUR,988243200,D,24,24,False,58.0,44.0,10.0,3.0,30.0,34.0,14.0,24.0,6.0,,,,90.0,73.0,6.4,17.0,0.00623784,1,,,,8.0,8.0,1.0,,2.0,,5.0,3.0,1.0,2.0,2.0,,3.0,1.0,Jayden Oosterwolde,,1.0,1.0,1.0,1.0,0.1069,,,,,,,,,,,,,,,
11451066,home,Fenerbahçe,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,ferdikadioglu,825844,EUR,939254400,D,7,7,False,70.0,65.0,3.0,2.0,18.0,20.0,50.0,56.0,8.0,,,,90.0,97.0,8.0,12.0,0.498223,2,,6.0,3.0,3.0,10.0,3.0,2.0,,,1.0,1.0,,5.0,,3.0,1.0,2.0,,,,1.0,,,0.0609,1.0,2.0,0.3558,,,,,,,,,,,,
11451066,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183,3147,M,,952600,EUR,917308800,M,5,5,False,53.0,46.0,2.0,2.0,21.0,25.0,25.0,28.0,4.0,,,,78.0,71.0,6.2,11.0,0.195414,1,,,,13.0,8.0,1.0,1.0,,,3.0,1.0,2.0,4.0,5.0,1.0,5.0,,,,2.0,1.0,1.0,,0.0301,,,,1.0,,,,,,,,,,,
11451066,home,Fenerbahçe,Miha Zajc,miha-zajc,M. Zajc,M,8,180,1173,M,,139256,EUR,773020800,M,26,26,False,54.0,46.0,2.0,,18.0,19.0,28.0,37.0,5.0,,,,74.0,66.0,6.6,13.0,0.0308526,2,,2.0,,2.0,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,1.0,,0.0662,,,,,1.0,,,,,,,,,,
11451066,home,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,irfankahveci,226986,EUR,805766400,M,17,17,False,29.0,23.0,2.0,2.0,6.0,6.0,17.0,24.0,4.0,,,,89.0,54.0,6.7,15.0,0.159873,4,,1.0,,8.0,5.0,6.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,0.235,,,,1.0,3.0,,,,,,,,,,
11451066,home,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10874,M,szymanski_11,847983,EUR,926294400,M,53,53,False,20.0,16.0,2.0,,3.0,3.0,17.0,28.0,,,,,90.0,48.0,7.3,16.0,0.251049,0,,11.0,4.0,5.0,7.0,2.0,,,,5.0,4.0,3.0,2.0,3.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
11451066,home,Fenerbahçe,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12216,M,dusantadic,38560,EUR,595987200,M,10,10,False,40.0,32.0,2.0,1.0,3.0,4.0,30.0,40.0,3.0,,,,90.0,59.0,8.4,17.0,0.10718,2,,4.0,1.0,6.0,3.0,2.0,1.0,,,,,2.0,1.0,,1.0,2.0,1.0,,,1.0,2.0,,,1.5768,,2.0,1.9847,,,2.0,1.0,,,,,,,,
