match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_interceptionWon,stat_outfielderBlock,stat_lastManTackle,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_goals,stat_penaltyFaced,stat_penaltyConceded,stat_goalAssist
11409072,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,39.0,24.0,20.0,5.0,20.0,21.0,4.0,18.0,2.0,9.0,2.0,5.0,1.0,1.0,1.0,90.0,51.0,7.2,15.0,0.00074023,53.817500063426,7.0,12.495,6.405,0,0.4128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409072,home,Famalicão,Nathan,,,nathan,Nathan,D,22,183,482,M,1016912,EUR,999648000,D,22,22,False,33.0,28.0,3.0,2.0,19.0,23.0,11.0,17.0,3.0,4.0,,,,,,90.0,70.0,7.3,15.0,0.202474,194.36830253324,19.0,80.01,47.145,1,,7.0,2.0,3.0,1.0,6.0,13.0,1.0,1.0,4.0,4.0,1.0,7.0,4.0,3.0,1.0,1.0,0.019,95.833323882126,4.0,3.0,,,,,,,,,,,,,,
11409072,home,Famalicão,Enea Mihaj,,,enea-mihaj,E. Mihaj,D,4,186,414,M,850828,EUR,899596800,D,4,4,False,46.0,39.0,12.0,5.0,27.0,29.0,12.0,17.0,6.0,4.0,,,,,,90.0,61.0,6.7,8.0,0.00825242,124.18079108243,15.0,11.025,14.175,0,,,,1.0,,2.0,2.0,,,,,,2.0,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,
11409072,home,Famalicão,Otávio,,,otavio,Otávio,D,6,188,1431,M,1069159,EUR,1019347200,D,13,13,False,40.0,31.0,12.0,4.0,28.0,30.0,3.0,10.0,9.0,4.0,,,,,,90.0,63.0,7.2,10.0,0.00222813,166.78390395061,12.0,106.47,22.47,0,,,,2.0,3.0,3.0,10.0,,,1.0,1.0,,5.0,4.0,,1.0,1.0,,23.08751428803,1.0,,1.0,1.0,1.0,,,,,,,,,,,
11409072,home,Famalicão,Francisco Moura,,,francisco-moura,F. Moura,D,74,181,1191,M,985138,EUR,934761600,D,74,74,False,37.0,30.0,6.0,2.0,17.0,21.0,17.0,24.0,2.0,7.0,,,,,,90.0,65.0,7.5,15.0,0.229882,259.56610552818,24.0,160.335,28.14,1,,8.0,4.0,3.0,,4.0,4.0,,1.0,3.0,3.0,,,,1.0,1.0,,0.0483,87.053039695783,3.0,4.0,1.0,,,1.0,1.0,1.0,0.2507,,,,,,,
11409072,home,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,35.0,31.0,12.0,10.0,21.0,21.0,11.0,15.0,1.0,5.0,,,,,,90.0,46.0,7.3,5.0,0.140074,131.32014324826,13.0,-15.015,9.555,1,,1.0,1.0,2.0,,3.0,4.0,,1.0,2.0,2.0,,2.0,,,,,0.0255,,,1.0,,,,1.0,1.0,,0.3616,,,,,,,
11409072,home,Famalicão,Mirko Topić,,,mirko-topic,M. Topić,M,22,190,486,M,980797,EUR,981331200,M,8,8,False,35.0,30.0,5.0,4.0,20.0,23.0,11.0,13.0,2.0,6.0,,,,,,90.0,47.0,6.8,7.0,0.0100077,237.20551311442,21.0,87.675,50.295,0,,1.0,1.0,1.0,,3.0,3.0,,,2.0,,,3.0,3.0,,,,,51.844415562334,1.0,1.0,1.0,,,,,,,,,,,,,
11409072,home,Famalicão,Théo Fonseca,Théo Fonseca,,theo-fonseca,T. Fonseca,F,95,178,41,M,1161023,EUR,960681600,M,95,95,False,13.0,8.0,,,4.0,6.0,4.0,10.0,1.0,5.0,,,,,,69.0,29.0,6.5,11.0,0.01736,37.14139005616,7.0,12.915,4.935,2,,3.0,,,,2.0,1.0,,2.0,,,,,,1.0,1.0,,0.4496,,,,1.0,,,,,,,1.0,2.0,,,,,
11409072,home,Famalicão,Gustavo Sá,,,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,23.0,21.0,7.0,5.0,5.0,5.0,16.0,18.0,2.0,4.0,,,,,,69.0,37.0,6.9,5.0,0.0369507,168.4131697716,18.0,78.855,20.895,0,,,,,1.0,5.0,6.0,,1.0,3.0,1.0,,,,,4.0,2.0,,39.320828082989,2.0,,1.0,,,,,,,,,,,,,
11409072,home,Famalicão,Chiquinho,,,chiquinho,Chiquinho,M,10,179,454,M,1015826,EUR,949708800,M,10,10,False,6.0,4.0,,,1.0,1.0,3.0,9.0,2.0,2.0,,,,,,68.0,31.0,6.4,14.0,0.00043774,22.141844732567,2.0,17.955,14.28,2,,4.0,,,,5.0,2.0,,2.0,4.0,2.0,,,,4.0,,1.0,0.2147,15.965525359348,1.0,,,1.0,,,1.0,,0.3661,1.0,1.0,,,,,
