match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_challengeLost,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_accurateCross,stat_lastManTackle
11067626,home,Cruzeiro,Rafael Cabral,rafael-cabral,Rafael Cabral,G,1,186,340,M,124980,EUR,643161600,G,1,1,False,True,14.0,14.0,14.0,14.0,7.0,4.0,4.0,90.0,25.0,7.3,6.862e-05,0,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,William,william,William,D,12,176,2476,M,604274,EUR,796867200,D,12,12,False,,38.0,33.0,12.0,12.0,4.0,,,90.0,60.0,6.5,0.0325584,0,,,,3.0,1.0,21.0,31.0,5.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,2.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,João Marcelo,joao-marcelo,J. Marcelo,D,43,189,1606,M,978638,EUR,960854400,D,43,43,False,,69.0,66.0,36.0,37.0,5.0,,,90.0,75.0,7.1,0.0163665,0,,,,4.0,3.0,30.0,32.0,,,,4.0,,3.0,1.0,,,3.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Luciano Castan,luciano-castan,Luciano Castan,D,4,187,212,M,845110,EUR,621648000,D,4,4,False,,65.0,54.0,35.0,39.0,6.0,,,90.0,72.0,6.4,0.0034011,0,,,,8.0,4.0,19.0,27.0,1.0,3.0,5.0,3.0,1.0,2.0,,2.0,1.0,13.0,,1.0,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,3,3,False,,34.0,20.0,8.0,12.0,7.0,,,76.0,55.0,6.8,0.0109157,0,,,,8.0,4.0,12.0,22.0,,1.0,3.0,4.0,,2.0,3.0,1.0,1.0,15.0,3.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Ian Luccas,ian-luccas,Ian Luccas,M,5,187,203,M,1046496,EUR,1044921600,M,20,20,False,,6.0,6.0,4.0,4.0,3.0,,,15.0,8.0,6.5,0.00053875,0,,,,,,2.0,2.0,,,1.0,,,,,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,245159,EUR,729820800,M,16,16,False,,56.0,46.0,21.0,23.0,3.0,,,76.0,66.0,6.6,0.188694,2,,,,3.0,2.0,25.0,33.0,,,1.0,5.0,,,2.0,2.0,1.0,11.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.037,,,,,,,,,
11067626,home,Cruzeiro,Japa,joao-wellington-japa,Japa,M,77,177,1249,M,1459623,EUR,1073001600,M,77,77,False,,42.0,33.0,8.0,9.0,3.0,,,90.0,53.0,6.9,0.0186008,1,,,,2.0,,25.0,33.0,,1.0,1.0,5.0,,3.0,1.0,2.0,,10.0,,2.0,,1.0,1.0,,1.0,,,1.0,,,0.0164,,,,,,,,,
11067626,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,377238,EUR,831254400,F,96,96,False,,56.0,43.0,9.0,11.0,1.0,,,90.0,71.0,8.1,1.2791,2,,,,2.0,,34.0,51.0,6.0,1.0,5.0,4.0,1.0,,,1.0,2.0,21.0,5.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,0.0513,matheus_pereira,1.0,1.0,2.0,0.5738,,,,
11067626,home,Cruzeiro,Bruno Rodrigues,bruno-rodrigues,B. Rodrigues,F,11,177,3335,M,817650,EUR,857692800,F,9,9,False,,26.0,22.0,2.0,3.0,7.0,,,90.0,38.0,7.2,0.0739327,1,,,,,,20.0,23.0,,3.0,4.0,6.0,,,,3.0,,6.0,3.0,,,,,,1.0,4.0,3.0,,,,0.0874,,,,1.0,0.4036,,,,
