match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,captain,stat_totalCross,stat_unsuccessfulTouch,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_ownGoals,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed
12624905,home,Al-Riyadh,Milan Borjan,milan-borjan,M. Borjan,G,82,193.0,807,M,79413,EUR,561945600,G,82,82,False,30.0,15.0,19.0,5.0,0.0,13.0,15.0,2.0,15.0,1.0,15.0,2.0,2.0,1.0,90.0,44.0,7.2,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624905,home,Al-Riyadh,Marzouq Tambakti,marzouq-tambakti,M. Tambakti,D,87,187.0,50,M,1544937,EUR,1044921600,D,87,87,False,23.0,20.0,,,0.0,13.0,14.0,7.0,9.0,,3.0,,,,90.0,43.0,6.8,7.0,0,Marzouq Tambakti,1.0,6.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12624905,home,Al-Riyadh,Ahmad Asiri,ahmad-asiri,A. Asiri,D,13,179.0,31,M,350060,EUR,690076800,D,29,29,False,55.0,48.0,10.0,4.0,0.0,37.0,38.0,11.0,17.0,4.0,3.0,,,,90.0,62.0,7.0,7.0,0,,,1.0,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
12624905,home,Al-Riyadh,Yoann Barbet,yoann-barbet,Y. Barbet,D,5,190.0,128,M,369544,EUR,736992000,D,5,5,False,54.0,46.0,10.0,4.0,0.0,27.0,31.0,19.0,23.0,3.0,2.0,,,,90.0,66.0,7.0,11.0,0,,,2.0,3.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
12624905,home,Al-Riyadh,Abdulelah Al Khaibari,abdulelah-al-khaibari,A. A. Khaibari,D,80,174.0,142,M,1519328,EUR,864259200,D,8,8,False,36.0,27.0,8.0,5.0,0.0,18.0,22.0,9.0,16.0,,3.0,,,,78.0,54.0,6.7,17.0,0,Abdulelah Al Khaibari,,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,True,2.0,1.0,,,,,,,,,,,
12624905,home,Al-Riyadh,Lucas Kal,lucas-kal,Lucas Kal,M,21,186.0,179,M,840118,EUR,826934400,M,21,21,False,25.0,19.0,3.0,1.0,0.0,8.0,11.0,11.0,14.0,3.0,7.0,,,,90.0,38.0,7.2,7.0,2,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,
12624905,home,Al-Riyadh,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600,M,20,20,False,38.0,30.0,4.0,3.0,0.0,12.0,12.0,20.0,29.0,1.0,5.0,,,,90.0,49.0,7.2,12.0,0,,,3.0,5.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,3.0,1.0,,,2.0,2.0,,,,,,,
12624905,home,Al-Riyadh,Faïz Selemani,faiz-selemani,F. Selemani,F,7,178.0,359,M,842745,EUR,754617600,M,17,17,False,21.0,16.0,1.0,1.0,0.0,6.0,6.0,10.0,20.0,1.0,8.0,,,,78.0,46.0,7.0,15.0,1,,,5.0,6.0,3.0,,4.0,2.0,1.0,,2.0,,1.0,,,1.0,,,5.0,1.0,1.0,,,,,,,,,,
12624905,home,Al-Riyadh,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180.0,416,M,546220,EUR,782352000,M,43,43,False,27.0,24.0,,,0.0,10.0,13.0,14.0,15.0,1.0,1.0,,,,89.0,42.0,6.5,11.0,1,,,8.0,2.0,,3.0,4.0,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,
12624905,home,Al-Riyadh,Ibrahim Bayesh,ibrahim-bayesh,I. Bayesh,M,29,177.0,2466,M,920815,EUR,957139200,M,11,11,False,24.0,18.0,1.0,,0.0,5.0,6.0,13.0,19.0,,9.0,,,,77.0,38.0,6.7,13.0,1,,2.0,5.0,4.0,,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,2.0,,1.0,3.0,,,1.0,,1.0,,,,,,
