match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_errorLeadToAShot,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_totalCross,stat_dispossessed,captain,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_penaltyFaced,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyConceded
13329566,home,Plymouth Argyle,Conor Hazard,conor-hazard,C. Hazard,G,1,198.0,175,M,843788,EUR,889056000,G,21,21,False,30.0,10.0,28.0,8.0,0.0,2.0,3.0,8.0,27.0,7.0,1.0,2.0,4.0,90.0,38.0,7.7,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Maksym Talovierov,maksym-talovierov,M. Talovierov,D,40,195.0,1198,M,990355,EUR,962150400,D,40,40,False,18.0,12.0,7.0,4.0,0.0,8.0,10.0,4.0,8.0,5.0,,,,90.0,32.0,7.4,6.0,0,1.0,4.0,3.0,6.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Nikola Katić,nikola-katic,N. Katić,D,25,194.0,1386,M,831488,EUR,844905600,D,25,25,False,13.0,8.0,2.0,1.0,0.0,5.0,6.0,3.0,7.0,2.0,,,,90.0,36.0,7.9,5.0,0,1.0,4.0,1.0,5.0,,17.0,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Julio Pleguezuelo,julio-pleguezuelo,J. Pleguezuelo,D,5,180.0,108,M,788238,EUR,854236800,D,5,5,False,8.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,1.0,,,,67.0,24.0,7.1,7.0,0,,,,6.0,,4.0,,5.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Matthew Sorinola,matthew-sorinola,M. Sorinola,M,29,173.0,81,M,908798,EUR,982540800,M,29,29,False,10.0,2.0,4.0,,0.0,1.0,5.0,1.0,7.0,2.0,,,,90.0,42.0,6.8,16.0,0,,,5.0,5.0,1.0,7.0,1.0,3.0,2.0,2.0,3.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Adam Randell,adam-randell,A. Randell,M,4,175.0,101,M,964115,EUR,970358400,M,20,20,False,15.0,9.0,7.0,5.0,0.0,3.0,4.0,6.0,12.0,4.0,,,,72.0,24.0,7.0,7.0,0,,1.0,2.0,3.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,1.0,,True,,,,,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Darko Gyabi,darko-gyabi,D. Gyabi,M,24,196.0,544,M,1067117,EUR,1076976000,M,18,18,False,14.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,8.0,2.0,,,,90.0,28.0,7.2,3.0,3,3.0,,5.0,6.0,,1.0,1.0,4.0,3.0,,2.0,,,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,
13329566,home,Plymouth Argyle,Tymoteusz Puchacz,tymoteusz-puchacz,T. Puchacz,M,27,180.0,3578,M,867493,EUR,917049600,M,17,17,False,13.0,9.0,5.0,2.0,0.0,3.0,5.0,6.0,18.0,5.0,,,,90.0,42.0,6.7,17.0,1,,,3.0,3.0,2.0,5.0,,2.0,1.0,,,,,,,2.0,10.0,,,2.0,1.0,,1.0,puszka.27,,,,,,,,,,,
13329566,home,Plymouth Argyle,Ryan Hardie,ryan-hardie,R. Hardie,F,29,183.0,320,M,547376,EUR,858556800,F,9,9,False,9.0,7.0,2.0,1.0,0.0,4.0,4.0,3.0,5.0,1.0,,,,81.0,21.0,7.4,5.0,3,2.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,,,,,,,1.0,,2.0,,,,,1.0,,2.0,1.0,1.0,,,,,,,,
13329566,home,Plymouth Argyle,Callum Wright,callum-wright,C. Wright,M,8,182.0,80,M,970398,EUR,957225600,F,11,11,False,23.0,10.0,2.0,,0.0,1.0,4.0,10.0,21.0,2.0,,,,90.0,42.0,7.2,17.0,2,1.0,3.0,4.0,9.0,,3.0,,4.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,2.0,2.0,,,,,
