match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_unsuccessfulTouch,stat_errorLeadToAShot,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_ownGoals
12530675,home,Konyaspor,Deniz Ertaş,Deniz Ertas,,deniz-ertas,D. Ertaş,G,1,194,250,M,1195772,EUR,1111276800,G,1,1,False,17.0,15.0,11.0,9.0,0.0,9.0,9.0,6.0,8.0,8.0,1.0,2.0,90.0,25.0,6.8,2.0,0.00187943,0,-0.3628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530675,home,Konyaspor,Uğurcan Yazğılı,,,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,D,5,5,False,37.0,32.0,4.0,4.0,0.0,6.0,7.0,27.0,32.0,3.0,,,45.0,47.0,6.8,6.0,0.0955405,0,,2.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12530675,home,Konyaspor,Riechedly Bazoer,,,riechedly-bazoer,R. Bazoer,D,20,184,356,M,227196,EUR,845078400,D,20,20,False,52.0,52.0,7.0,7.0,0.0,14.0,14.0,38.0,38.0,5.0,,,90.0,59.0,9.0,,0.266609,3,,,,3.0,2.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5945,1.6748,,,,,,,,,,,,,
12530675,home,Konyaspor,Josip Ćalušić,,,josip-calusic,J. Ćalušić,D,15,184,78,M,172331,EUR,750297600,D,15,15,False,51.0,47.0,3.0,1.0,0.0,25.0,26.0,22.0,25.0,5.0,,,90.0,60.0,7.0,5.0,0.0158392,2,,,,2.0,4.0,,,2.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,,0.0833,,3.0,1.0,,,,,,,,,,,
12530675,home,Konyaspor,Guilherme Haubert Sityá,,,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,44.0,38.0,2.0,,0.0,16.0,16.0,29.0,37.0,8.0,,,90.0,86.0,8.1,13.0,0.381092,1,,9.0,7.0,6.0,10.0,1.0,2.0,2.0,2.0,1.0,,3.0,2.0,5.0,3.0,,1.0,,,,3.0,0.0172,,2.0,,True,1.0,1.0,,,,,,,,
12530675,home,Konyaspor,Melih İbrahimoğlu,,,melih-ibrahimoglu,M. Ibrahimoglu,M,77,175,134,M,998462,EUR,963792000,M,77,77,False,49.0,43.0,6.0,3.0,0.0,13.0,14.0,30.0,35.0,10.0,,,90.0,61.0,7.0,8.0,0.0563233,0,,,,8.0,6.0,3.0,,3.0,5.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
12530675,home,Konyaspor,Louka Prip,,,prip-louka,L. Prip,M,,182,142,M,976127,EUR,867542400,M,11,11,False,34.0,26.0,2.0,,0.0,5.0,6.0,25.0,37.0,3.0,,,84.0,51.0,7.6,15.0,0.236821,2,,9.0,4.0,,4.0,,,,,,,5.0,,3.0,3.0,,2.0,,,,,0.0938,,1.0,,,,,,,,,,,,
12530675,home,Konyaspor,Oğulcan Ülgün,Ogulcan Ülgün,,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,24.0,19.0,1.0,1.0,0.0,4.0,5.0,15.0,20.0,,,,71.0,27.0,6.7,6.0,0.010177,0,,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
12530675,home,Konyaspor,Pedrinho,,,pedrinho,Pedrinho,M,8,173,205,M,1015939,EUR,850953600,M,8,8,False,38.0,28.0,3.0,2.0,0.0,7.0,8.0,25.0,39.0,7.0,,,84.0,62.0,7.8,18.0,0.496315,4,,9.0,4.0,5.0,5.0,2.0,,2.0,3.0,,1.0,4.0,1.0,1.0,1.0,,3.0,1.0,,,1.0,0.508,0.1861,,,,1.0,2.0,,,,,,,,
12530675,home,Konyaspor,Yusuf Erdoğan,,,yusuf-erdogan,Y. Erdoğan,M,10,172,204,M,256663,EUR,713145600,M,10,10,False,32.0,27.0,2.0,2.0,1.0,7.0,7.0,22.0,37.0,7.0,,,90.0,71.0,7.3,28.0,0.239894,6,,12.0,2.0,6.0,6.0,,,1.0,,,,1.0,1.0,9.0,4.0,1.0,1.0,1.0,,,1.0,1.0762,0.0269,1.0,4.0,,,5.0,,2.0,1.0,,,,,
12530675,home,Konyaspor,Blaž Kramer,,,blaz-kramer,B. Kramer,F,99,191,607,M,804405,EUR,833587200,F,99,99,False,15.0,12.0,,,0.0,2.0,2.0,10.0,13.0,2.0,,,88.0,26.0,7.2,7.0,0.0718795,3,,,,1.0,4.0,,,,2.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,0.4237,0.0479,1.0,,,,4.0,,,2.0,,,,,
12530675,home,Konyaspor,Umut Nayir,,,mehmet-umut-nayir,U. Nayir,F,18,191,738,M,284767,EUR,741225600,F,22,22,True,6.0,2.0,,,0.0,,,2.0,6.0,1.0,,,45.0,14.0,7.4,5.0,0.00670387,4,,,,1.0,7.0,,,,,,1.0,,,,,,2.0,2.0,,,,0.5532,0.4098,7.0,,,,1.0,,1.0,,1.0,,,,
12530675,home,Konyaspor,Alassane Ndao,,,ndao-alassane,A. Ndao,M,,176,333,M,1016033,EUR,851040000,F,18,18,True,9.0,8.0,,,0.0,4.0,4.0,5.0,6.0,2.0,,,19.0,14.0,7.1,2.0,0.0294478,0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
12530675,home,Konyaspor,Nikola Boranijašević,,,nikola-boranijasevic,N. Boranijašević,D,28,180,43,M,150667,EUR,706233600,D,24,24,True,,,,,0.0,,,,,,,,13.0,5.0,6.7,1.0,5.392e-05,0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530675,home,Konyaspor,Marko Jevtović,,,marko-jevtovic,M. Jevtović,M,16,194,134,M,310068,EUR,743472000,M,16,16,True,3.0,3.0,,,0.0,3.0,3.0,,,1.0,,,13.0,6.0,6.5,,7.462e-05,0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
