match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_totalContest,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyMiss,captain,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,player_sofascoreId,stat_penaltyConceded,stat_goalAssist,stat_goals
10407183,home,Oud-Heverlee Leuven,Valentin Cojocaru,valentin-cojocaru,V. Cojocaru,G,77,195,223,M,182363,EUR,812505600,G,12,12,False,30.0,25.0,8.0,4.0,23.0,24.0,2.0,6.0,1.0,8.0,1.0,90.0,34.0,6.3,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Joren Dom,joren-dom,J. Dom,D,,177,26,M,804233,EUR,628300800,D,6,6,False,25.0,19.0,7.0,3.0,8.0,13.0,11.0,13.0,2.0,2.0,,87.0,46.0,6.7,9.0,2,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Ewoud Pletinckx,ewoud-pletinckx,E. Pletinckx,D,28,190,195,M,949101,EUR,971136000,D,28,28,False,45.0,40.0,11.0,10.0,23.0,23.0,17.0,22.0,3.0,4.0,,90.0,55.0,7.4,5.0,1,,,,4.0,3.0,4.0,7.0,1.0,,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Federico Ricca,federico-ricca,F. Ricca,D,16,175,167,M,590036,EUR,786240000,D,14,14,False,50.0,47.0,4.0,4.0,33.0,35.0,14.0,15.0,,4.0,,90.0,71.0,8.2,5.0,2,Federico,Ricca,,3.0,2.0,4.0,7.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Hamza Mendyl,hamza-mendyl,H. Mendyl,D,37,179,700,M,846447,EUR,877392000,D,20,20,False,28.0,24.0,2.0,1.0,12.0,14.0,12.0,17.0,,3.0,,87.0,55.0,7.0,10.0,0,,,3.0,1.0,,3.0,8.0,,,3.0,1.0,4.0,,4.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Sofian Kiyine,kiyine-sofian,S. Kiyine,M,,182,319,M,862372,EUR,875750400,M,13,13,False,22.0,16.0,1.0,,4.0,5.0,15.0,25.0,,3.0,,72.0,46.0,6.8,18.0,3,,,8.0,,,4.0,2.0,1.0,1.0,,5.0,,,1.0,1.0,1.0,1.0,2.0,,5.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Kristiyan Malinov,kristiyan-malinov,K. Malinov,M,33,170,108,M,136688,EUR,764985600,M,4,4,False,42.0,37.0,6.0,5.0,17.0,19.0,20.0,23.0,,5.0,,90.0,46.0,6.4,6.0,0,,,,1.0,1.0,7.0,1.0,,,2.0,,,,,,4.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Casper De Norre,casper-de-norre,C. D. Norre,M,24,175,152,M,823654,EUR,855273600,M,24,24,False,60.0,52.0,2.0,2.0,20.0,22.0,33.0,40.0,,5.0,,90.0,74.0,7.7,11.0,3,,,2.0,,,2.0,4.0,1.0,2.0,2.0,,,,3.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Jón Dagur Þórsteinsson,jon-dagur-thorsteinsson,J. D. Þórsteinsson,F,24,177,277,M,862449,EUR,912038400,M,7,7,False,7.0,5.0,1.0,1.0,1.0,1.0,4.0,6.0,,4.0,,45.0,14.0,6.4,6.0,1,,,,1.0,,5.0,,,,,,,,,,,,2.0,,3.0,,2.0,,,1.0,,,,,,,,,,
10407183,home,Oud-Heverlee Leuven,Mathieu Maertens,mathieu-maertens,M. Maertens,F,33,182,85,M,360652,EUR,796262400,F,33,33,False,32.0,23.0,2.0,2.0,7.0,8.0,17.0,26.0,,4.0,,90.0,46.0,7.2,14.0,2,,,2.0,,2.0,5.0,4.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,,,,,True,,,,,,,,
