match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_fouls,stat_expectedGoals,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_challengeLost,stat_keyPass,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_accurateCross,captain,stat_totalOffside,stat_goodHighClaim,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget
12357186,home,Internacional,Fabricio,,,fabricio,Fabricio,G,12,193,150,M,883917,EUR,505440000,G,12,12,False,26.0,17.0,15.0,6.0,0.0,13.0,16.0,4.0,10.0,9.0,4.0,5.0,1.0,1.0,90.0,36.0,8.1,9.0,0.00139153,0,0.6481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12357186,home,Internacional,Fabricio Bustos,,,fabricio-bustos,F. Bustos,D,16,167,800,M,850023,EUR,830649600,D,16,16,False,34.0,31.0,1.0,,0.0,14.0,14.0,17.0,21.0,3.0,,,,,85.0,46.0,7.1,6.0,0.0127624,0,,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12357186,home,Internacional,Vitão,,,vitao,Vitão,D,44,185,3503,M,876625,EUR,949449600,D,44,44,False,39.0,35.0,2.0,,0.0,27.0,29.0,8.0,10.0,5.0,,,,,90.0,46.0,6.7,6.0,0.00388909,1,,,2.0,4.0,4.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,0.0187,,,,,,,,,,,,,,,,
12357186,home,Internacional,Fernando,,,fernando-reges,Fernando,M,,183,1104,M,41837,EUR,554169600,D,5,5,False,71.0,67.0,1.0,1.0,0.0,45.0,48.0,22.0,23.0,8.0,,,,,90.0,79.0,7.2,5.0,0.0085746,1,,,2.0,3.0,4.0,,1.0,2.0,1.0,,3.0,,1.0,,0.0258,1.0,1.0,,,,,,,,,,,,,,
12357186,home,Internacional,Renê,,,rene,Renê,D,6,174,1464,M,243113,EUR,716428800,D,6,6,False,63.0,51.0,4.0,2.0,0.0,20.0,22.0,31.0,44.0,3.0,,,,,90.0,84.0,7.6,18.0,0.168661,1,,3.0,4.0,6.0,6.0,1.0,,2.0,2.0,1.0,2.0,1.0,,2.0,0.0207,,,1.0,2.0,,,,,,,,,,,,
12357186,home,Internacional,Thiago Maia,,,thiago-maia,T. Maia,M,29,179,1392,M,358550,EUR,859075200,M,29,29,False,45.0,40.0,5.0,5.0,0.0,18.0,20.0,22.0,25.0,4.0,,,,,90.0,55.0,7.4,5.0,0.0184243,1,,,1.0,1.0,4.0,,,2.0,1.0,,,1.0,2.0,1.0,0.0553,,,,,1.0,1.0,3.0,,,,,,,,,
12357186,home,Internacional,Bruno Henrique,,,bruno-henrique,B. Henrique,M,8,180,899,M,345113,EUR,624931200,M,8,8,False,28.0,23.0,1.0,1.0,0.0,9.0,9.0,16.0,25.0,4.0,,,,,68.0,40.0,6.9,9.0,0.046459,0,,6.0,,7.0,3.0,,,2.0,1.0,1.0,3.0,,1.0,3.0,,,,1.0,2.0,,,,2.0,,,,,,,,
12357186,home,Internacional,Charles Aránguiz,,,charles-aranguiz,C. Aránguiz,M,20,171,3505,M,18304,EUR,608774400,M,20,20,False,42.0,34.0,,,0.0,18.0,19.0,16.0,25.0,2.0,,,,,85.0,57.0,7.1,12.0,0.0170135,0,,2.0,,8.0,7.0,,,4.0,3.0,2.0,3.0,,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12357186,home,Internacional,Wesley Ribeiro,,,wesley,W. Ribeiro,M,21,175,1823,M,985766,EUR,922752000,M,21,21,False,27.0,20.0,2.0,2.0,0.0,5.0,6.0,15.0,24.0,3.0,,,,,90.0,53.0,7.0,17.0,0.0345848,2,,3.0,1.0,10.0,9.0,,,2.0,2.0,4.0,1.0,2.0,,3.0,0.0523,,2.0,1.0,,7.0,2.0,,,,,,,,,,
12357186,home,Internacional,Alan Patrick,,,alan-patrick,A. Patrick,M,10,177,6630,M,124997,EUR,674092800,F,10,10,False,,,,,0.0,,,,,1.0,,,,,4.0,1.0,,,,0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,
12357186,home,Internacional,Lucca,Lucca,,lucca,L. Holanda,F,99,180,616,M,1199435,EUR,1049241600,F,45,45,False,9.0,4.0,,,0.0,2.0,3.0,2.0,7.0,,,,,,68.0,15.0,6.9,6.0,0.00218241,0,,1.0,2.0,2.0,5.0,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,
12357186,home,Internacional,Hyoran,,,hyoran,Hyoran,M,19,174,485,M,551348,EUR,738288000,M,7,7,True,20.0,16.0,1.0,,0.0,1.0,1.0,15.0,26.0,3.0,,,,,86.0,43.0,7.2,17.0,0.0651116,1,,7.0,1.0,3.0,7.0,1.0,,2.0,2.0,3.0,,1.0,,,0.0313,,4.0,1.0,,2.0,1.0,,,,,,,,,,
12357186,home,Internacional,Wanderson,,,wanderson,Wanderson,M,94,175,1923,M,247483,EUR,781401600,F,11,11,True,6.0,5.0,,,0.0,2.0,2.0,4.0,6.0,1.0,,,,,22.0,9.0,6.6,3.0,0.180402,0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,
12357186,home,Internacional,Gustavo Prado,,,gustavo-prado,G. Prado,M,47,179,743,M,1485220,EUR,1118016000,M,47,47,True,17.0,17.0,1.0,1.0,0.0,5.0,5.0,12.0,13.0,2.0,,,,,22.0,29.0,7.0,5.0,0.0368442,0,,1.0,,3.0,5.0,2.0,,2.0,2.0,1.0,,,,,,,2.0,1.0,,2.0,2.0,1.0,,,,,,,,,
