match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_fouls,player_firstName,player_lastName,stat_ownGoals,stat_unsuccessfulTouch,stat_keyPass,stat_wonContest,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork
11352558,home,Chelsea,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,28,28,False,50.0,35.0,26.0,11.0,0.0,31.0,34.0,4.0,16.0,7.0,3.0,5.0,90.0,58.0,7.5,15.0,0.00096928,0,-0.4193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352558,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,14,14,False,51.0,44.0,8.0,5.0,0.0,33.0,37.0,11.0,14.0,2.0,,,90.0,67.0,6.8,10.0,0.005899,0,,3.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352558,home,Chelsea,Thiago Silva,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,57.0,52.0,5.0,3.0,0.0,41.0,41.0,11.0,17.0,4.0,,,90.0,66.0,6.8,6.0,0.00358542,0,,3.0,3.0,4.0,3.0,1.0,,,7.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352558,home,Chelsea,Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10555,M,badiashile,904827,EUR,985564800,D,5,5,False,63.0,55.0,8.0,4.0,0.0,47.0,53.0,8.0,10.0,4.0,,,90.0,77.0,6.6,10.0,0.013026,0,,3.0,1.0,6.0,2.0,1.0,1.0,,5.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11352558,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,52.0,46.0,1.0,,0.0,30.0,34.0,16.0,20.0,4.0,,,90.0,82.0,7.4,11.0,0.0172735,0,,,1.0,3.0,11.0,1.0,2.0,1.0,1.0,,1.0,6.0,3.0,2.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
11352558,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,52.0,44.0,3.0,2.0,0.0,29.0,35.0,15.0,17.0,6.0,,,64.0,70.0,7.8,12.0,0.0198955,1,,,,4.0,7.0,,2.0,3.0,1.0,1.0,3.0,6.0,4.0,,,,,,,1.0,1.0,,1.0,1.0,0.0426,0.3997,,,,,,,,,,,,
11352558,home,Chelsea,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,53.0,50.0,3.0,2.0,0.0,28.0,28.0,24.0,29.0,7.0,,,90.0,76.0,7.7,7.0,0.113824,2,,,1.0,3.0,9.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,1.0,,5.0,2.0,1.0,,0.2653,0.8491,True,2.0,1.0,1.0,,,,,,,,
11352558,home,Chelsea,Noni Madueke,noni-madueke,N. Madueke,M,20,182,40178,M,nonzinoo10,966547,EUR,1015718400,M,11,11,False,20.0,19.0,3.0,3.0,0.0,8.0,8.0,11.0,13.0,4.0,,,64.0,30.0,6.7,5.0,0.0262842,1,,,1.0,4.0,4.0,2.0,,4.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,0.0548,,,,,,1.0,,,,,,,
11352558,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,31.0,25.0,5.0,4.0,1.0,9.0,12.0,18.0,24.0,2.0,,,89.0,53.0,7.2,15.0,0.196199,3,,,,5.0,3.0,,2.0,5.0,,,1.0,1.0,,5.0,,,,,1.0,4.0,2.0,,,,0.1757,,,2.0,,1.0,2.0,,,,,,,
11352558,home,Chelsea,Raheem Sterling,raheem-sterling,R. Sterling,F,,170,36469,M,Sterling7,138534,EUR,786844800,M,7,7,False,24.0,21.0,1.0,1.0,0.0,9.0,9.0,12.0,16.0,2.0,,,64.0,43.0,7.6,11.0,0.0336332,2,,,,4.0,5.0,,,6.0,,,,1.0,,1.0,1.0,,,,4.0,3.0,3.0,1.0,1.0,1.0,0.1968,0.1788,,,,1.0,,,,,,,,
