match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,player_sofascoreId,stat_outfielderBlock,stat_bigChanceCreated,stat_bigChanceMissed
12499740,home,FC St. Pauli,David Nemeth,,,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,home,FC St. Pauli,Marwin Schmitz,,,marwin-schmitz,M. Schmitz,M,42,180,57,M,1607774,EUR,1168128000,M,42,42,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,home,FC St. Pauli,Andreas Albers,,,andreas-albers,A. Albers,F,,192,77,M,89713,EUR,638150400,F,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,away,VfL Wolfsburg,Kamil Grabara,,,grabara-kamil,K. Grabara,G,1,195,3175,M,902080,EUR,915753600,G,1,1,False,35.0,26.0,17.0,8.0,0.0,23.0,23.0,3.0,12.0,5.0,,2.0,5.0,90.0,44.0,8.0,10.0,0.0069479,0,0.8191,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
12499740,away,VfL Wolfsburg,Kilian Fischer,,,kilian-fischer,K. Fischer,D,2,179,189,M,995316,EUR,971308800,D,2,2,False,29.0,19.0,6.0,2.0,0.0,11.0,18.0,8.0,11.0,2.0,,,,67.0,45.0,6.0,14.0,0.00464306,0,,1.0,,8.0,1.0,4.0,,,1.0,,,,2.0,1.0,,1.0,,,,,3.0,,1.0,,,,2.0,,,,
12499740,away,VfL Wolfsburg,Denis Vavro,,,denis-vavro,D. Vavro,D,3,187,674,M,293127,EUR,829094400,D,18,18,False,90.0,80.0,17.0,11.0,0.0,45.0,48.0,35.0,42.0,7.0,,,,90.0,108.0,7.6,15.0,0.0171879,0,,,4.0,1.0,6.0,6.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,3.0,,,,,
12499740,away,VfL Wolfsburg,Konstantinos Koulierakis,,,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,65.0,54.0,8.0,2.0,0.0,41.0,46.0,13.0,19.0,3.0,,,,90.0,80.0,7.4,12.0,0.00385346,1,,1.0,4.0,3.0,5.0,8.0,1.0,,,,,,,,,1.0,,0.0164,,,,,1.0,,1.0,,1.0,,3.0,,
12499740,away,VfL Wolfsburg,Joakim Mæhle,,,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,38.0,29.0,6.0,1.0,0.0,18.0,21.0,11.0,18.0,6.0,,,,90.0,52.0,6.8,11.0,0.0128606,1,,2.0,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,,2.0,,0.0219,,,,,,,1.0,,1.0,,,,
12499740,away,VfL Wolfsburg,Salih Özcan,,,salih-ozcan,S. Özcan,M,6,180,2466,M,795005,EUR,884476800,M,8,8,False,56.0,46.0,4.0,2.0,0.0,22.0,26.0,25.0,34.0,2.0,,,,90.0,68.0,7.1,15.0,0.109674,0,,,2.0,1.0,5.0,,,,,3.0,4.0,1.0,,,,2.0,,,,2.0,,,1.0,,,2.0,,,,1.0,
12499740,away,VfL Wolfsburg,Yannick Gerhardt,,,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,27.0,17.0,3.0,,0.0,11.0,13.0,6.0,15.0,4.0,,,,90.0,39.0,6.7,14.0,0.0609946,0,,1.0,5.0,3.0,6.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,2.0,,,,,3.0,,,,,
