match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_aerialLost,stat_shotOffTarget,stat_totalTackle,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_keyPass,stat_wonTackle,stat_goalAssist,stat_bigChanceMissed,captain,stat_penaltyWon,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_clearanceOffLine,stat_errorLeadToAGoal,stat_penaltyConceded,stat_hitWoodwork
10385452,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,23.0,22.0,4.0,3.0,20.0,20.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,33.0,6.7,1.0,0.0,0.0,0.00016775,0,-0.5763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385452,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,81.0,70.0,9.0,3.0,37.0,39.0,33.0,43.0,,,6.0,,,,,90.0,95.0,6.5,14.0,0.0,0.0,0.0596847,0,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385452,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,43.0,43.0,2.0,2.0,33.0,33.0,10.0,10.0,,,3.0,,,,,45.0,46.0,6.8,,0.0559,0.0,0.00585524,1,,,,,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10385452,home,Manchester City,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10335,M,laporte27,149734,EUR,769996800,D,14,14,False,81.0,77.0,6.0,5.0,48.0,49.0,29.0,32.0,1.0,1.0,7.0,,,,,90.0,92.0,7.0,5.0,0.0,0.0,0.0179495,0,,,,,1.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385452,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,103.0,93.0,7.0,4.0,32.0,37.0,62.0,67.0,1.0,1.0,7.0,,,,,90.0,116.0,8.7,11.0,0.2726,0.2624,0.334674,3,,,,1.0,3.0,8.0,1.0,2.0,2.0,,,,1.0,1.0,5.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,
10385452,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,93.0,84.0,7.0,4.0,38.0,42.0,47.0,53.0,,,9.0,,,,,90.0,110.0,6.5,14.0,0.0348,0.0,0.040156,1,,,,2.0,9.0,4.0,1.0,3.0,1.0,,,,3.0,5.0,,,,1.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,
10385452,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70808,M,RMahrez,158213,EUR,667094400,F,26,26,False,34.0,32.0,1.0,1.0,10.0,11.0,24.0,28.0,,,1.0,,,,,85.0,50.0,7.8,8.0,1.238,0.9682,0.167486,3,,,,5.0,2.0,4.0,1.0,1.0,,2.0,,1.0,1.0,,,,3.0,2.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,
10385452,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,43.0,31.0,6.0,4.0,7.0,7.0,26.0,43.0,,,2.0,,,,,90.0,55.0,7.0,17.0,0.0,0.0,0.198891,0,,,,7.0,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,2.0,2.0,,,,,,3.0,,,,,,,,,,,,,
10385452,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,8,8,False,38.0,35.0,1.0,1.0,14.0,14.0,21.0,24.0,1.0,,1.0,,,,,90.0,48.0,7.4,4.0,1.2797,1.4773,0.133451,4,,,,,3.0,2.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,4.0,,1.0,,,,1.0,True,,,,,,,,,
10385452,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180,58418,M,JGrealish,189061,EUR,810691200,F,10,10,False,27.0,22.0,1.0,,6.0,6.0,16.0,23.0,,,2.0,,,,,69.0,38.0,7.3,8.0,0.0803,0.3406,0.257748,2,,,,2.0,1.0,4.0,,1.0,,,,,,,1.0,,3.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,
