match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_fouls,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10382019,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187,669,M,943212,EUR,953942400,G,31,31,False,29.0,17.0,25.0,13.0,6.0,8.0,11.0,21.0,1.0,1.0,11.0,6.0,2.0,2.0,90.0,41.0,7.5,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382019,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,24.0,13.0,7.0,2.0,8.0,13.0,6.0,13.0,,2.0,9.0,,,,90.0,48.0,7.7,18.0,0,True,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10382019,home,Fortuna Sittard,Ximo Navarro,ximo-navarro,X. Navarro,D,23,176,95,M,150864,EUR,633052800,D,2,2,False,19.0,15.0,1.0,,12.0,14.0,3.0,5.0,2.0,2.0,2.0,,,,70.0,27.0,6.6,4.0,0,,,,,3.0,4.0,,,,,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
10382019,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,26.0,16.0,6.0,3.0,12.0,16.0,4.0,10.0,8.0,10.0,4.0,,,,90.0,48.0,7.4,11.0,0,,,,,4.0,7.0,,,,,16.0,,2.0,1.0,1.0,,3.0,Rodrigo,Guth,1.0,1.0,,,,,,,,,,,,
10382019,home,Fortuna Sittard,George Cox,george-cox,G. Cox,M,,171,91,M,920556,EUR,884736000,D,5,5,False,12.0,8.0,4.0,2.0,2.0,4.0,8.0,15.0,1.0,7.0,1.0,,,,77.0,46.0,7.3,16.0,1,,,7.0,2.0,1.0,3.0,,1.0,,,1.0,2.0,2.0,5.0,3.0,,,George,Cox,,1.0,1.0,1.0,,,,,,,,,,
10382019,home,Fortuna Sittard,Doğan Erdoğan,dogan-erdogan,D. Erdoğan,M,21,182,50,M,257407,EUR,840672000,M,21,21,False,29.0,16.0,7.0,2.0,10.0,15.0,6.0,14.0,3.0,9.0,7.0,,,,90.0,39.0,6.6,16.0,0,,,,,1.0,6.0,2.0,1.0,1.0,,,,,5.0,5.0,,1.0,,,,,2.0,,,,,,,,,,,
10382019,home,Fortuna Sittard,Kristijan Bistrović,kristijan-bistrovic,K. Bistrović,M,23,182,365,M,796658,EUR,892080000,M,8,8,False,23.0,15.0,2.0,2.0,10.0,12.0,6.0,15.0,,1.0,11.0,,,,85.0,37.0,7.0,13.0,1,,,4.0,1.0,,2.0,,1.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,
10382019,home,Fortuna Sittard,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177,1224,M,1069244,EUR,931305600,M,77,77,False,13.0,9.0,,,7.0,8.0,3.0,6.0,3.0,6.0,6.0,,,,85.0,29.0,6.6,8.0,0,,,1.0,1.0,3.0,11.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,5.0,,,,,,,,,,,
10382019,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,28.0,16.0,2.0,,7.0,12.0,9.0,16.0,2.0,7.0,7.0,,,,90.0,48.0,6.2,18.0,1,,,,,2.0,11.0,2.0,3.0,1.0,,2.0,,2.0,3.0,1.0,,,,,1.0,1.0,5.0,,,1.0,1.0,,,,,,,
10382019,home,Fortuna Sittard,Úmaro Embaló,umaro-embalo,Ú. Embaló,M,,170,335,M,901857,EUR,989107200,M,85,85,False,9.0,6.0,1.0,,2.0,2.0,4.0,10.0,,5.0,5.0,,,,78.0,26.0,7.9,9.0,2,,,3.0,,,2.0,,2.0,2.0,,,,2.0,2.0,1.0,,2.0,,,3.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,
